LineNo,UTC_Approx,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
688,2023-01-20 11:08:47.422050,161676797,0.9883326,0.9929091,1,0.03700503,2
1039,2023-01-20 11:08:47.517025,161776770,0.988313,0.9928971,1,0.03700503,2
1155,2023-01-20 11:08:47.631630,161894119,0.9883568,0.9929238,1,0.03700503,2
1418,2023-01-20 11:08:47.739599,161996542,0.9883277,0.9929061,1,0.03700503,2
1837,2023-01-20 11:08:47.843114,162097060,0.9883239,0.9929037,1,0.03700503,2
1884,2023-01-20 11:08:47.942914,162197102,0.9883214,0.9929022,1,0.03700503,2
1929,2023-01-20 11:08:48.042741,162297065,0.988369,0.9929312,1,0.03700503,2
1975,2023-01-20 11:08:48.142735,162397055,0.9884058,0.9929537,1,0.03700503,2
2028,2023-01-20 11:08:48.242750,162497053,0.9883884,0.992943,1,0.03700503,2
2069,2023-01-20 11:08:48.342805,162597075,0.9883987,0.9929493,1,0.03700503,2
2127,2023-01-20 11:08:48.438972,162697097,0.9884065,0.9929541,1,0.03700503,2
2186,2023-01-20 11:08:48.529903,162797066,0.9884123,0.9929576,1,0.03700503,2
2246,2023-01-20 11:08:48.622960,162897087,0.9884141,0.9929587,1,0.03700503,2
2300,2023-01-20 11:08:48.722932,162997039,0.9883495,0.9929193,1,0.03700503,2
2356,2023-01-20 11:08:48.822972,163097064,0.9883253,0.9929046,1,0.03700503,2
2411,2023-01-20 11:08:48.923000,163197091,0.9883254,0.9929047,1,0.03700503,2
2451,2023-01-20 11:08:49.022956,163297050,0.9883301,0.9929075,1,0.03700503,2
2495,2023-01-20 11:08:49.122939,163397049,0.9883595,0.9929254,1,0.03700503,2
2537,2023-01-20 11:08:49.225448,163497042,0.9883825,0.9929395,1,0.03700503,2
2577,2023-01-20 11:08:49.336489,163597046,0.9884014,0.992951,1,0.03700503,2
2620,2023-01-20 11:08:49.442830,163697103,0.9884402,0.9929746,1,0.03700503,2
2658,2023-01-20 11:08:49.542775,163797113,0.9884057,0.9929536,1,0.03700503,2
2698,2023-01-20 11:08:49.638838,163897042,0.9877807,0.9925727,1,0.03700503,2
2736,2023-01-20 11:08:49.729892,163997072,0.9869009,0.9920362,1,0.03700503,2
2779,2023-01-20 11:08:49.822948,164097045,0.9864659,0.9917708,1,0.03700503,2
2819,2023-01-20 11:08:49.922977,164197097,0.9863288,0.9916872,1,0.03700503,2
2859,2023-01-20 11:08:50.022928,164297057,0.9862298,0.9916268,1,0.03700503,2
2898,2023-01-20 11:08:50.122955,164397047,0.9861997,0.9916084,1,0.03700503,2
2941,2023-01-20 11:08:50.223017,164497089,0.9861532,0.9915801,1,0.03700503,2
2979,2023-01-20 11:08:50.322944,164597057,0.9861416,0.991573,1,0.03700503,2
3021,2023-01-20 11:08:50.422931,164697086,0.9861354,0.9915692,1,0.03700503,2
3061,2023-01-20 11:08:50.522846,164797048,0.9861041,0.9915501,1,0.03700503,2
3101,2023-01-20 11:08:50.622821,164897047,0.9860241,0.9915013,1,0.03700503,2
3139,2023-01-20 11:08:50.722878,164997046,0.9855354,0.9912031,1,0.03700503,2
3180,2023-01-20 11:08:50.822904,165097042,0.9842,0.9903879,1,0.03700503,2
3220,2023-01-20 11:08:50.922941,165197143,0.9838074,0.9901481,1,0.03700503,2
3260,2023-01-20 11:08:51.022810,165297059,0.9836702,0.9900643,1,0.03700503,2
3298,2023-01-20 11:08:51.122815,165397049,0.9836187,0.9900328,1,0.03700503,2
3341,2023-01-20 11:08:51.222855,165497088,0.9836942,0.9900789,1,0.03700503,2
3379,2023-01-20 11:08:51.322782,165597059,0.9836665,0.990062,1,0.03700503,2
3421,2023-01-20 11:08:51.422788,165697103,0.9836529,0.9900537,1,0.03700503,2
3459,2023-01-20 11:08:51.522717,165797048,0.983636,0.9900433,1,0.03700503,2
3500,2023-01-20 11:08:51.622714,165897056,0.9836882,0.9900753,1,0.03700503,2
3537,2023-01-20 11:08:51.722713,165997049,0.9837421,0.9901082,1,0.03700503,2
3580,2023-01-20 11:08:51.822722,166097053,0.9837248,0.9900976,1,0.03700503,2
3620,2023-01-20 11:08:51.922771,166197105,0.9837132,0.9900905,1,0.03700503,2
3660,2023-01-20 11:08:52.022724,166297058,0.9836962,0.9900801,1,0.03700503,2
3696,2023-01-20 11:08:52.122722,166397049,0.9837123,0.99009,1,0.03700503,2
3731,2023-01-20 11:08:52.222779,166497101,0.9837075,0.9900871,1,0.03700503,2
3761,2023-01-20 11:08:52.322727,166597052,0.9836764,0.990068,1,0.03700503,2
3796,2023-01-20 11:08:52.422776,166697109,0.9836411,0.9900465,1,0.03700503,2
3826,2023-01-20 11:08:52.522758,166797116,0.9836107,0.9900279,1,0.03700503,2
3859,2023-01-20 11:08:52.622684,166897055,0.983655,0.990055,1,0.03700503,2
3889,2023-01-20 11:08:52.722706,166997044,0.9835782,0.9900081,1,0.03700503,2
3924,2023-01-20 11:08:52.822738,167097050,0.9835745,0.9900058,1,0.03700503,2
3956,2023-01-20 11:08:52.922788,167197098,0.9835737,0.9900053,1,0.03700503,2
3989,2023-01-20 11:08:53.022758,167297074,0.9835238,0.9899749,1,0.03700503,2
4019,2023-01-20 11:08:53.122710,167397057,0.9835342,0.9899812,1,0.03700503,2
4054,2023-01-20 11:08:53.222735,167497104,0.9835064,0.9899642,1,0.051637,2
4084,2023-01-20 11:08:53.322746,167597105,0.98347,0.989942,1,0.09666634,2
4119,2023-01-20 11:08:53.422772,167697132,0.9832838,0.9898282,1,0.1416962,2
4149,2023-01-20 11:08:53.522710,167797111,0.9817889,0.9889145,1,0.1867246,2
4182,2023-01-20 11:08:53.622687,167897112,0.9795732,0.9875591,1,0.2317483,2
4212,2023-01-20 11:08:53.722704,167997097,0.9770576,0.9860185,1,0.2767694,2
4247,2023-01-20 11:08:53.822734,168097106,0.9744861,0.9844417,1,0.3217773,2
4280,2023-01-20 11:08:53.922779,168197167,0.9718225,0.9828063,1,0.3667343,2
4313,2023-01-20 11:08:54.022750,168297154,0.9691517,0.9811643,1,0.4163022,2
4344,2023-01-20 11:08:54.122697,168397114,0.9665745,0.9795778,1,0.3537082,2
4379,2023-01-20 11:08:54.222673,168497094,0.9645848,0.9783517,1,0.3322037,2
4409,2023-01-20 11:08:54.322755,168597152,0.9641952,0.9781114,1,0.3289477,2
4444,2023-01-20 11:08:54.422751,168697138,0.9644352,0.9782594,1,0.336287,2
4474,2023-01-20 11:08:54.522704,168797128,0.9646981,0.9784215,1,0.34449,2
4507,2023-01-20 11:08:54.622698,168897147,0.9647684,0.9784648,1,0.348025,2
4537,2023-01-20 11:08:54.722670,168997103,0.9644036,0.9782399,1,0.3309546,2
4572,2023-01-20 11:08:54.822691,169097109,0.96437,0.9782192,1,0.3372777,2
4604,2023-01-20 11:08:54.922791,169197198,0.964568,0.9783413,1,0.3467933,2
4637,2023-01-20 11:08:55.022725,169297121,0.9644433,0.9782644,1,0.346617,2
4667,2023-01-20 11:08:55.122731,169397117,0.964224,0.9781291,1,0.3552784,2
4702,2023-01-20 11:08:55.222731,169497110,0.9639238,0.977944,1,0.3543471,2
4732,2023-01-20 11:08:55.322721,169597106,0.963504,0.977685,1,0.3648275,2
4767,2023-01-20 11:08:55.422749,169697144,0.9631521,0.977468,1,0.3606889,2
4799,2023-01-20 11:08:55.522697,169797120,0.9625632,0.9771045,1,0.3571565,2
4832,2023-01-20 11:08:55.622681,169897119,0.9623634,0.9769812,1,0.3671827,2
4862,2023-01-20 11:08:55.722767,169997175,0.9622538,0.9769136,1,0.3676214,2
4897,2023-01-20 11:08:55.822715,170097102,0.9618965,0.976693,1,0.3510139,2
4929,2023-01-20 11:08:55.922773,170197163,0.9617921,0.9766285,1,0.3429734,2
4962,2023-01-20 11:08:56.022745,170297136,0.9619963,0.9767545,1,0.3515575,2
4992,2023-01-20 11:08:56.122717,170397101,0.9621078,0.9768234,1,0.3511135,2
5027,2023-01-20 11:08:56.222733,170497112,0.9619498,0.9767259,1,0.3583,2
5057,2023-01-20 11:08:56.322751,170597132,0.9616776,0.9765578,1,0.3660799,2
5092,2023-01-20 11:08:56.422753,170697143,0.9612994,0.9763243,1,0.3623692,2
5122,2023-01-20 11:08:56.522739,170797161,0.9608406,0.9760409,1,0.3597026,2
5155,2023-01-20 11:08:56.622679,170897118,0.9605985,0.9758914,1,0.3578786,2
5185,2023-01-20 11:08:56.722705,170997110,0.9603637,0.9757463,1,0.3661701,2
5220,2023-01-20 11:08:56.822750,171097131,0.9601989,0.9756444,1,0.3636604,2
5252,2023-01-20 11:08:56.922786,171197175,0.9599364,0.9754822,1,0.3630477,2
5285,2023-01-20 11:08:57.022721,171297114,0.9597372,0.9753591,1,0.3554195,2
5316,2023-01-20 11:08:57.122713,171397098,0.9596172,0.9752849,1,0.3522611,2
5351,2023-01-20 11:08:57.222728,171497107,0.9596281,0.9752917,1,0.3774957,2
5381,2023-01-20 11:08:57.322776,171597152,0.9593955,0.9751479,1,0.4041582,2
5416,2023-01-20 11:08:57.422743,171697126,0.9587591,0.9747545,1,0.4044439,2
5446,2023-01-20 11:08:57.522689,171797108,0.9582005,0.974409,1,0.3964087,2
5479,2023-01-20 11:08:57.622678,171897118,0.9578391,0.9741854,1,0.3748184,2
5509,2023-01-20 11:08:57.722698,171997105,0.9576254,0.9740532,1,0.3646977,2
5544,2023-01-20 11:08:57.822776,172097158,0.9576265,0.9740539,1,0.3572725,2
5576,2023-01-20 11:08:57.922771,172197158,0.9576654,0.9740779,1,0.3498989,2
5611,2023-01-20 11:08:58.022745,172297135,0.9578084,0.9741665,1,0.3517157,2
5641,2023-01-20 11:08:58.122758,172397145,0.9579496,0.9742538,1,0.3351912,2
5676,2023-01-20 11:08:58.223009,172497394,0.9580108,0.9742916,1,0.324035,2
5706,2023-01-20 11:08:58.322734,172597120,0.9584392,0.9745566,1,0.3279492,2
5741,2023-01-20 11:08:58.422761,172697155,0.9588807,0.9748296,1,0.3270642,2
5771,2023-01-20 11:08:58.522699,172797128,0.9591035,0.9749674,1,0.333272,2
5804,2023-01-20 11:08:58.622696,172897144,0.9592032,0.9750291,1,0.3455324,2
5834,2023-01-20 11:08:58.722711,172997122,0.9591617,0.9750034,1,0.361008,2
5869,2023-01-20 11:08:58.822742,173097129,0.9587446,0.9747455,1,0.3461718,2
5901,2023-01-20 11:08:58.922776,173197179,0.9583951,0.9745293,1,0.3386874,2
5935,2023-01-20 11:08:59.020669,173297154,0.9583339,0.9744915,1,0.3308208,2
5966,2023-01-20 11:08:59.111582,173397171,0.9583631,0.9745095,1,0.3392782,2
6001,2023-01-20 11:08:59.202959,173497403,0.95837,0.9745138,1,0.3406107,2
6031,2023-01-20 11:08:59.302679,173597120,0.9581949,0.9744055,1,0.3452001,2
6066,2023-01-20 11:08:59.403068,173697199,0.9581063,0.9743508,1,0.3480398,2
6095,2023-01-20 11:08:59.514096,173797119,0.9577812,0.9741496,1,0.3431996,2
6128,2023-01-20 11:08:59.620635,173897128,0.9575818,0.9740262,1,0.3424262,2
6158,2023-01-20 11:08:59.711522,173997109,0.9574922,0.9739708,1,0.3425015,2
6194,2023-01-20 11:08:59.802690,174097131,0.9573131,0.97386,1,0.3389299,2
6226,2023-01-20 11:08:59.902682,174197153,0.9572235,0.9738045,1,0.3350652,2
6259,2023-01-20 11:09:00.002628,174297130,0.9571902,0.9737839,1,0.340543,2
6289,2023-01-20 11:09:00.102594,174397169,0.957207,0.9737943,1,0.3410557,2
6324,2023-01-20 11:09:00.202760,174497405,0.9570817,0.9737168,1,0.3340011,2
6354,2023-01-20 11:09:00.302510,174597104,0.9569439,0.9736315,1,0.3402607,2
6389,2023-01-20 11:09:00.402614,174697159,0.9568731,0.9735876,1,0.3499967,2
6421,2023-01-20 11:09:00.502504,174797104,0.9566283,0.9734361,1,0.3531703,2
6454,2023-01-20 11:09:00.602470,174897122,0.9563335,0.9732536,1,0.3574283,2
6484,2023-01-20 11:09:00.702494,174997114,0.9559298,0.9730037,1,0.3550381,2
6520,2023-01-20 11:09:00.802547,175097136,0.9556358,0.9728216,1,0.3503453,2
6552,2023-01-20 11:09:00.902604,175197217,0.9554914,0.9727322,1,0.3411164,2
6585,2023-01-20 11:09:01.002502,175297136,0.955512,0.9727449,1,0.3376876,2
6615,2023-01-20 11:09:01.102579,175397138,0.9555104,0.9727439,1,0.3413312,2
6650,2023-01-20 11:09:01.202955,175497442,0.9555779,0.9727858,1,0.3500386,2
6680,2023-01-20 11:09:01.302557,175597112,0.9554529,0.9727083,1,0.343829,2
6715,2023-01-20 11:09:01.402539,175697161,0.9552535,0.9725848,1,0.3376413,2
6745,2023-01-20 11:09:01.502455,175797104,0.9551919,0.9725466,1,0.3571137,2
6778,2023-01-20 11:09:01.602488,175897163,0.9550894,0.9724832,1,0.3545718,2
6809,2023-01-20 11:09:01.702472,175997142,0.9546764,0.9722273,1,0.3599768,2
6844,2023-01-20 11:09:01.802455,176097119,0.9545028,0.9721197,1,0.3588376,2
6876,2023-01-20 11:09:01.902502,176197162,0.9542016,0.9719331,1,0.3557789,2
6909,2023-01-20 11:09:02.002471,176297127,0.9540133,0.9718164,1,0.3478129,2
6939,2023-01-20 11:09:02.102505,176397149,0.9539357,0.9717683,1,0.3530919,2
6974,2023-01-20 11:09:02.202840,176497472,0.9539343,0.9717674,1,0.353207,2
7004,2023-01-20 11:09:02.302492,176597120,0.9538424,0.9717104,1,0.362309,2
