LineNo,UTC_Approx,TimeUS,Message
1732,2023-01-20 11:08:47.808236,162062097,ArduCopter V4.3.2 (fcef79e7)
1733,2023-01-20 11:08:47.808270,162062131,ChibiOS: 66e5de0d
1735,2023-01-20 11:08:47.808351,162062212,MatekF405-Wing 0036002D 30315114 36383236
1736,2023-01-20 11:08:47.808387,162062248,Param space used: 736/8960
1737,2023-01-20 11:08:47.808467,162062329,RC Protocol: PPM
1738,2023-01-20 11:08:47.808488,162062350,New mission
1808,2023-01-20 11:08:47.832755,162086675,New rally
1809,2023-01-20 11:08:47.832774,162086695,New fence
1810,2023-01-20 11:08:47.832809,162086730,Frame: QUAD/X
1814,2023-01-20 11:08:47.832897,162086818,GPS 1: detected as u-blox at 230400 baud
1815,2023-01-20 11:08:47.832958,162086879,u-blox 1 HW: 00080000 SW: ROM CORE 3.01 (107888)
5586,2023-01-20 11:08:57.969759,172244148,EKF3 IMU0 MAG0 in-flight yaw alignment complete
11230,2023-01-20 11:09:15.306961,189621334,Mission: 32 WP
26731,2023-01-20 11:10:02.417349,236831770,Reached command #32
26732,2023-01-20 11:10:02.417418,236831840,Mission: 33 WP
27962,2023-01-20 11:10:06.191459,240606681,Reached command #33
27963,2023-01-20 11:10:06.191545,240606758,Mission: 34 SetCamTrigDst
27965,2023-01-20 11:10:06.191766,240606957,Mission: 35 WP
60182,2023-01-20 11:11:43.581887,338216311,Reached command #35
60183,2023-01-20 11:11:43.582034,338216458,Mission: 36 WP
61354,2023-01-20 11:11:47.224815,341859201,Reached command #36
61355,2023-01-20 11:11:47.224946,341859332,Mission: 37 WP
63632,2023-01-20 11:11:54.161904,348816284,Reached command #37
63633,2023-01-20 11:11:54.161971,348816351,Mission: 38 WP
64844,2023-01-20 11:11:57.941895,352596282,Reached command #38
64845,2023-01-20 11:11:57.941967,352596353,Mission: 39 SetCamTrigDst
64847,2023-01-20 11:11:57.942146,352596532,Mission: 40 WP
96923,2023-01-20 11:13:34.927222,449781606,Reached command #40
96924,2023-01-20 11:13:34.927289,449781673,Mission: 41 WP
98122,2023-01-20 11:13:38.539382,453413779,Reached command #41
98123,2023-01-20 11:13:38.539453,453413849,Mission: 42 WP
100307,2023-01-20 11:13:45.242664,460121294,Reached command #42
100308,2023-01-20 11:13:45.242722,460121358,Mission: 43 WP
101481,2023-01-20 11:13:48.876670,463771330,Reached command #43
101482,2023-01-20 11:13:48.876740,463771400,Mission: 44 SetCamTrigDst
101484,2023-01-20 11:13:48.876935,463771595,Mission: 45 WP
133430,2023-01-20 11:15:25.459143,560553795,Reached command #45
133431,2023-01-20 11:15:25.459228,560553879,Mission: 46 WP
134604,2023-01-20 11:15:29.094151,564188789,Reached command #46
134605,2023-01-20 11:15:29.094238,564188876,Mission: 47 WP
136849,2023-01-20 11:15:35.979683,571094066,Reached command #47
136850,2023-01-20 11:15:35.979765,571094148,Mission: 48 WP
138055,2023-01-20 11:15:39.669403,574783796,Reached command #48
138056,2023-01-20 11:15:39.669533,574783926,Mission: 49 SetCamTrigDst
138058,2023-01-20 11:15:39.669682,574784075,Mission: 50 WP
169838,2023-01-20 11:17:15.747363,671076307,Reached command #50
169839,2023-01-20 11:17:15.747487,671076443,Mission: 51 WP
171040,2023-01-20 11:17:19.374377,674708761,Reached command #51
171041,2023-01-20 11:17:19.374440,674708825,Mission: 52 WP
173229,2023-01-20 11:17:26.099399,681433771,Reached command #52
173230,2023-01-20 11:17:26.099466,681433838,Mission: 53 WP
174401,2023-01-20 11:17:29.719337,685073752,Reached command #53
174402,2023-01-20 11:17:29.719410,685073825,Mission: 54 SetCamTrigDst
174404,2023-01-20 11:17:29.719632,685074047,Mission: 55 WP
206057,2023-01-20 11:19:05.434363,780988793,Reached command #55
206058,2023-01-20 11:19:05.434447,780988877,Mission: 56 WP
207259,2023-01-20 11:19:09.069388,784623775,Reached command #56
207260,2023-01-20 11:19:09.069492,784623879,Mission: 57 WP
209542,2023-01-20 11:19:16.094681,791669083,Reached command #57
209543,2023-01-20 11:19:16.094745,791669147,Mission: 58 WP
210777,2023-01-20 11:19:19.846929,795421298,Reached command #58
210778,2023-01-20 11:19:19.847000,795421369,Mission: 59 SetCamTrigDst
210780,2023-01-20 11:19:19.847181,795421550,Mission: 60 WP
242269,2023-01-20 11:20:55.089411,890863783,Reached command #60
242270,2023-01-20 11:20:55.089572,890863945,Mission: 61 WP
243450,2023-01-20 11:20:58.701655,894496268,Reached command #61
243451,2023-01-20 11:20:58.701720,894496332,Mission: 62 WP
245659,2023-01-20 11:21:05.409636,901223793,Reached command #62
245660,2023-01-20 11:21:05.409723,901223880,Mission: 63 WP
246834,2023-01-20 11:21:09.054761,904869138,Reached command #63
246835,2023-01-20 11:21:09.054832,904869209,Mission: 64 SetCamTrigDst
246837,2023-01-20 11:21:09.055021,904869398,Mission: 65 WP
253838,2023-01-20 11:21:30.244436,926098808,Reached command #65
253839,2023-01-20 11:21:30.244557,926098929,Mission: 66 WP
255565,2023-01-20 11:21:35.582342,931457367,Reached command #66
255566,2023-01-20 11:21:35.582430,931457455,Mission: 67 SetCamTrigDst
255568,2023-01-20 11:21:35.582571,931457596,Mission: 68 RTL
286696,2023-01-20 11:23:11.822432,1027897354,GPS Glitch or Compass error
