LineNo,UTC_Approx,TimeUS,Id,Mult
1561,2023-01-20 11:08:47.798084,162052024,45,0
1562,2023-01-20 11:08:47.798104,162052042,63,1
1563,2023-01-20 11:08:47.798119,162052057,50,100
1564,2023-01-20 11:08:47.798134,162052071,49,10
1565,2023-01-20 11:08:47.798149,162052085,48,1
1566,2023-01-20 11:08:47.798164,162052099,65,0.100000001490116
1567,2023-01-20 11:08:47.798179,162052114,66,0.00999999977648258
1571,2023-01-20 11:08:47.800207,162054049,66,0.00999999977648258
1572,2023-01-20 11:08:47.800221,162054063,67,0.00100000004749745
1573,2023-01-20 11:08:47.800236,162054078,68,9.99999974737875E-05
1574,2023-01-20 11:08:47.800250,162054092,69,9.99999974737875E-06
1575,2023-01-20 11:08:47.800264,162054106,70,9.99999997475243E-07
1576,2023-01-20 11:08:47.800278,162054120,71,1.0000000116861E-07
1577,2023-01-20 11:08:47.800293,162054135,73,9.99999971718069E-10
1578,2023-01-20 11:08:47.800307,162054149,33,3.59999990463257
1579,2023-01-20 11:08:47.800321,162054163,47,3600
