LineNo,UTC_Approx,TimeUS,Name,Value,Default
154,2023-01-20 11:08:47.333443,161583526,FORMAT_VERSION,120,120
155,2023-01-20 11:08:47.333477,161583561,SYSID_THISMAV,1,1
156,2023-01-20 11:08:47.333504,161583590,SYSID_MYGCS,255,255
157,2023-01-20 11:08:47.333530,161583617,PILOT_THR_FILT,0,0
158,2023-01-20 11:08:47.333555,161583644,PILOT_TKOFF_ALT,0,0
159,2023-01-20 11:08:47.333585,161583675,PILOT_THR_BHV,7,0
160,2023-01-20 11:08:47.333613,161583705,SERIAL0_BAUD,115,115
161,2023-01-20 11:08:47.333643,161583736,SERIAL0_PROTOCOL,2,2
162,2023-01-20 11:08:47.333676,161583771,SERIAL1_PROTOCOL,-1,2
163,2023-01-20 11:08:47.333708,161583804,SERIAL1_BAUD,57,57
164,2023-01-20 11:08:47.333739,161583837,SERIAL2_PROTOCOL,2,2
165,2023-01-20 11:08:47.333825,161583928,SERIAL2_BAUD,57,57
166,2023-01-20 11:08:47.333862,161583967,SERIAL3_PROTOCOL,5,5
167,2023-01-20 11:08:47.333896,161584002,SERIAL3_BAUD,38,38
168,2023-01-20 11:08:47.333930,161584038,SERIAL4_PROTOCOL,1,5
169,2023-01-20 11:08:47.333979,161584090,SERIAL4_BAUD,57,38
170,2023-01-20 11:08:47.334017,161584130,SERIAL5_PROTOCOL,20,-1
171,2023-01-20 11:08:47.334053,161584168,SERIAL5_BAUD,115,57
172,2023-01-20 11:08:47.334090,161584207,SERIAL6_PROTOCOL,-1,-1
173,2023-01-20 11:08:47.334132,161584251,SERIAL6_BAUD,57,57
174,2023-01-20 11:08:47.334219,161584343,SERIAL1_OPTIONS,0,0
175,2023-01-20 11:08:47.334259,161584384,SERIAL2_OPTIONS,0,0
176,2023-01-20 11:08:47.335919,161586132,SERIAL2_OPTIONS,0,0
177,2023-01-20 11:08:47.335959,161586174,SERIAL3_OPTIONS,0,0
178,2023-01-20 11:08:47.336005,161586223,SERIAL4_OPTIONS,0,0
179,2023-01-20 11:08:47.336093,161586315,SERIAL5_OPTIONS,0,0
180,2023-01-20 11:08:47.336137,161586361,SERIAL6_OPTIONS,0,0
181,2023-01-20 11:08:47.336179,161586406,SERIAL_PASS1,0,0
182,2023-01-20 11:08:47.336221,161586450,SERIAL_PASS2,-1,-1
183,2023-01-20 11:08:47.336269,161586500,SERIAL_PASSTIMO,15,15
184,2023-01-20 11:08:47.336323,161586557,SERIAL7_PROTOCOL,-1,-1
185,2023-01-20 11:08:47.336366,161586603,SERIAL7_BAUD,57,57
186,2023-01-20 11:08:47.336412,161586651,SERIAL7_OPTIONS,0,0
187,2023-01-20 11:08:47.336449,161586690,TELEM_DELAY,0,0
188,2023-01-20 11:08:47.336477,161586719,GCS_PID_MASK,0,0
189,2023-01-20 11:08:47.336502,161586746,RTL_ALT,1000,1500
190,2023-01-20 11:08:47.336531,161586776,RTL_CONE_SLOPE,3,3
