LineNo,UTC_Approx,TimeUS,LR,NLon,NL,MaxT,Mem,Load,ErrL,IntE,ErrC,SPIC,I2CC,I2CI,Ex
2763,2023-01-20 11:08:49.820581,164094677,400,20,4000,25000,21728,307,0,0,0,500219,42589,186265,50
6178,2023-01-20 11:08:59.800383,174094823,400,0,4000,2550,21880,351,0,0,0,534759,45159,197615,0
9421,2023-01-20 11:09:09.780863,184095060,400,0,4000,2615,21880,357,0,0,0,568873,47729,208965,0
12667,2023-01-20 11:09:19.760312,194094682,400,0,4000,2630,21880,344,0,0,0,602977,50299,220315,0
15933,2023-01-20 11:09:29.740493,204094729,400,0,4000,2636,21880,346,0,0,0,637254,52869,231665,0
19241,2023-01-20 11:09:39.720294,214094681,400,0,4000,2756,21880,348,0,0,0,671472,55439,243015,0
22558,2023-01-20 11:09:49.700052,224094684,400,0,4000,2616,21880,349,0,0,0,705674,58009,254365,0
25824,2023-01-20 11:09:59.680318,234094726,400,0,4000,2623,21880,355,0,0,0,739761,60579,265715,0
29131,2023-01-20 11:10:09.660584,244095002,400,0,4000,2640,21880,368,0,0,0,773931,63149,277065,0
32403,2023-01-20 11:10:19.640281,254094717,400,0,4000,2628,21880,374,0,0,0,808116,65719,288415,0
35723,2023-01-20 11:10:29.620353,264094779,400,0,4000,2753,21880,380,0,0,0,842166,68289,299765,0
38994,2023-01-20 11:10:39.600447,274095124,400,0,4000,2627,21880,363,0,0,0,876333,70857,311105,0
42314,2023-01-20 11:10:49.580315,284094727,400,0,4000,2630,21880,359,0,0,0,910620,73427,322455,0
45634,2023-01-20 11:10:59.560316,294094742,400,0,4000,2637,21880,356,0,0,0,944740,75997,333805,0
48904,2023-01-20 11:11:09.540303,304094701,400,0,4000,2756,21880,359,0,0,0,978987,78567,345155,0
52226,2023-01-20 11:11:19.520301,314094726,400,0,4000,2755,21880,359,0,0,0,1013176,81138,356505,0
55497,2023-01-20 11:11:29.500072,324094759,400,0,4000,2645,21880,356,0,0,0,1047306,83708,367855,0
58816,2023-01-20 11:11:39.480295,334094724,400,0,4000,2628,21880,366,0,0,0,1081499,86278,379205,0
62079,2023-01-20 11:11:49.460323,344094692,400,0,4000,2638,21880,365,0,0,0,1115655,88849,390560,0
65338,2023-01-20 11:11:59.420587,354094712,400,0,4000,2746,21880,364,0,0,0,1149831,91419,401913,0
68653,2023-01-20 11:12:09.418509,364094711,400,0,4000,2631,21880,366,0,0,0,1183970,93989,413263,0
71973,2023-01-20 11:12:19.380683,374094942,400,0,4000,2598,21880,350,0,0,0,1218133,96559,424613,0
75244,2023-01-20 11:12:29.363961,384094707,400,0,4000,2608,21880,348,0,0,0,1252347,99129,435963,0
78563,2023-01-20 11:12:39.340354,394094673,400,0,4000,2607,21880,349,0,0,0,1286510,101699,447313,0
81836,2023-01-20 11:12:49.320345,404094701,400,0,4000,2775,21880,350,0,0,0,1320682,104269,458663,0
85156,2023-01-20 11:12:59.300151,414094751,400,0,4000,2605,21880,353,0,0,0,1354956,106839,470010,0
88474,2023-01-20 11:13:09.280308,424094678,400,0,4000,2645,21880,353,0,0,0,1389120,109407,481353,0
91747,2023-01-20 11:13:19.260336,434094699,400,0,4000,2604,21880,360,0,0,0,1423394,111977,492703,0
