LineNo,UTC_Approx,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
687,2023-01-20 11:08:47.422034,161676780,39.8044397,32.3787885,739.41,0.01255247,0.4925525
1038,2023-01-20 11:08:47.517007,161776752,39.8044396,32.3787885,739.41,0.01617512,0.4961751
1154,2023-01-20 11:08:47.631612,161894101,39.8044394,32.3787887,739.41,0.0185459,0.4985459
1417,2023-01-20 11:08:47.739580,161996524,39.8044392,32.3787888,739.41,0.01841846,0.4984185
1836,2023-01-20 11:08:47.843096,162097042,39.8044391,32.3787891,739.42,0.02045569,0.5004557
1883,2023-01-20 11:08:47.942894,162197082,39.8044391,32.3787892,739.42,0.02393362,0.5039336
1928,2023-01-20 11:08:48.042708,162297032,39.8044389,32.3787893,739.42,0.02666923,0.5066692
1974,2023-01-20 11:08:48.142719,162397038,39.8044387,32.3787895,739.42,0.02883324,0.5088332
2027,2023-01-20 11:08:48.242733,162497036,39.8044385,32.3787897,739.43,0.03089699,0.510897
2068,2023-01-20 11:08:48.342788,162597058,39.8044382,32.3787898,739.43,0.03272703,0.512727
2126,2023-01-20 11:08:48.438957,162697080,39.804438,32.37879,739.43,0.03428575,0.5142857
2185,2023-01-20 11:08:48.529887,162797049,39.8044379,32.3787901,739.43,0.03575829,0.5157583
2245,2023-01-20 11:08:48.622943,162897070,39.8044377,32.3787902,739.43,0.03682849,0.5168285
2299,2023-01-20 11:08:48.722914,162997021,39.8044375,32.3787903,739.43,0.03727451,0.5172745
2355,2023-01-20 11:08:48.822951,163097043,39.8044374,32.3787903,739.43,0.03744653,0.5174465
2410,2023-01-20 11:08:48.922982,163197073,39.8044373,32.3787903,739.43,0.03707406,0.517074
2450,2023-01-20 11:08:49.022939,163297033,39.8044371,32.3787903,739.43,0.03590986,0.5159099
2494,2023-01-20 11:08:49.122921,163397031,39.804437,32.3787904,739.43,0.03245845,0.5124584
2536,2023-01-20 11:08:49.225430,163497025,39.8044368,32.3787905,739.43,0.03003863,0.5100386
