LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
1017,2023-01-20 11:08:47.514181,161773777,0,0,4,4,6,0,0,0,0
1134,2023-01-20 11:08:47.627327,161890037,0,0,4,4,6,0,0,0,0
1396,2023-01-20 11:08:47.736728,161993819,0,0,4,4,6,0,0,0,0
1816,2023-01-20 11:08:47.840409,162094348,0,0,4,4,6,0,0,0,0
1862,2023-01-20 11:08:47.940276,162194457,0,0,4,4,6,0,0,0,0
1910,2023-01-20 11:08:48.040035,162294359,0,0,4,4,6,0,0,0,0
1955,2023-01-20 11:08:48.140035,162394355,0,0,4,4,6,0,0,0,0
2009,2023-01-20 11:08:48.240055,162494359,0,0,4,4,6,0,0,0,0
2051,2023-01-20 11:08:48.340081,162594352,0,0,4,4,6,0,0,0,0
2106,2023-01-20 11:08:48.436471,162694347,0,0,4,4,6,0,0,0,0
2165,2023-01-20 11:08:48.527442,162794361,0,0,4,4,6,0,0,0,0
2227,2023-01-20 11:08:48.620215,162894342,0,0,4,4,6,0,0,0,0
2279,2023-01-20 11:08:48.720248,162994356,0,0,4,4,6,0,0,0,0
2331,2023-01-20 11:08:48.820235,163094327,0,0,4,4,6,0,0,0,0
2389,2023-01-20 11:08:48.920320,163194411,0,0,4,4,6,0,0,0,0
2432,2023-01-20 11:08:49.020267,163294360,0,0,4,4,6,0,0,0,0
2477,2023-01-20 11:08:49.120237,163394347,0,0,4,4,6,0,0,0,0
2518,2023-01-20 11:08:49.222464,163494354,0,0,4,4,6,0,0,0,0
2559,2023-01-20 11:08:49.333494,163594349,0,0,4,4,6,0,0,0,0
2598,2023-01-20 11:08:49.440115,163694386,0,0,4,4,6,0,0,0,0
2640,2023-01-20 11:08:49.540027,163794363,0,0,4,4,6,0,0,0,0
2679,2023-01-20 11:08:49.636386,163894348,0,0,4,4,6,0,0,0,0
2718,2023-01-20 11:08:49.727413,163994349,0,0,4,4,6,0,0,0,0
2757,2023-01-20 11:08:49.820253,164094349,0,0,4,4,6,0,0,0,0
2799,2023-01-20 11:08:49.920305,164194424,0,0,4,4,6,0,0,0,0
2840,2023-01-20 11:08:50.020233,164294363,0,0,4,4,6,0,0,0,0
