LineNo,UTC_Approx,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD
694,2023-01-20 11:08:47.422205,161676960,-0.4925524,-0.4925524,-0.001749448,-0.001749448,-0.001749448,0.007143974,0.007143974,0.007143974
1045,2023-01-20 11:08:47.517193,161776947,-0.4961751,-0.4961751,-0.001791719,-0.001791719,-0.001791719,-0.004435539,-0.004435539,-0.004435539
1161,2023-01-20 11:08:47.631748,161894231,-0.4985459,-0.4985459,-0.003123848,-0.003123848,-0.003123848,0.005966187,0.005966187,0.005966187
1424,2023-01-20 11:08:47.739714,161996651,-0.4984185,-0.4984185,-0.002225626,-0.002225626,-0.002225626,-0.001750946,-0.001750946,-0.001750946
1843,2023-01-20 11:08:47.843236,162097182,-0.5004557,-0.5004557,-0.00318781,-0.00318781,-0.00318781,-0.007507324,-0.007507324,-0.007507324
1890,2023-01-20 11:08:47.943025,162197213,-0.5039336,-0.5039336,-0.004788013,-0.004788013,-0.004788013,-0.002318382,-0.002318382,-0.002318382
1935,2023-01-20 11:08:48.042848,162297172,-0.5066692,-0.5066692,-0.005578259,-0.005578259,-0.005578259,0.003428459,0.003428459,0.003428459
1981,2023-01-20 11:08:48.142843,162397162,-0.5088332,-0.5088332,-0.00673861,-0.00673861,-0.00673861,-0.00106144,-0.00106144,-0.00106144
2034,2023-01-20 11:08:48.242861,162497164,-0.510897,-0.510897,-0.006810644,-0.006810644,-0.006810644,0.007857323,0.007857323,0.007857323
2075,2023-01-20 11:08:48.342924,162597194,-0.512727,-0.512727,-0.006583966,-0.006583966,-0.006583966,0.005405426,0.005405426,0.005405426
2133,2023-01-20 11:08:48.439070,162697204,-0.5142857,-0.5142857,-0.006925975,-0.006925975,-0.006925975,-0.007561684,-0.007561684,-0.007561684
2192,2023-01-20 11:08:48.530005,162797178,-0.5157583,-0.5157583,-0.006746707,-0.006746707,-0.006746707,0.0106945,0.0106945,0.0106945
2252,2023-01-20 11:08:48.623079,162897206,-0.5168285,-0.5168285,-0.006911684,-0.006911684,-0.006911684,-0.001937866,-0.001937866,-0.001937866
2306,2023-01-20 11:08:48.723039,162997146,-0.5172745,-0.5172745,-0.00634059,-0.00634059,-0.00634059,0.009696007,0.009696007,0.009696007
2362,2023-01-20 11:08:48.823079,163097171,-0.5174465,-0.5174465,-0.005487018,-0.005487018,-0.005487018,0.001761436,0.001761436,0.001761436
2417,2023-01-20 11:08:48.923121,163197212,-0.517074,-0.517074,-0.005516407,-0.005516407,-0.005516407,-0.01078415,-0.01078415,-0.01078415
2457,2023-01-20 11:08:49.023063,163297157,-0.5159099,-0.5159099,-0.005999994,-0.005999994,-0.005999994,-0.01488304,-0.01488304,-0.01488304
2501,2023-01-20 11:08:49.123046,163397156,-0.5124584,-0.5124584,-0.004819396,-0.004819396,-0.004819396,-0.003133774,-0.003133774,-0.003133774
2543,2023-01-20 11:08:49.225597,163497176,-0.5100386,-0.5100386,-0.004068603,-0.004068603,-0.004068603,0.01111603,0.01111603,0.01111603
2583,2023-01-20 11:08:49.336630,163597173,-0.5080797,-0.5080797,-0.002661701,-0.002661701,-0.002661701,0.01491642,0.01491642,0.01491642
2626,2023-01-20 11:08:49.442937,163697210,-0.5062889,-0.5062889,-0.002407156,-0.002407156,-0.002407156,-0.001629829,-0.001629829,-0.001629829
2664,2023-01-20 11:08:49.542882,163797220,-0.504741,-0.504741,-0.00291315,-0.00291315,-0.00291315,-0.01371384,-0.01371384,-0.01371384
2704,2023-01-20 11:08:49.638949,163897164,-0.5022631,-0.5022631,-0.0003702432,-0.0003702432,-0.0003702432,0.004926682,0.004926682,0.004926682
2742,2023-01-20 11:08:49.730003,163997194,-0.4992517,-0.4992517,0.001075607,0.001075607,0.001075607,0.007866859,0.007866859,0.007866859
2785,2023-01-20 11:08:49.823067,164097164,-0.4970453,-0.4970453,0.002484243,0.002484243,0.002484243,0.01626301,0.01626301,0.01626301
2825,2023-01-20 11:08:49.923091,164197211,-0.4956267,-0.4956267,0.002509614,0.002509614,0.002509614,-0.002902031,-0.002902031,-0.002902031
2865,2023-01-20 11:08:50.023035,164297164,-0.4940476,-0.4940476,0.00324008,0.00324008,0.00324008,-4.1008E-05,-4.1008E-05,-4.1008E-05
2904,2023-01-20 11:08:50.123074,164397166,-0.4916456,-0.4916456,0.005575817,0.005575817,0.005575817,0.01540756,0.01540756,0.01540756
2947,2023-01-20 11:08:50.223128,164497200,-0.4890541,-0.4890541,0.005560145,0.005560145,0.005560145,0.004792213,0.004792213,0.004792213
2985,2023-01-20 11:08:50.323051,164597164,-0.4860092,-0.4860092,0.00612731,0.00612731,0.00612731,0.001132965,0.001132965,0.001132965
3027,2023-01-20 11:08:50.423047,164697202,-0.4818705,-0.4818705,0.008632415,0.008632415,0.008632415,0.009052277,0.009052277,0.009052277
3067,2023-01-20 11:08:50.522957,164797159,-0.4743477,-0.4743477,0.01068144,0.01068144,0.01068144,0.01756763,0.01756763,0.01756763
3107,2023-01-20 11:08:50.622928,164897154,-0.4673579,-0.4673579,0.01381453,0.01381453,0.01381453,0.013381,0.013381,0.013381
3145,2023-01-20 11:08:50.722993,164997161,-0.4584121,-0.4584121,0.01618266,0.01618266,0.01618266,-0.03697491,-0.03697491,-0.03697491
3186,2023-01-20 11:08:50.823015,165097153,-0.4494173,-0.4494173,0.02130059,0.02130059,0.02130059,0.04452038,0.04452038,0.04452038
3226,2023-01-20 11:08:50.923054,165197256,-0.4376843,-0.4376843,0.02212351,0.02212351,0.02212351,0.08046913,0.08046913,0.08046913
3266,2023-01-20 11:08:51.022917,165297166,-0.425053,-0.425053,0.02614366,0.02614366,0.02614366,0.01664543,0.01664543,0.01664543
3304,2023-01-20 11:08:51.122926,165397160,-0.407158,-0.407158,0.03109847,0.03109847,0.03109847,0.02169704,0.02169704,0.02169704
3347,2023-01-20 11:08:51.222966,165497199,-0.3911358,-0.3911358,0.03296007,0.03296007,0.03296007,-0.02664375,-0.02664375,-0.02664375
3385,2023-01-20 11:08:51.322889,165597166,-0.371242,-0.371242,0.03939245,0.03939245,0.03939245,-0.02858162,-0.02858162,-0.02858162
3427,2023-01-20 11:08:51.422896,165697211,-0.3522867,-0.3522867,0.04091427,0.04091427,0.04091427,-0.004218102,-0.004218102,-0.004218102
3465,2023-01-20 11:08:51.522828,165797159,-0.3297184,-0.3297184,0.05125168,0.05125168,0.05125168,0.002392769,0.002392769,0.002392769
3506,2023-01-20 11:08:51.622821,165897163,-0.3096932,-0.3096932,0.05734068,0.05734068,0.05734068,0.04686069,0.04686069,0.04686069
3543,2023-01-20 11:08:51.722821,165997156,-0.2876307,-0.2876307,0.0607316,0.0607316,0.0607316,-0.03461838,-0.03461838,-0.03461838
3586,2023-01-20 11:08:51.822833,166097164,-0.2682185,-0.2682185,0.06262942,0.06262942,0.06262942,0.03452873,0.03452873,0.03452873
3626,2023-01-20 11:08:51.922904,166197238,-0.2457033,-0.2457033,0.06729145,0.06729145,0.06729145,-0.005894661,-0.005894661,-0.005894661
3666,2023-01-20 11:08:52.022830,166297165,-0.2264393,-0.2264393,0.07437655,0.07437655,0.07437655,0.05293083,0.05293083,0.05293083
3702,2023-01-20 11:08:52.122833,166397160,-0.2075785,-0.2075785,0.07818769,0.07818769,0.07818769,-0.02094841,-0.02094841,-0.02094841
3737,2023-01-20 11:08:52.222903,166497226,-0.1913698,-0.1913698,0.08662065,0.08662065,0.08662065,0.009171486,0.009171486,0.009171486
3767,2023-01-20 11:08:52.322835,166597160,-0.1742457,-0.1742457,0.08419535,0.08419535,0.08419535,0.02289295,0.02289295,0.02289295
3802,2023-01-20 11:08:52.422898,166697231,-0.16108,-0.16108,0.08612958,0.08612958,0.08612958,0.009811401,0.009811401,0.009811401
3832,2023-01-20 11:08:52.522869,166797227,-0.1500735,-0.1500735,0.08767274,0.08767274,0.08767274,0.04345894,0.04345894,0.04345894
3865,2023-01-20 11:08:52.622792,166897162,-0.1413273,-0.1413273,0.08886943,0.08886943,0.08886943,-0.02229595,-0.02229595,-0.02229595
3895,2023-01-20 11:08:52.722817,166997155,-0.1330041,-0.1330041,0.09379248,0.09379248,0.09379248,-0.006234169,-0.006234169,-0.006234169
3930,2023-01-20 11:08:52.822849,167097161,-0.1263778,-0.1263778,0.08992335,0.08992335,0.08992335,-0.007507324,-0.007507324,-0.007507324
3962,2023-01-20 11:08:52.922898,167197208,-0.119705,-0.119705,0.09413914,0.09413914,0.09413914,0.06447601,0.06447601,0.06447601
3995,2023-01-20 11:08:53.022865,167297181,-0.1134569,-0.1134569,0.09388365,0.09388365,0.09388365,0.0168705,0.0168705,0.0168705
4025,2023-01-20 11:08:53.122821,167397168,-0.1058144,-0.1058144,0.09426687,0.09426687,0.09426687,-0.03362179,-0.03362179,-0.03362179
4060,2023-01-20 11:08:53.222843,167497212,-0.09953185,-0.09953185,0.09407613,0.09407613,0.09407613,-0.007126808,-0.007126808,-0.007126808
4090,2023-01-20 11:08:53.322853,167597212,-0.09240618,-0.09240618,0.100413,0.100413,0.100413,0.03206825,0.03206825,0.03206825
4125,2023-01-20 11:08:53.422879,167697239,-0.08544167,-0.08544167,0.09697983,0.09697983,0.09697983,-0.04211521,-0.04211521,-0.04211521
4155,2023-01-20 11:08:53.522821,167797222,-0.07631559,-0.07631559,0.09528714,0.09528714,0.09528714,0.01815224,0.01815224,0.01815224
4188,2023-01-20 11:08:53.622802,167897227,-0.06817728,-0.06817728,0.1056522,0.1056522,0.1056522,0.08232975,0.08232975,0.08232975
4218,2023-01-20 11:08:53.722817,167997210,-0.05815314,-0.05815314,0.1146512,0.1146512,0.1146512,-0.00500679,-0.00500679,-0.00500679
4253,2023-01-20 11:08:53.822845,168097217,-0.04863601,-0.04863601,0.09767448,0.09767448,0.09767448,-0.1221638,-0.1221638,-0.1221638
4286,2023-01-20 11:08:53.922964,168197352,-0.03793558,-0.03793558,0.09284317,0.09284317,0.09284317,-0.3075409,-0.3075409,-0.3075409
4319,2023-01-20 11:08:54.022929,168297333,-0.0334431,-0.0334431,0.001463288,0.001463288,0.001463288,-1.227622,-1.227622,-1.227622
4350,2023-01-20 11:08:54.122808,168397225,-0.04040392,-0.0419462,-0.1200765,-0.1185342,-0.1819915,-0.8029028,-0.6274958,-2.063125
4385,2023-01-20 11:08:54.222788,168497209,-0.05562374,-0.06607916,-0.1759918,-0.1655363,-0.3544755,-0.3029028,0.4663527,-1.509909
4415,2023-01-20 11:08:54.322862,168597259,-0.0740758,-0.1034482,-0.1899765,-0.160604,-0.4220696,-0.1302171,1.118389,-0.6669168
4450,2023-01-20 11:08:54.422858,168697245,-0.09416021,-0.1523974,-0.2134036,-0.1551665,-0.4485344,-0.258505,1.177071,-0.06011295
4480,2023-01-20 11:08:54.522815,168797239,-0.1167411,-0.206521,-0.2379896,-0.1482097,-0.4133173,-0.2297624,1.161122,0.523469
4513,2023-01-20 11:08:54.622863,168897312,-0.1417003,-0.2593525,-0.2620297,-0.1443775,-0.3526488,-0.277376,0.8416932,0.3654823
4543,2023-01-20 11:08:54.722781,168997214,-0.1694525,-0.3146009,-0.294304,-0.1491556,-0.3851732,-0.3563681,0.7611948,-0.2202768
4578,2023-01-20 11:08:54.822803,169097220,-0.2005224,-0.3741107,-0.3254617,-0.1518734,-0.3528183,-0.2701293,0.8467986,0.2817707
4610,2023-01-20 11:08:54.922955,169197361,-0.2343365,-0.4351127,-0.3500001,-0.1492239,-0.3321512,-0.2210523,0.7195166,0.5621519
