LineNo,UTC_Approx,TimeUS,TPE,PE,DVE,TVE,VE,DAE,TAE,AE
693,2023-01-20 11:08:47.422189,161676943,-0.8010379,-0.8010379,0.01410822,0.01410822,0.01410822,0,0.0005742623,0.001110062
1044,2023-01-20 11:08:47.517176,161776930,-0.7959775,-0.7959775,0.0147458,0.0147458,0.0147458,0,0.0003088695,0.001227121
1160,2023-01-20 11:08:47.631731,161894214,-0.7857193,-0.7857193,0.01699939,0.01699939,0.01699939,0,0.0001661268,0.001405994
1423,2023-01-20 11:08:47.739696,161996634,-0.7699992,-0.7699992,0.02272163,0.02272163,0.02272163,0,8.935205E-05,0.001621453
1842,2023-01-20 11:08:47.843220,162097166,-0.7552733,-0.7552733,0.02789037,0.02789037,0.02789037,0,4.805839E-05,0.001833949
1889,2023-01-20 11:08:47.943009,162197197,-0.7415078,-0.7415078,0.03218732,0.03218732,0.03218732,0,2.584842E-05,0.001978522
1934,2023-01-20 11:08:48.042832,162297156,-0.7278647,-0.7278647,0.03645754,0.03645754,0.03645754,0,1.390268E-05,0.002153571
1980,2023-01-20 11:08:48.142827,162397146,-0.7146258,-0.7146258,0.04017127,0.04017127,0.04017127,0,7.477622E-06,0.002356956
2033,2023-01-20 11:08:48.242845,162497148,-0.6999286,-0.6999286,0.04556753,0.04556753,0.04556753,0,4.021872E-06,0.002353656
2074,2023-01-20 11:08:48.342896,162597166,-0.6844565,-0.6844565,0.05113685,0.05113685,0.05113685,0,2.163182E-06,0.002334181
2132,2023-01-20 11:08:48.439055,162697188,-0.6725744,-0.6725744,0.0533083,0.0533083,0.0533083,0,1.163477E-06,0.002327257
2191,2023-01-20 11:08:48.529989,162797161,-0.6635329,-0.6635329,0.05403902,0.05403902,0.05403902,0,6.257808E-07,0.002357302
2251,2023-01-20 11:08:48.623063,162897190,-0.6557395,-0.6557395,0.0543199,0.0543199,0.0543199,0,3.365789E-07,0.002277431
2305,2023-01-20 11:08:48.723023,162997130,-0.6487994,-0.6487994,0.05278148,0.05278148,0.05278148,0,1.810305E-07,0.00225601
2361,2023-01-20 11:08:48.823063,163097155,-0.6445054,-0.6445054,0.05020964,0.05020964,0.05020964,0,9.736802E-08,0.002229678
2416,2023-01-20 11:08:48.923105,163197196,-0.6453553,-0.6453553,0.04246915,0.04246915,0.04246915,0,5.236981E-08,0.002229471
2456,2023-01-20 11:08:49.023047,163297141,-0.644136,-0.644136,0.03874012,0.03874012,0.03874012,0,2.816734E-08,0.002214652
2500,2023-01-20 11:08:49.123030,163397140,-0.6376734,-0.6376734,0.03919925,0.03919925,0.03919925,0,1.514993E-08,0.002140111
2542,2023-01-20 11:08:49.225578,163497159,-0.6305382,-0.6305382,0.04125589,0.04125589,0.04125589,0,8.148455E-09,0.002165573
2582,2023-01-20 11:08:49.336612,163597157,-0.6201406,-0.6201406,0.04477037,0.04477037,0.04477037,0,4.382682E-09,0.002097907
2625,2023-01-20 11:08:49.442921,163697194,-0.6104786,-0.6104786,0.04711604,0.04711604,0.04711604,0,2.357245E-09,0.002097897
2663,2023-01-20 11:08:49.542866,163797204,-0.6016749,-0.6016749,0.04886973,0.04886973,0.04886973,0,1.267854E-09,0.002097709
2703,2023-01-20 11:08:49.638935,163897148,-0.5923364,-0.5923364,0.0496625,0.0496625,0.0496625,0,6.819209E-10,0.002097684
2741,2023-01-20 11:08:49.729989,163997178,-0.5827267,-0.5827267,0.05355436,0.05355436,0.05355436,0,3.667742E-10,0.002097791
2784,2023-01-20 11:08:49.823051,164097148,-0.5723016,-0.5723016,0.05564214,0.05564214,0.05564214,0,1.972711E-10,0.002097905
2824,2023-01-20 11:08:49.923075,164197195,-0.5574908,-0.5574908,0.05993639,0.05993639,0.05993639,0,1.061032E-10,0.002097877
2864,2023-01-20 11:08:50.023019,164297148,-0.5468844,-0.5468844,0.06411378,0.06411378,0.06411378,0,5.706807E-11,0.002097667
2903,2023-01-20 11:08:50.123058,164397150,-0.5437353,-0.5437353,0.0608807,0.0608807,0.0608807,0,3.06943E-11,0.00209754
2946,2023-01-20 11:08:50.223112,164497184,-0.5400872,-0.5400872,0.05527403,0.05527403,0.05527403,0,1.650907E-11,0.002097767
2984,2023-01-20 11:08:50.323035,164597148,-0.5348296,-0.5348296,0.05021999,0.05021999,0.05021999,0,8.879474E-12,0.002097968
3026,2023-01-20 11:08:50.423030,164697185,-0.5303282,-0.5303282,0.04735278,0.04735278,0.04735278,0,4.775865E-12,0.002097929
3066,2023-01-20 11:08:50.522941,164797143,-0.5268931,-0.5268931,0.04700294,0.04700294,0.04700294,0,2.56872E-12,0.002097531
3106,2023-01-20 11:08:50.622912,164897138,-0.522119,-0.522119,0.04648583,0.04648583,0.04648583,0,1.381597E-12,0.00209699
3144,2023-01-20 11:08:50.722977,164997145,-0.5136364,-0.5136364,0.04839681,0.04839681,0.04839681,0,7.430981E-13,0.002097536
3185,2023-01-20 11:08:50.822999,165097137,-0.5055649,-0.5055649,0.05213105,0.05213105,0.05213105,0,3.996785E-13,0.00209723
3225,2023-01-20 11:08:50.923038,165197240,-0.4967268,-0.4967268,0.05446553,0.05446553,0.05446553,0,2.149688E-13,0.002097765
3265,2023-01-20 11:08:51.022901,165297150,-0.4871103,-0.4871103,0.04676392,0.04676392,0.04676392,0,1.156219E-13,0.002097555
3303,2023-01-20 11:08:51.122910,165397144,-0.4737792,-0.4737792,0.05717338,0.05717338,0.05717338,0,6.218775E-14,0.002098107
3346,2023-01-20 11:08:51.222949,165497182,-0.4613549,-0.4613549,0.05863788,0.05863788,0.05863788,0,3.344795E-14,0.002098021
3384,2023-01-20 11:08:51.322873,165597150,-0.4479062,-0.4479062,0.06269059,0.06269059,0.06269059,0,1.799012E-14,0.002097647
3426,2023-01-20 11:08:51.422879,165697194,-0.43814,-0.43814,0.06561009,0.06561009,0.06561009,0,9.676065E-15,0.002097922
3464,2023-01-20 11:08:51.522807,165797138,-0.4346769,-0.4346769,0.05542006,0.05542006,0.05542006,0,5.204314E-15,0.002097895
3505,2023-01-20 11:08:51.622804,165897147,-0.4319664,-0.4319664,0.05761963,0.05761963,0.05761963,0,2.799164E-15,0.002098287
3542,2023-01-20 11:08:51.722805,165997140,-0.4311188,-0.4311188,0.05132404,0.05132404,0.05132404,0,1.505543E-15,0.00209804
3585,2023-01-20 11:08:51.822817,166097148,-0.4290709,-0.4290709,0.05045297,0.05045297,0.05045297,0,8.097629E-16,0.002097915
3625,2023-01-20 11:08:51.922867,166197201,-0.4246904,-0.4246904,0.04673707,0.04673707,0.04673707,0,4.355345E-16,0.002098121
3665,2023-01-20 11:08:52.022815,166297149,-0.4193195,-0.4193195,0.04371537,0.04371537,0.04371537,0,2.342542E-16,0.002098345
3701,2023-01-20 11:08:52.122817,166397144,-0.4109607,-0.4109607,0.04733822,0.04733822,0.04733822,0,1.259946E-16,0.002098526
3736,2023-01-20 11:08:52.222888,166497210,-0.4051402,-0.4051402,0.05119547,0.05119547,0.05119547,0,6.776677E-17,0.002098192
