LineNo,UTC_Approx,TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
692,2023-01-20 11:08:47.422176,161676929,6.639023,6.639023,-0.03303371,-0.03303371,-0.03303371,0,-0.0009065262,-0.00165785
1043,2023-01-20 11:08:47.517162,161776915,6.624416,6.624416,-0.03527148,-0.03527148,-0.03527148,0,-0.000487579,-0.001573175
1159,2023-01-20 11:08:47.631715,161894199,6.606935,6.606935,-0.03843127,-0.03843127,-0.03843127,0,-0.0002622465,-0.001415587
1422,2023-01-20 11:08:47.739680,161996619,6.589347,6.589347,-0.04237962,-0.04237962,-0.04237962,0,-0.0001410504,-0.001162581
1841,2023-01-20 11:08:47.843205,162097151,6.576921,6.576921,-0.04362778,-0.04362778,-0.04362778,0,-7.586458E-05,-0.0008986542
1888,2023-01-20 11:08:47.942994,162197182,6.568419,6.568419,-0.04152121,-0.04152121,-0.04152121,0,-4.080409E-05,-0.0007519864
1933,2023-01-20 11:08:48.042817,162297141,6.551949,6.551949,-0.04480924,-0.04480924,-0.04480924,0,-2.194665E-05,-0.0005733939
1979,2023-01-20 11:08:48.142812,162397132,6.530371,6.530371,-0.05162729,-0.05162729,-0.05162729,0,-1.18041E-05,-0.000368047
2032,2023-01-20 11:08:48.242830,162497133,6.504953,6.504953,-0.05931446,-0.05931446,-0.05931446,0,-6.348889E-06,-0.0001248834
2073,2023-01-20 11:08:48.342882,162597152,6.477474,6.477474,-0.06947605,-0.06947605,-0.06947605,0,-3.414778E-06,0.0001302115
2131,2023-01-20 11:08:48.439041,162697173,6.455162,6.455162,-0.07453343,-0.07453343,-0.07453343,0,-1.836653E-06,0.0002716589
2190,2023-01-20 11:08:48.529976,162797147,6.437187,6.437187,-0.07639108,-0.07639108,-0.07639108,0,-9.878521E-07,0.0004390472
2250,2023-01-20 11:08:48.623048,162897175,6.42035,6.42035,-0.07838888,-0.07838888,-0.07838888,0,-5.313206E-07,0.0005299067
2304,2023-01-20 11:08:48.723008,162997115,6.400537,6.400537,-0.08235857,-0.08235857,-0.08235857,0,-2.85773E-07,0.0006256471
2360,2023-01-20 11:08:48.823049,163097141,6.383472,6.383472,-0.08437558,-0.08437558,-0.08437558,0,-1.537043E-07,0.0007081284
2415,2023-01-20 11:08:48.923091,163197182,6.367461,6.367461,-0.08456753,-0.08456753,-0.08456753,0,-8.267052E-08,0.0008074258
2455,2023-01-20 11:08:49.023033,163297127,6.352314,6.352314,-0.08418375,-0.08418375,-0.08418375,0,-4.44647E-08,0.0008825252
2499,2023-01-20 11:08:49.123015,163397125,6.334117,6.334117,-0.08608881,-0.08608881,-0.08608881,0,-2.391554E-08,0.0009204727
2541,2023-01-20 11:08:49.225563,163497145,6.315722,6.315722,-0.09038695,-0.09038695,-0.09038695,0,-1.286308E-08,0.001019852
2581,2023-01-20 11:08:49.336590,163597137,6.291584,6.291584,-0.09717652,-0.09717652,-0.09717652,0,-6.918462E-09,0.001047648
2624,2023-01-20 11:08:49.442906,163697179,6.267671,6.267671,-0.1032926,-0.1032926,-0.1032926,0,-3.721125E-09,0.001047671
2662,2023-01-20 11:08:49.542851,163797189,6.244459,6.244459,-0.108398,-0.108398,-0.108398,0,-2.001424E-09,0.001048045
2702,2023-01-20 11:08:49.638908,163897119,6.219216,6.219216,-0.1144385,-0.1144385,-0.1144385,0,-1.076474E-09,0.001048097
2740,2023-01-20 11:08:49.729976,163997164,6.19282,6.19282,-0.1246385,-0.1246385,-0.1246385,0,-5.789866E-10,0.001047881
2783,2023-01-20 11:08:49.823036,164097133,6.169699,6.169699,-0.1292038,-0.1292038,-0.1292038,0,-3.114105E-10,0.001047652
2823,2023-01-20 11:08:49.923060,164197180,6.14851,6.14851,-0.1297487,-0.1297487,-0.1297487,0,-1.674935E-10,0.001047707
2863,2023-01-20 11:08:50.023004,164297133,6.131094,6.131094,-0.1302033,-0.1302033,-0.1302033,0,-9.008711E-11,0.001048127
2902,2023-01-20 11:08:50.123044,164397136,6.118817,6.118817,-0.1248698,-0.1248698,-0.1248698,0,-4.845375E-11,0.001048379
2945,2023-01-20 11:08:50.223098,164497170,6.108796,6.108796,-0.119792,-0.119792,-0.119792,0,-2.606105E-11,0.001047925
2983,2023-01-20 11:08:50.323021,164597134,6.102413,6.102413,-0.1134577,-0.1134577,-0.1134577,0,-1.401705E-11,0.001047523
3025,2023-01-20 11:08:50.423016,164697171,6.095103,6.095103,-0.10861,-0.10861,-0.10861,0,-7.539135E-12,0.001047602
3065,2023-01-20 11:08:50.522927,164797129,6.085382,6.085382,-0.1040431,-0.1040431,-0.1040431,0,-4.054956E-12,0.001048399
3105,2023-01-20 11:08:50.622898,164897124,6.074748,6.074748,-0.09786239,-0.09786239,-0.09786239,0,-2.180976E-12,0.001049479
3143,2023-01-20 11:08:50.722962,164997130,6.06012,6.06012,-0.1058207,-0.1058207,-0.1058207,0,-1.173048E-12,0.001048389
3184,2023-01-20 11:08:50.822984,165097122,6.044668,6.044668,-0.1038529,-0.1038529,-0.1038529,0,-6.309291E-13,0.001048999
3224,2023-01-20 11:08:50.923024,165197226,6.024496,6.024496,-0.1088572,-0.1088572,-0.1088572,0,-3.393479E-13,0.001047929
3264,2023-01-20 11:08:51.022887,165297136,6.00295,6.00295,-0.1134245,-0.1134245,-0.1134245,0,-1.825198E-13,0.00104835
3302,2023-01-20 11:08:51.122896,165397130,5.974104,5.974104,-0.1207781,-0.1207781,-0.1207781,0,-9.816905E-14,0.001047243
3345,2023-01-20 11:08:51.222935,165497168,5.946948,5.946948,-0.1343716,-0.1343716,-0.1343716,0,-5.280065E-14,0.001047417
3383,2023-01-20 11:08:51.322859,165597136,5.916963,5.916963,-0.141674,-0.141674,-0.141674,0,-2.839906E-14,0.001048165
3425,2023-01-20 11:08:51.422865,165697180,5.888965,5.888965,-0.1513701,-0.1513701,-0.1513701,0,-1.527456E-14,0.001047616
3463,2023-01-20 11:08:51.522793,165797124,5.859197,5.859197,-0.15046,-0.15046,-0.15046,0,-8.215488E-15,0.001047669
3504,2023-01-20 11:08:51.622790,165897132,5.83722,5.83722,-0.1544425,-0.1544425,-0.1544425,0,-4.418735E-15,0.001046883
3541,2023-01-20 11:08:51.722790,165997125,5.828376,5.828376,-0.1545928,-0.1545928,-0.1545928,0,-2.376636E-15,0.001047379
3584,2023-01-20 11:08:51.822802,166097133,5.818458,5.818458,-0.145592,-0.145592,-0.145592,0,-1.278284E-15,0.001047628
3624,2023-01-20 11:08:51.922853,166197187,5.80573,5.80573,-0.1472191,-0.1472191,-0.1472191,0,-6.875304E-16,0.001047216
3664,2023-01-20 11:08:52.022799,166297134,5.793323,5.793323,-0.1328831,-0.1328831,-0.1328831,0,-3.697912E-16,0.001046767
3700,2023-01-20 11:08:52.122802,166397129,5.781148,5.781148,-0.1426248,-0.1426248,-0.1426248,0,-1.988938E-16,0.001046404
3735,2023-01-20 11:08:52.222854,166497177,5.771245,5.771245,-0.136389,-0.136389,-0.136389,0,-1.069759E-16,0.001047074
3765,2023-01-20 11:08:52.322804,166597129,5.767148,5.767148,-0.1338435,-0.1338435,-0.1338435,0,-5.753746E-17,0.001046974
3800,2023-01-20 11:08:52.422867,166697200,5.764019,5.764019,-0.1244051,-0.1244051,-0.1244051,0,-3.094678E-17,0.001047018
3830,2023-01-20 11:08:52.522839,166797197,5.76548,5.76548,-0.1081884,-0.1081884,-0.1081884,0,-1.664486E-17,0.001046025
3863,2023-01-20 11:08:52.622761,166897131,5.76604,5.76604,-0.1150322,-0.1150322,-0.1150322,0,-8.952508E-18,0.001046596
3893,2023-01-20 11:08:52.722786,166997124,5.768799,5.768799,-0.09831149,-0.09831149,-0.09831149,0,-4.815146E-18,0.001046478
3928,2023-01-20 11:08:52.822814,167097126,5.767979,5.767979,-0.09953611,-0.09953611,-0.09953611,0,-2.589847E-18,0.001046314
3960,2023-01-20 11:08:52.922867,167197177,5.762764,5.762764,-0.08403725,-0.08403725,-0.08403725,0,-1.392961E-18,0.001046539
3993,2023-01-20 11:08:53.022834,167297150,5.754862,5.754862,-0.0855877,-0.0855877,-0.0855877,0,-7.4921E-19,0.001045452
4023,2023-01-20 11:08:53.122791,167397138,5.741034,5.741034,-0.09397607,-0.09397607,-0.09397607,0,-4.02966E-19,0.001046314
4058,2023-01-20 11:08:53.222812,167497181,5.729578,5.732318,-0.09135054,-0.09409102,-0.09765644,0.09164508,0.07203403,0.01194008
4088,2023-01-20 11:08:53.322823,167597182,5.724946,5.734352,-0.08025748,-0.089663,-0.0842068,0.08051625,0.05976987,0.03084186
4123,2023-01-20 11:08:53.422848,167697208,5.723817,5.736717,-0.07053224,-0.08343264,-0.07956083,0.07075965,0.06978104,0.04603248
4153,2023-01-20 11:08:53.522786,167797187,5.72658,5.743466,-0.06199604,-0.07888263,-0.06847899,0.06219592,0.033754,0.03736387
4186,2023-01-20 11:08:53.622763,167897188,5.731084,5.747561,-0.05449839,-0.07097544,-0.06553932,0.0546741,0.0355762,0.02844399
4216,2023-01-20 11:08:53.722786,167997179,5.735251,5.749006,-0.04791025,-0.06166513,-0.06461784,0.04806472,0.07667854,0.04659224
4251,2023-01-20 11:08:53.822815,168097187,5.737966,5.744693,-0.04211992,-0.0488466,-0.06164861,0.04225572,0.08929254,0.05178673
4284,2023-01-20 11:08:53.922933,168197321,5.734017,5.728828,-0.03703009,-0.03184088,-0.07192415,0.03714948,0.207606,0.100779
