LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
674,2023-01-20 11:08:47.421786,161676519,9.127155,0.03650197,0.02125516,-3.053786,-0.03455582,-0.007275044,34.8353,0.04089973,0.03951022,-0.7143974,-0.7143974,0
1027,2023-01-20 11:08:47.516785,161776518,8.92091,-0.02505309,0.02113353,-4.02174,-0.02109392,-0.009801463,80.49108,-0.01382625,0.1386489,0.4435539,0.4435539,0
1143,2023-01-20 11:08:47.631323,161893827,8.716278,0.02988811,0.02030564,-4.989222,0.0198774,-0.0123594,129.9985,0.06108547,0.2767338,-0.5966187,-0.5966187,0
1406,2023-01-20 11:08:47.739264,161996224,8.543842,0.01327234,0.0200818,-5.961135,-0.01200453,-0.01443143,176.8675,-0.04235302,0.423598,0.1750946,0.1750946,0
1825,2023-01-20 11:08:47.842803,162096748,8.369275,0.006621961,0.01966161,-6.952123,0.0430921,-0.01692164,211.6799,0.005479999,0.5618162,0.7507324,0.7507324,0
1870,2023-01-20 11:08:47.942573,162196760,8.179693,0.007804123,0.01903982,-7.956313,0.008410847,-0.01927691,238.6606,0.04279827,0.6656578,0.2318382,0.2318382,0
1917,2023-01-20 11:08:48.042432,162296756,7.986341,-0.009726951,0.01875611,-8.926728,-0.04210663,-0.02133456,265.6418,0.0003676129,0.7559512,-0.3428459,-0.3428459,0
1963,2023-01-20 11:08:48.142426,162396746,7.924517,-0.02497257,0.01871369,-9.345345,0.01610213,-0.02213363,277.7833,-0.04180682,0.832899,0.106144,0.106144,0
2016,2023-01-20 11:08:48.242446,162496749,7.962262,-0.02584507,0.01898202,-9.30012,-0.05963569,-0.02165837,277.7835,0.04804031,0.861142,-0.7857323,-0.7857323,0
2057,2023-01-20 11:08:48.342514,162596784,8.002525,-0.04856312,0.01931766,-9.259965,-0.04823855,-0.02146728,277.7836,-0.01563536,0.869314,-0.5405426,-0.5405426,0
2113,2023-01-20 11:08:48.438676,162696771,8.024953,-0.03276539,0.01935181,-9.241226,-0.05576431,-0.02129909,277.7836,0.02305022,0.8717372,0.7561684,0.7561684,0
2174,2023-01-20 11:08:48.529638,162796775,8.151969,-0.1012958,0.01939116,-9.186351,-0.02443579,-0.02179168,277.7863,0.06077012,0.8724222,-1.06945,-1.06945,0
2234,2023-01-20 11:08:48.622672,162896799,8.010627,0.02586914,0.01875347,-9.237028,-0.001301781,-0.02169571,277.7839,0.00810062,0.8725773,0.1937866,0.1937866,0
2288,2023-01-20 11:08:48.722638,162996745,8.003049,0.008370915,0.01908516,-9.214437,-0.04261723,-0.02146411,277.7844,0.01316052,0.8726375,-0.9696007,-0.9696007,0
2343,2023-01-20 11:08:48.822645,163096737,8.020889,0.01051483,0.01867118,-9.205872,-0.01523518,-0.02163567,277.7843,-0.0501855,0.8726885,-0.1761436,-0.1761436,0
2397,2023-01-20 11:08:48.922681,163196772,8.048612,-0.06328208,0.01926115,-8.985853,-0.01818874,-0.02099075,272.3885,0.03391154,0.8717575,1.078415,1.078415,0
2439,2023-01-20 11:08:49.022654,163296748,8.231574,-0.02351733,0.01985195,-7.989587,-0.03673095,-0.01817842,245.4074,0.01609033,0.8297804,1.488304,1.488304,0
2483,2023-01-20 11:08:49.122653,163396763,8.423495,0.0319346,0.01988439,-6.993213,0.02106648,-0.01640368,218.4261,0.03536333,0.7574131,0.3133774,0.3133774,0
2525,2023-01-20 11:08:49.225127,163496753,8.615709,0.02061451,0.02036914,-5.990917,0.02332171,-0.01386653,191.4447,0.02977376,0.6762378,-1.111603,-1.111603,0
2565,2023-01-20 11:08:49.336162,163596752,9.423656,-0.001218747,0.02305687,-1.708014,0.02207727,0.001113561,-0.03159612,0.01061268,0.516021,-1.491642,-1.491642,0
2606,2023-01-20 11:08:49.442490,163696763,9.426594,0.07265822,0.0216631,-1.694061,0.01051835,-0.003931978,-0.03134988,-0.002252769,0.1516291,0.1629829,0.1629829,0
2646,2023-01-20 11:08:49.542462,163796800,9.403754,0.3295945,0.02102666,-1.697016,0.5090747,-0.007128335,-0.03135057,-0.1257422,0.04445029,1.371384,1.371384,0
2686,2023-01-20 11:08:49.638568,163896745,9.405447,-0.01869235,0.02254269,-1.685233,-0.09301906,-0.003710304,-0.03110467,-0.935901,0.01298515,-0.4926682,-0.4926682,0
2724,2023-01-20 11:08:49.729627,163996781,9.398209,-0.1107991,0.02273052,-1.683296,-0.3334816,-0.001522553,-0.03110456,-1.160953,0.003558835,-0.7866859,-0.7866859,0
2767,2023-01-20 11:08:49.822625,164096721,9.400515,-0.002269353,0.02259624,-1.691585,-0.01169386,-0.003221021,-0.03135052,-0.8538533,0.0007120883,-1.626301,-1.626301,0
2805,2023-01-20 11:08:49.922623,164196743,9.394656,0.1572636,0.0207765,-1.679575,-0.2423676,-0.001518621,-0.03110338,-1.147382,-6.532621E-05,0.2902031,0.2902031,0
2847,2023-01-20 11:08:50.022623,164296752,9.400211,0.09101067,0.02107357,-1.672075,-0.291592,-0.00180409,-0.03085878,-1.963332,9.993585E-05,0.0041008,0.0041008,0
2886,2023-01-20 11:08:50.122655,164396747,9.394229,0.07253503,0.02105724,-1.679612,0.005220389,-0.005233434,-0.0311032,-1.132261,0.0005309698,-1.540756,-1.540756,0
2929,2023-01-20 11:08:50.222728,164496800,9.382894,0.05703238,0.02173642,-1.679254,-0.008296979,-0.004225194,-0.03097989,1.308601,0.0002721657,-0.4792213,-0.4792213,0
2967,2023-01-20 11:08:50.322659,164596772,9.381322,0.1058129,0.02202584,-1.673869,-0.1333628,-0.002762472,-0.03085602,1.985292,-0.0002927576,-0.1132965,-0.1132965,0
3007,2023-01-20 11:08:50.422614,164696769,9.38897,-0.2206538,0.02448285,-1.673621,-0.009181628,-0.003914497,-0.03085859,0.2272282,-0.0006731029,-0.9052277,-0.9052277,0
3049,2023-01-20 11:08:50.522549,164796751,9.377493,-0.09721965,0.02251516,-1.664511,-0.1126644,-0.003853762,-0.03073378,-2.186856,-0.0001386409,-1.756763,-1.756763,0
3089,2023-01-20 11:08:50.622533,164896759,9.381289,-0.06684358,0.02181411,-1.657384,0.1783891,-0.005859535,-0.05138817,-1.721577,0.00136245,-1.3381,-1.3381,0
3127,2023-01-20 11:08:50.722592,164996760,9.334319,-0.9186519,0.03248803,-1.683283,-1.37185,0.005526356,-0.1856445,-2.803524,-0.001304622,3.697491,3.697491,0
3168,2023-01-20 11:08:50.822597,165096735,9.272312,0.9629084,0.01922332,-1.651308,-0.9792485,0.003443525,-0.1099111,-3.7741,-3.332733E-05,-4.452038,-4.452038,0
3206,2023-01-20 11:08:50.922625,165196827,9.273703,0.3417522,0.02286763,-1.674557,-0.604051,-2.465816E-05,-0.2418297,0.3555002,-0.0005153434,-8.046913,-8.046913,0
3248,2023-01-20 11:08:51.022513,165296762,9.298306,-0.1070491,0.02655919,-1.668282,-0.0666794,-0.004909759,-0.1900699,-1.710519,-0.0004170107,-1.664543,-1.664543,0
3286,2023-01-20 11:08:51.122529,165396763,9.32343,-0.5124877,0.02855167,-1.677679,0.6745561,-0.0106868,-0.3262918,3.038875,-0.0007015898,-2.169704,-2.169704,0
3329,2023-01-20 11:08:51.222569,165496802,9.294262,0.2011632,0.02291709,-1.725452,0.8222725,-0.009636295,-0.3057602,1.677836,-0.001413318,2.664375,2.664375,0
