LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
689,2023-01-20 11:08:47.422070,161676817,1505,1505,1054,1957,1505,1505,1054,1055,0,0,0,0,0,0
1040,2023-01-20 11:08:47.517043,161776790,1505,1505,1054,1957,1505,1505,1054,1055,0,0,0,0,0,0
1156,2023-01-20 11:08:47.631652,161894139,1505,1505,1054,1956,1506,1505,1054,1055,0,0,0,0,0,0
1419,2023-01-20 11:08:47.739620,161996562,1506,1505,1054,1956,1506,1505,1054,1054,0,0,0,0,0,0
1838,2023-01-20 11:08:47.843134,162097080,1505,1506,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
1885,2023-01-20 11:08:47.942937,162197125,1505,1506,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
1930,2023-01-20 11:08:48.042760,162297084,1506,1505,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
1976,2023-01-20 11:08:48.142756,162397075,1505,1506,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
2029,2023-01-20 11:08:48.242770,162497073,1505,1506,1054,1956,1505,1505,1055,1054,0,0,0,0,0,0
2070,2023-01-20 11:08:48.342825,162597095,1505,1505,1055,1956,1505,1505,1054,1055,0,0,0,0,0,0
2128,2023-01-20 11:08:48.438990,162697117,1505,1506,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
2187,2023-01-20 11:08:48.529924,162797090,1505,1505,1055,1956,1505,1505,1055,1054,0,0,0,0,0,0
2247,2023-01-20 11:08:48.622980,162897107,1505,1505,1055,1956,1505,1505,1054,1055,0,0,0,0,0,0
2301,2023-01-20 11:08:48.722951,162997058,1505,1506,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
2357,2023-01-20 11:08:48.822992,163097084,1505,1505,1055,1956,1505,1505,1055,1054,0,0,0,0,0,0
2412,2023-01-20 11:08:48.923020,163197111,1505,1505,1055,1934,1505,1505,1054,1055,0,0,0,0,0,0
2452,2023-01-20 11:08:49.022976,163297070,1506,1505,1054,1801,1505,1505,1055,1054,0,0,0,0,0,0
2496,2023-01-20 11:08:49.122959,163397069,1505,1505,1054,1506,1505,1505,1054,1054,0,0,0,0,0,0
2538,2023-01-20 11:08:49.225471,163497062,1505,1505,1054,1506,1505,1505,1055,1054,0,0,0,0,0,0
2578,2023-01-20 11:08:49.336510,163597065,1505,1506,1054,1505,1505,1506,1054,1054,0,0,0,0,0,0
2621,2023-01-20 11:08:49.442849,163697122,1506,1505,1054,1505,1505,1506,1054,1054,0,0,0,0,0,0
2659,2023-01-20 11:08:49.542794,163797132,1505,1505,1054,1506,1505,1505,1054,1055,0,0,0,0,0,0
2699,2023-01-20 11:08:49.638856,163897062,1505,1506,1054,1505,1505,1506,1054,1054,0,0,0,0,0,0
2737,2023-01-20 11:08:49.729910,163997092,1506,1505,1054,1505,1506,1505,1054,1054,0,0,0,0,0,0
2780,2023-01-20 11:08:49.822968,164097065,1505,1505,1054,1506,1505,1505,1054,1054,0,0,0,0,0,0
2820,2023-01-20 11:08:49.922997,164197117,1505,1505,1055,1505,1505,1505,1055,1054,0,0,0,0,0,0
2860,2023-01-20 11:08:50.022948,164297077,1505,1506,1054,1505,1505,1506,1054,1054,0,0,0,0,0,0
2899,2023-01-20 11:08:50.122979,164397071,1506,1505,1091,1505,1506,1505,1054,1054,0,0,0,0,0,0
