LineNo,UTC_Approx,TimeUS,C15,C16,C17,C18
691,2023-01-20 11:08:47.422103,161676852,0,0,0,0
1042,2023-01-20 11:08:47.517090,161776839,0,0,0,0
1158,2023-01-20 11:08:47.631691,161894176,0,0,0,0
1421,2023-01-20 11:08:47.739656,161996596,0,0,0,0
1840,2023-01-20 11:08:47.843183,162097129,0,0,0,0
1887,2023-01-20 11:08:47.942971,162197159,0,0,0,0
1932,2023-01-20 11:08:48.042794,162297118,0,0,0,0
1978,2023-01-20 11:08:48.142789,162397109,0,0,0,0
2031,2023-01-20 11:08:48.242807,162497110,0,0,0,0
2072,2023-01-20 11:08:48.342859,162597129,0,0,0,0
2130,2023-01-20 11:08:48.439021,162697151,0,0,0,0
2189,2023-01-20 11:08:48.529955,162797124,0,0,0,0
2249,2023-01-20 11:08:48.623022,162897149,0,0,0,0
2303,2023-01-20 11:08:48.722985,162997092,0,0,0,0
2359,2023-01-20 11:08:48.823026,163097118,0,0,0,0
2414,2023-01-20 11:08:48.923068,163197159,0,0,0,0
2454,2023-01-20 11:08:49.023010,163297104,0,0,0,0
2498,2023-01-20 11:08:49.122993,163397103,0,0,0,0
2540,2023-01-20 11:08:49.225508,163497096,0,0,0,0
2580,2023-01-20 11:08:49.336548,163597099,0,0,0,0
2623,2023-01-20 11:08:49.442883,163697156,0,0,0,0
2661,2023-01-20 11:08:49.542828,163797166,0,0,0,0
2701,2023-01-20 11:08:49.638887,163897096,0,0,0,0
2739,2023-01-20 11:08:49.729955,163997141,0,0,0,0
2782,2023-01-20 11:08:49.823005,164097102,0,0,0,0
2822,2023-01-20 11:08:49.923034,164197154,0,0,0,0
2862,2023-01-20 11:08:50.022982,164297111,0,0,0,0
2901,2023-01-20 11:08:50.123013,164397105,0,0,0,0
2944,2023-01-20 11:08:50.223075,164497147,0,0,0,0
2982,2023-01-20 11:08:50.322998,164597111,0,0,0,0
3024,2023-01-20 11:08:50.422993,164697148,0,0,0,0
3064,2023-01-20 11:08:50.522900,164797102,0,0,0,0
3104,2023-01-20 11:08:50.622875,164897101,0,0,0,0
3142,2023-01-20 11:08:50.722939,164997107,0,0,0,0
3183,2023-01-20 11:08:50.822958,165097096,0,0,0,0
3223,2023-01-20 11:08:50.923001,165197203,0,0,0,0
3263,2023-01-20 11:08:51.022864,165297113,0,0,0,0
3301,2023-01-20 11:08:51.122873,165397107,0,0,0,0
3344,2023-01-20 11:08:51.222908,165497141,0,0,0,0
3382,2023-01-20 11:08:51.322836,165597113,0,0,0,0
3424,2023-01-20 11:08:51.422842,165697157,0,0,0,0
3462,2023-01-20 11:08:51.522770,165797101,0,0,0,0
3503,2023-01-20 11:08:51.622766,165897109,0,0,0,0
3540,2023-01-20 11:08:51.722768,165997103,0,0,0,0
3583,2023-01-20 11:08:51.822775,166097106,0,0,0,0
3623,2023-01-20 11:08:51.922830,166197164,0,0,0,0
3663,2023-01-20 11:08:52.022777,166297111,0,0,0,0
3699,2023-01-20 11:08:52.122779,166397106,0,0,0,0
3734,2023-01-20 11:08:52.222831,166497154,0,0,0,0
3764,2023-01-20 11:08:52.322781,166597106,0,0,0,0
3799,2023-01-20 11:08:52.422844,166697177,0,0,0,0
3829,2023-01-20 11:08:52.522816,166797174,0,0,0,0
3862,2023-01-20 11:08:52.622738,166897109,0,0,0,0
3892,2023-01-20 11:08:52.722764,166997102,0,0,0,0
3927,2023-01-20 11:08:52.822792,167097104,0,0,0,0
3959,2023-01-20 11:08:52.922844,167197154,0,0,0,0
3992,2023-01-20 11:08:53.022811,167297127,0,0,0,0
4022,2023-01-20 11:08:53.122764,167397111,0,0,0,0
4057,2023-01-20 11:08:53.222789,167497158,0,0,0,0
4087,2023-01-20 11:08:53.322800,167597159,0,0,0,0
4122,2023-01-20 11:08:53.422826,167697186,0,0,0,0
4152,2023-01-20 11:08:53.522763,167797164,0,0,0,0
4185,2023-01-20 11:08:53.622740,167897165,0,0,0,0
4215,2023-01-20 11:08:53.722763,167997156,0,0,0,0
4250,2023-01-20 11:08:53.822788,168097160,0,0,0,0
4283,2023-01-20 11:08:53.922856,168197244,0,0,0,0
