LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
690,2023-01-20 11:08:47.422088,161676837,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1041,2023-01-20 11:08:47.517074,161776822,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1157,2023-01-20 11:08:47.631673,161894159,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1420,2023-01-20 11:08:47.739641,161996582,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1839,2023-01-20 11:08:47.843153,162097099,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1886,2023-01-20 11:08:47.942957,162197145,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1931,2023-01-20 11:08:48.042780,162297104,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1977,2023-01-20 11:08:48.142774,162397094,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2030,2023-01-20 11:08:48.242793,162497096,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2071,2023-01-20 11:08:48.342844,162597114,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2129,2023-01-20 11:08:48.439008,162697136,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2188,2023-01-20 11:08:48.529943,162797110,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2248,2023-01-20 11:08:48.623000,162897127,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2302,2023-01-20 11:08:48.722971,162997078,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2358,2023-01-20 11:08:48.823012,163097104,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2413,2023-01-20 11:08:48.923053,163197144,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2453,2023-01-20 11:08:49.022996,163297090,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2497,2023-01-20 11:08:49.122978,163397088,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2539,2023-01-20 11:08:49.225492,163497081,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2579,2023-01-20 11:08:49.336532,163597085,1006,1006,1006,1006,1000,0,0,0,0,0,0,0,0,0
2622,2023-01-20 11:08:49.442869,163697142,1036,1036,1036,1036,1000,0,0,0,0,0,0,0,0,0
2660,2023-01-20 11:08:49.542814,163797152,1066,1066,1066,1066,1000,0,0,0,0,0,0,0,0,0
2700,2023-01-20 11:08:49.638874,163897081,1096,1096,1096,1096,1000,0,0,0,0,0,0,0,0,0
2738,2023-01-20 11:08:49.729941,163997126,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2781,2023-01-20 11:08:49.822992,164097088,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2821,2023-01-20 11:08:49.923017,164197137,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2861,2023-01-20 11:08:50.022967,164297096,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2900,2023-01-20 11:08:50.122999,164397091,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2943,2023-01-20 11:08:50.223057,164497129,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2981,2023-01-20 11:08:50.322983,164597096,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
3023,2023-01-20 11:08:50.422979,164697134,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
3063,2023-01-20 11:08:50.522886,164797088,1121,1121,1121,1121,1000,0,0,0,0,0,0,0,0,0
3103,2023-01-20 11:08:50.622861,164897087,1161,1150,1213,1198,1000,0,0,0,0,0,0,0,0,0
3141,2023-01-20 11:08:50.722925,164997093,1150,1160,1220,1233,1000,0,0,0,0,0,0,0,0,0
