LineNo,UTC_Approx,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
5295,2023-01-20 11:08:57.067150,171341540,1,2,300,0,5.488772,-0.2385844,-2.257509
5945,2023-01-20 11:08:59.056489,173336561,1,3,300,0,4.973361,-0.09220082,-4.210344
6493,2023-01-20 11:09:00.704415,174999034,1,4,300,0,3.128821,-0.5633212,-5.497721
6795,2023-01-20 11:09:01.701960,175996629,1,5,300,0,1.302356,-0.2720383,-6.360806
7437,2023-01-20 11:09:03.696907,177991567,1,6,300,0,0.2978044,-0.2960377,-8.293782
7985,2023-01-20 11:09:05.359456,179654086,1,7,300,0,-0.6929078,-1.08928,-10.13175
8634,2023-01-20 11:09:07.354394,181649036,1,8,300,0,-2.806269,-1.319728,-10.58532
9383,2023-01-20 11:09:09.664830,183979050,1,9,300,0,-3.398375,0.1779714,-12.1914
9836,2023-01-20 11:09:10.997197,185311580,1,10,300,0,-3.726426,1.491899,-13.95553
10258,2023-01-20 11:09:12.332177,186646583,1,11,300,0,-3.82755,2.612495,-15.86811
10906,2023-01-20 11:09:14.332197,188646579,1,12,300,0,-3.603482,3.851964,-17.5068
12105,2023-01-20 11:09:17.997218,192311581,1,13,300,0,-1.582432,5.242723,-17.5706
12304,2023-01-20 11:09:18.644785,192979035,1,14,300,0,0.2258909,6.770574,-17.74321
12528,2023-01-20 11:09:19.312322,193646526,1,15,300,0,2.69695,9.050173,-18.26777
12629,2023-01-20 11:09:19.644601,193979011,1,16,300,0,3.994168,10.54598,-18.60308
12757,2023-01-20 11:09:19.977169,194311544,1,17,300,0,5.318852,12.29132,-18.88749
12856,2023-01-20 11:09:20.312152,194646516,1,18,300,0,6.499138,14.23563,-19.16446
12958,2023-01-20 11:09:20.644610,194979019,1,19,300,0,7.692559,16.2561,-19.44161
13085,2023-01-20 11:09:20.977157,195311536,1,20,300,0,9.000325,18.33798,-19.68501
13184,2023-01-20 11:09:21.312172,195646548,1,21,300,0,10.24965,20.43711,-19.89967
13284,2023-01-20 11:09:21.644572,195979018,1,22,300,0,11.45587,22.44905,-20.08386
13410,2023-01-20 11:09:21.977202,196311575,1,23,300,0,12.77993,24.34792,-20.26037
13510,2023-01-20 11:09:22.311436,196645830,1,24,300,0,13.99514,26.20975,-20.47529
13610,2023-01-20 11:09:22.642133,196976549,1,25,300,0,15.12492,28.00441,-20.72405
13736,2023-01-20 11:09:22.974640,197309013,1,26,300,0,16.28074,29.80692,-20.99334
13836,2023-01-20 11:09:23.307178,197641553,1,27,300,0,17.54857,31.56632,-21.26665
13935,2023-01-20 11:09:23.639665,197974066,1,28,300,0,18.90003,33.28983,-21.59794
14062,2023-01-20 11:09:23.972414,198306789,1,29,300,0,20.27234,35.04675,-21.93835
14162,2023-01-20 11:09:24.304639,198639027,1,30,300,0,21.60872,36.81119,-22.28993
14262,2023-01-20 11:09:24.637111,198971530,1,31,300,0,22.93457,38.60522,-22.6347
14389,2023-01-20 11:09:24.969696,199304074,1,32,300,0,24.35251,40.39516,-22.95999
14488,2023-01-20 11:09:25.302182,199636543,1,33,300,0,25.87292,42.21584,-23.24504
14590,2023-01-20 11:09:25.634937,199969353,1,34,300,0,27.37111,44.03273,-23.49205
14717,2023-01-20 11:09:25.967178,200301542,1,35,300,0,28.86938,45.8643,-23.75606
14816,2023-01-20 11:09:26.299649,200634038,1,36,300,0,30.35428,47.67593,-23.98408
14916,2023-01-20 11:09:26.632136,200966558,1,37,300,0,31.77023,49.4698,-24.20947
15043,2023-01-20 11:09:26.964660,201299026,1,38,300,0,33.21509,51.28168,-24.4587
15142,2023-01-20 11:09:27.297649,201632034,1,39,300,0,34.66372,53.09528,-24.73479
15242,2023-01-20 11:09:27.629668,201964045,1,40,300,0,36.06793,54.93559,-25.04893
15347,2023-01-20 11:09:27.962336,202296703,1,41,300,0,37.47518,56.73018,-25.36647
15468,2023-01-20 11:09:28.294672,202629032,1,42,300,0,38.8678,58.5469,-25.66874
15567,2023-01-20 11:09:28.607201,202961524,1,43,300,0,40.22343,60.39936,-25.9596
15670,2023-01-20 11:09:28.940137,203294459,1,44,300,0,41.61523,62.23458,-26.22638
15794,2023-01-20 11:09:29.272225,203626554,1,45,300,0,43.00951,64.05946,-26.47877
15894,2023-01-20 11:09:29.605064,203959450,1,46,300,0,44.40849,65.91612,-26.72858
15995,2023-01-20 11:09:29.937274,204291540,1,47,300,0,45.77861,67.78619,-26.99463
16122,2023-01-20 11:09:30.269686,204624075,1,48,300,0,47.14762,69.63059,-27.27399
16223,2023-01-20 11:09:30.603270,204957676,1,49,300,0,48.5105,71.47254,-27.53524
16322,2023-01-20 11:09:30.934658,205289028,1,50,300,0,49.88521,73.32642,-27.81084
16324,2023-01-20 11:09:30.938634,205293003,1,50,300,2,5.488772,-0.2385844,-2.257509
16325,2023-01-20 11:09:30.938648,205293017,1,50,300,2,3.128821,-0.5633212,-5.497721
16326,2023-01-20 11:09:30.938662,205293030,1,50,300,2,1.302356,-0.2720383,-6.360806
16327,2023-01-20 11:09:30.938675,205293044,1,50,300,2,0.2978044,-0.2960377,-8.293782
16328,2023-01-20 11:09:30.938692,205293060,1,50,300,2,-0.6929078,-1.08928,-10.13175
16329,2023-01-20 11:09:30.938704,205293073,1,50,300,2,-3.398375,0.1779714,-12.1914
16330,2023-01-20 11:09:30.938718,205293086,1,50,300,2,-3.726426,1.491899,-13.95553
16331,2023-01-20 11:09:30.938731,205293100,1,50,300,2,-3.82755,2.612495,-15.86811
16332,2023-01-20 11:09:30.938745,205293113,1,50,300,2,-1.582432,5.242723,-17.5706
16333,2023-01-20 11:09:30.938759,205293127,1,50,300,2,0.2258909,6.770574,-17.74321
16334,2023-01-20 11:09:30.938771,205293140,1,50,300,2,2.69695,9.050173,-18.26777
16335,2023-01-20 11:09:30.938785,205293153,1,50,300,2,5.318852,12.29132,-18.88749
16336,2023-01-20 11:09:30.938799,205293167,1,50,300,2,6.499138,14.23563,-19.16446
16337,2023-01-20 11:09:30.938812,205293180,1,50,300,2,7.692559,16.2561,-19.44161
16338,2023-01-20 11:09:30.938825,205293193,1,50,300,2,9.000325,18.33798,-19.68501
16339,2023-01-20 11:09:30.938838,205293207,1,50,300,2,10.24965,20.43711,-19.89967
16340,2023-01-20 11:09:30.938856,205293224,1,50,300,2,11.45587,22.44905,-20.08386
16341,2023-01-20 11:09:30.938872,205293240,1,50,300,2,12.77993,24.34792,-20.26037
16342,2023-01-20 11:09:30.938884,205293253,1,50,300,2,13.99514,26.20975,-20.47529
16343,2023-01-20 11:09:30.938985,205293353,1,50,300,2,15.12492,28.00441,-20.72405
16344,2023-01-20 11:09:30.938999,205293367,1,50,300,2,16.28074,29.80692,-20.99334
16345,2023-01-20 11:09:30.939012,205293380,1,50,300,2,18.90003,33.28983,-21.59794
16346,2023-01-20 11:09:30.939025,205293393,1,50,300,2,20.27234,35.04675,-21.93835
16351,2023-01-20 11:09:30.940406,205294774,1,50,300,2,21.60872,36.81119,-22.28993
16352,2023-01-20 11:09:30.940420,205294788,1,50,300,2,22.93457,38.60522,-22.6347
16353,2023-01-20 11:09:30.940436,205294804,1,50,300,2,24.35251,40.39516,-22.95999
16354,2023-01-20 11:09:30.940449,205294817,1,50,300,2,25.87292,42.21584,-23.24504
16355,2023-01-20 11:09:30.940463,205294831,1,50,300,2,27.37111,44.03273,-23.49205
16356,2023-01-20 11:09:30.940476,205294844,1,50,300,2,28.86938,45.8643,-23.75606
16357,2023-01-20 11:09:30.940511,205294879,1,50,300,2,30.35428,47.67593,-23.98408
16358,2023-01-20 11:09:30.940564,205294932,1,50,300,2,31.77023,49.4698,-24.20947
16359,2023-01-20 11:09:30.940578,205294946,1,50,300,2,33.21509,51.28168,-24.4587
16360,2023-01-20 11:09:30.940804,205295172,1,50,300,2,34.66372,53.09528,-24.73479
16361,2023-01-20 11:09:30.940821,205295189,1,50,300,2,36.06793,54.93559,-25.04893
16362,2023-01-20 11:09:30.940834,205295202,1,50,300,2,37.47518,56.73018,-25.36647
16363,2023-01-20 11:09:30.940847,205295215,1,50,300,2,38.8678,58.5469,-25.66874
16364,2023-01-20 11:09:30.940861,205295229,1,50,300,2,40.22343,60.39936,-25.9596
16365,2023-01-20 11:09:30.940874,205295242,1,50,300,2,41.61523,62.23458,-26.22638
16366,2023-01-20 11:09:30.940887,205295255,1,50,300,2,43.00951,64.05946,-26.47877
16367,2023-01-20 11:09:30.940953,205295321,1,50,300,2,44.40849,65.91612,-26.72858
16368,2023-01-20 11:09:30.940967,205295335,1,50,300,2,45.77861,67.78619,-26.99463
16369,2023-01-20 11:09:30.940995,205295363,1,50,300,2,47.14762,69.63059,-27.27399
16370,2023-01-20 11:09:30.941009,205295377,1,50,300,2,48.5105,71.47254,-27.53524
16493,2023-01-20 11:09:31.267166,205621531,1,8,300,0,51.24306,75.17773,-28.13346
16592,2023-01-20 11:09:31.600053,205954461,1,9,300,0,52.60405,77.02127,-28.49092
16691,2023-01-20 11:09:31.932192,206286556,1,10,300,0,53.99141,78.81389,-28.82372
16819,2023-01-20 11:09:32.264964,206619328,1,11,300,0,55.26015,80.5732,-29.14423
16916,2023-01-20 11:09:32.597121,206951534,1,12,300,0,56.61992,82.38483,-29.44173
17017,2023-01-20 11:09:32.929622,207284002,1,13,300,0,58.07446,84.23324,-29.78388
17144,2023-01-20 11:09:33.262194,207616571,1,14,300,0,59.52351,86.09688,-30.12944
17242,2023-01-20 11:09:33.594622,207949040,1,15,300,0,60.94498,88.00365,-30.44378
17343,2023-01-20 11:09:33.927408,208281772,1,16,300,0,62.43763,89.89614,-30.76373
17469,2023-01-20 11:09:34.259702,208614057,1,17,300,0,63.96117,91.82253,-31.0697
17568,2023-01-20 11:09:34.592290,208946693,1,18,300,0,65.44971,93.73877,-31.38003
17670,2023-01-20 11:09:34.924664,209279025,1,19,300,0,66.95433,95.62554,-31.67024
17796,2023-01-20 11:09:35.257141,209611518,1,20,300,0,68.40583,97.50715,-31.96478
17897,2023-01-20 11:09:35.592179,209946565,1,21,300,0,69.87136,99.39117,-32.22955
17998,2023-01-20 11:09:35.924668,210279055,1,22,300,0,71.31714,101.2345,-32.49917
18124,2023-01-20 11:09:36.257191,210611544,1,23,300,0,72.69276,103.0428,-32.76086
18222,2023-01-20 11:09:36.574884,210946576,1,24,300,0,74.04342,104.8412,-33.04021
18324,2023-01-20 11:09:36.904876,211279036,1,25,300,0,75.3811,106.6134,-33.3247
18450,2023-01-20 11:09:37.237326,211611518,1,26,300,0,76.68549,108.431,-33.62685
18548,2023-01-20 11:09:37.591353,211946611,1,27,300,0,78.05439,110.2891,-33.93982
18650,2023-01-20 11:09:37.904705,212279036,1,28,300,0,79.41215,112.1855,-34.27172
18776,2023-01-20 11:09:38.237257,212611600,1,29,300,0,80.78525,114.0894,-34.5928
18874,2023-01-20 11:09:38.572156,212946553,1,30,300,0,82.23314,116.0224,-34.92127
18976,2023-01-20 11:09:38.904708,213279072,1,31,300,0,83.68164,117.9424,-35.24913
19102,2023-01-20 11:09:39.237155,213611526,1,32,300,0,85.10291,119.8227,-35.54161
19200,2023-01-20 11:09:39.572199,213946602,1,33,300,0,86.55667,121.7083,-35.82452
19306,2023-01-20 11:09:39.904678,214279043,1,34,300,0,88.01664,123.5646,-36.12753
19432,2023-01-20 11:09:40.237216,214611579,1,35,300,0,89.51032,125.4016,-36.42978
19532,2023-01-20 11:09:40.572162,214946564,1,36,300,0,91.05616,127.2932,-36.73466
19634,2023-01-20 11:09:40.904708,215279070,1,37,300,0,92.52763,129.169,-37.03259
19760,2023-01-20 11:09:41.237171,215611537,1,38,300,0,93.92902,131.0352,-37.33662
19858,2023-01-20 11:09:41.572173,215946577,1,39,300,0,95.3046,132.8819,-37.64241
19959,2023-01-20 11:09:41.904637,216279027,1,40,300,0,96.69218,134.6787,-37.95992
20086,2023-01-20 11:09:42.237156,216611519,1,41,300,0,98.03497,136.4542,-38.27837
20184,2023-01-20 11:09:42.572161,216946562,1,42,300,0,99.37247,138.2367,-38.59294
20285,2023-01-20 11:09:42.904659,217279028,1,43,300,0,100.7079,140.0634,-38.9077
20412,2023-01-20 11:09:43.237187,217611547,1,44,300,0,102.061,141.9167,-39.21547
20510,2023-01-20 11:09:43.572178,217946577,1,45,300,0,103.4632,143.7813,-39.50397
20611,2023-01-20 11:09:43.904640,218279031,1,46,300,0,104.8581,145.6386,-39.77686
20738,2023-01-20 11:09:44.237180,218611540,1,47,300,0,106.2386,147.47,-40.07315
20836,2023-01-20 11:09:44.572134,218946575,1,48,300,0,107.6885,149.3477,-40.39424
20938,2023-01-20 11:09:44.904680,219279040,1,49,300,0,109.1521,151.1772,-40.72668
21064,2023-01-20 11:09:45.237198,219611552,1,50,300,0,110.5963,152.9921,-41.06454
21165,2023-01-20 11:09:45.572206,219946566,1,51,300,0,112.0347,154.8424,-41.39232
21266,2023-01-20 11:09:45.884585,220279023,1,52,300,0,113.4374,156.6658,-41.68328
21392,2023-01-20 11:09:46.217115,220611531,1,53,300,0,114.8166,158.5224,-41.9622
21491,2023-01-20 11:09:46.552125,220946583,1,54,300,0,116.1615,160.43,-42.2448
21592,2023-01-20 11:09:46.884589,221279054,1,55,300,0,117.5298,162.3302,-42.51681
21718,2023-01-20 11:09:47.217030,221611536,1,56,300,0,118.9351,164.2108,-42.79005
21817,2023-01-20 11:09:47.551969,221946580,1,57,300,0,120.3782,166.1165,-43.09922
21818,2023-01-20 11:09:47.554765,221949377,1,57,300,2,51.24306,75.17773,-28.13346
21819,2023-01-20 11:09:47.554779,221949391,1,57,300,2,52.60405,77.02127,-28.49092
21820,2023-01-20 11:09:47.554792,221949404,1,57,300,2,53.99141,78.81389,-28.82372
21821,2023-01-20 11:09:47.554805,221949417,1,57,300,2,55.26015,80.5732,-29.14423
21822,2023-01-20 11:09:47.554819,221949431,1,57,300,2,56.61992,82.38483,-29.44173
21823,2023-01-20 11:09:47.554834,221949446,1,57,300,2,58.07446,84.23324,-29.78388
21824,2023-01-20 11:09:47.554847,221949459,1,57,300,2,59.52351,86.09688,-30.12944
21825,2023-01-20 11:09:47.554863,221949475,1,57,300,2,60.94498,88.00365,-30.44378
21826,2023-01-20 11:09:47.554876,221949488,1,57,300,2,62.43763,89.89614,-30.76373
21827,2023-01-20 11:09:47.554892,221949504,1,57,300,2,63.96117,91.82253,-31.0697
21828,2023-01-20 11:09:47.554906,221949518,1,57,300,2,65.44971,93.73877,-31.38003
21829,2023-01-20 11:09:47.554923,221949535,1,57,300,2,66.95433,95.62554,-31.67024
21830,2023-01-20 11:09:47.554936,221949548,1,57,300,2,68.40583,97.50715,-31.96478
21831,2023-01-20 11:09:47.554952,221949564,1,57,300,2,69.87136,99.39117,-32.22955
21832,2023-01-20 11:09:47.554965,221949577,1,57,300,2,71.31714,101.2345,-32.49917
21833,2023-01-20 11:09:47.554978,221949590,1,57,300,2,72.69276,103.0428,-32.76086
21834,2023-01-20 11:09:47.554992,221949604,1,57,300,2,74.04342,104.8412,-33.04021
21835,2023-01-20 11:09:47.555005,221949617,1,57,300,2,75.3811,106.6134,-33.3247
21836,2023-01-20 11:09:47.555018,221949630,1,57,300,2,76.68549,108.431,-33.62685
21837,2023-01-20 11:09:47.555032,221949644,1,57,300,2,78.05439,110.2891,-33.93982
21838,2023-01-20 11:09:47.555045,221949657,1,57,300,2,79.41215,112.1855,-34.27172
21839,2023-01-20 11:09:47.555058,221949670,1,57,300,2,80.78525,114.0894,-34.5928
21840,2023-01-20 11:09:47.555071,221949683,1,57,300,2,82.23314,116.0224,-34.92127
21841,2023-01-20 11:09:47.555085,221949697,1,57,300,2,83.68164,117.9424,-35.24913
21842,2023-01-20 11:09:47.555098,221949710,1,57,300,2,85.10291,119.8227,-35.54161
21843,2023-01-20 11:09:47.555111,221949723,1,57,300,2,86.55667,121.7083,-35.82452
21844,2023-01-20 11:09:47.555125,221949737,1,57,300,2,88.01664,123.5646,-36.12753
21845,2023-01-20 11:09:47.555138,221949750,1,57,300,2,89.51032,125.4016,-36.42978
21846,2023-01-20 11:09:47.555151,221949763,1,57,300,2,91.05616,127.2932,-36.73466
21847,2023-01-20 11:09:47.555164,221949776,1,57,300,2,92.52763,129.169,-37.03259
21848,2023-01-20 11:09:47.555178,221949790,1,57,300,2,93.92902,131.0352,-37.33662
21849,2023-01-20 11:09:47.555191,221949803,1,57,300,2,95.3046,132.8819,-37.64241
21850,2023-01-20 11:09:47.555208,221949820,1,57,300,2,96.69218,134.6787,-37.95992
21851,2023-01-20 11:09:47.555221,221949833,1,57,300,2,98.03497,136.4542,-38.27837
21852,2023-01-20 11:09:47.555292,221949904,1,57,300,2,99.37247,138.2367,-38.59294
21853,2023-01-20 11:09:47.555320,221949932,1,57,300,2,100.7079,140.0634,-38.9077
21854,2023-01-20 11:09:47.555333,221949945,1,57,300,2,102.061,141.9167,-39.21547
21855,2023-01-20 11:09:47.555347,221949959,1,57,300,2,103.4632,143.7813,-39.50397
21856,2023-01-20 11:09:47.555360,221949972,1,57,300,2,104.8581,145.6386,-39.77686
21857,2023-01-20 11:09:47.555373,221949985,1,57,300,2,106.2386,147.47,-40.07315
21858,2023-01-20 11:09:47.555387,221949999,1,57,300,2,107.6885,149.3477,-40.39424
21859,2023-01-20 11:09:47.555400,221950012,1,57,300,2,109.1521,151.1772,-40.72668
21860,2023-01-20 11:09:47.555413,221950025,1,57,300,2,110.5963,152.9921,-41.06454
21861,2023-01-20 11:09:47.555427,221950039,1,57,300,2,112.0347,154.8424,-41.39232
21862,2023-01-20 11:09:47.555449,221950061,1,57,300,2,113.4374,156.6658,-41.68328
21863,2023-01-20 11:09:47.555462,221950074,1,57,300,2,114.8166,158.5224,-41.9622
21864,2023-01-20 11:09:47.555500,221950112,1,57,300,2,116.1615,160.43,-42.2448
21865,2023-01-20 11:09:47.555520,221950132,1,57,300,2,117.5298,162.3302,-42.51681
21866,2023-01-20 11:09:47.555533,221950145,1,57,300,2,118.9351,164.2108,-42.79005
21967,2023-01-20 11:09:47.884455,222279018,1,9,300,0,121.8519,168.0373,-43.41468
22093,2023-01-20 11:09:48.216923,222611528,1,10,300,0,123.3872,169.9596,-43.71941
22191,2023-01-20 11:09:48.551915,222946588,1,11,300,0,124.8848,171.8855,-43.99376
22293,2023-01-20 11:09:48.884415,223279022,1,12,300,0,126.2892,173.7803,-44.23491
22419,2023-01-20 11:09:49.216920,223611523,1,13,300,0,127.652,175.6351,-44.46678
22517,2023-01-20 11:09:49.551926,223946566,1,14,300,0,129.0139,177.4708,-44.6967
22620,2023-01-20 11:09:49.884440,224279050,1,15,300,0,130.3227,179.2628,-44.94001
22747,2023-01-20 11:09:50.216938,224611547,1,16,300,0,131.5948,181.027,-45.23798
22847,2023-01-20 11:09:50.551933,224946625,1,17,300,0,132.9178,182.8015,-45.58994
22949,2023-01-20 11:09:50.884415,225279031,1,18,300,0,134.3074,184.6027,-45.95438
23075,2023-01-20 11:09:51.216886,225611526,1,19,300,0,135.75,186.4353,-46.31184
23173,2023-01-20 11:09:51.551933,225946571,1,20,300,0,137.2528,188.2977,-46.655
23275,2023-01-20 11:09:51.884440,226279043,1,21,300,0,138.7687,190.1444,-46.98928
23401,2023-01-20 11:09:52.216915,226611528,1,22,300,0,140.2541,192.0025,-47.3115
23499,2023-01-20 11:09:52.551958,226946612,1,23,300,0,141.6727,193.8981,-47.61375
23601,2023-01-20 11:09:52.884420,227279022,1,24,300,0,143.0992,195.7798,-47.91063
23727,2023-01-20 11:09:53.216944,227611575,1,25,300,0,144.5206,197.6314,-48.19949
23825,2023-01-20 11:09:53.551926,227946559,1,26,300,0,145.9498,199.4764,-48.48222
23926,2023-01-20 11:09:53.884459,228279088,1,27,300,0,147.4101,201.3298,-48.77796
24053,2023-01-20 11:09:54.216948,228611543,1,28,300,0,148.9103,203.1883,-49.08101
24151,2023-01-20 11:09:54.551980,228946612,1,29,300,0,150.4114,205.0689,-49.35957
24252,2023-01-20 11:09:54.884437,229279028,1,30,300,0,151.8711,206.9398,-49.61514
24378,2023-01-20 11:09:55.216924,229611576,1,31,300,0,153.2533,208.7995,-49.86956
24480,2023-01-20 11:09:55.551932,229946576,1,32,300,0,154.6281,210.6834,-50.15406
24581,2023-01-20 11:09:55.876871,230279068,1,33,300,0,156.0122,212.5302,-50.4472
