LineNo,UTC_Approx,TimeUS,Id,Pri,Total,Free,Name
1848,2023-01-20 11:08:47.857714,162111695,2,60,1104,768,UART_RX
1895,2023-01-20 11:08:47.958576,162212802,3,60,656,400,OTG1
1941,2023-01-20 11:08:48.058663,162312986,4,183,1360,1016,monitor
1987,2023-01-20 11:08:48.160895,162415214,5,181,1872,1488,timer
2037,2023-01-20 11:08:48.261020,162515317,6,181,848,616,rcout
2082,2023-01-20 11:08:48.362541,162616804,7,177,1360,736,rcin
2145,2023-01-20 11:08:48.457723,162717712,8,58,2384,1432,io
2199,2023-01-20 11:08:48.548691,162817722,9,59,1360,824,storage
2259,2023-01-20 11:08:48.643644,162917767,10,60,656,304,UART3
2310,2023-01-20 11:08:48.745660,163019763,11,60,656,264,UART4
2368,2023-01-20 11:08:48.846647,163120738,12,60,656,264,UART5
2421,2023-01-20 11:08:48.946694,163220785,13,176,1360,856,I2C0
2465,2023-01-20 11:08:49.047700,163321798,14,59,1616,896,OSD
2507,2023-01-20 11:08:49.147726,163421840,15,59,1912,416,log_io
2548,2023-01-20 11:08:49.254097,163522843,16,181,1360,720,SPI1
2589,2023-01-20 11:08:49.366666,163624224,255,255,1536,1264,ISR
2631,2023-01-20 11:08:49.470939,163725230,0,182,7168,5360,ArduCopter
2670,2023-01-20 11:08:49.572332,163826689,1,1,352,144,idle
2709,2023-01-20 11:08:49.666742,163927696,2,60,1104,768,UART_RX
2747,2023-01-20 11:08:49.757798,164027729,3,60,656,400,OTG1
2791,2023-01-20 11:08:49.853637,164127741,4,183,1360,1016,monitor
2831,2023-01-20 11:08:49.955054,164229181,5,181,1872,1488,timer
2871,2023-01-20 11:08:50.055061,164329178,6,181,848,616,rcout
2911,2023-01-20 11:08:50.156270,164430349,7,177,1360,736,rcin
2952,2023-01-20 11:08:50.258148,164532235,8,58,2384,1432,io
2991,2023-01-20 11:08:50.359107,164633234,9,59,1360,824,storage
3033,2023-01-20 11:08:50.459029,164733201,10,60,656,304,UART3
3074,2023-01-20 11:08:50.559101,164833321,11,60,656,264,UART4
3114,2023-01-20 11:08:50.659195,164933400,12,60,656,264,UART5
3152,2023-01-20 11:08:50.760213,165034359,13,176,1360,856,I2C0
3193,2023-01-20 11:08:50.861176,165135339,14,59,1616,896,OSD
3233,2023-01-20 11:08:50.961181,165235408,15,59,1912,416,log_io
3273,2023-01-20 11:08:51.062473,165336716,16,181,1360,720,SPI1
3312,2023-01-20 11:08:51.162462,165436690,255,255,1536,1264,ISR
3354,2023-01-20 11:08:51.262473,165536723,0,182,7168,5360,ArduCopter
3392,2023-01-20 11:08:51.363498,165637793,1,1,352,144,idle
3434,2023-01-20 11:08:51.464848,165739170,2,60,1104,768,UART_RX
3472,2023-01-20 11:08:51.565112,165839450,3,60,656,400,OTG1
3513,2023-01-20 11:08:51.665869,165940209,4,183,1360,1016,monitor
3551,2023-01-20 11:08:51.765905,166040237,5,181,1872,1488,timer
3593,2023-01-20 11:08:51.867339,166141671,6,181,848,616,rcout
3633,2023-01-20 11:08:51.968725,166243060,7,177,1360,736,rcin
3673,2023-01-20 11:08:52.070379,166344710,8,58,2384,1432,io
3707,2023-01-20 11:08:52.170453,166444777,9,59,1360,824,storage
3741,2023-01-20 11:08:52.271414,166545738,10,60,656,304,UART3
3771,2023-01-20 11:08:52.371432,166645758,11,60,656,264,UART4
3806,2023-01-20 11:08:52.472423,166746768,12,60,656,264,UART5
3836,2023-01-20 11:08:52.572437,166846808,13,176,1360,856,I2C0
3869,2023-01-20 11:08:52.673437,166947791,14,59,1616,896,OSD
3899,2023-01-20 11:08:52.773501,167047822,15,59,1912,416,log_io
3934,2023-01-20 11:08:52.874833,167149144,16,181,1360,720,SPI1
3966,2023-01-20 11:08:52.974871,167249180,255,255,1536,1264,ISR
3999,2023-01-20 11:08:53.075891,167350223,0,182,7168,5360,ArduCopter
4030,2023-01-20 11:08:53.177327,167451691,1,1,352,144,idle
4064,2023-01-20 11:08:53.277400,167551763,2,60,1104,768,UART_RX
4094,2023-01-20 11:08:53.378401,167652754,3,60,656,400,OTG1
4129,2023-01-20 11:08:53.478421,167752804,4,183,1360,1016,monitor
4160,2023-01-20 11:08:53.579964,167854388,5,181,1872,1488,timer
4192,2023-01-20 11:08:53.680931,167955337,6,181,848,616,rcout
4223,2023-01-20 11:08:53.780996,168055370,7,177,1360,736,rcin
4257,2023-01-20 11:08:53.881009,168155390,8,58,2384,1432,io
4291,2023-01-20 11:08:53.982760,168257158,9,59,1360,824,storage
4324,2023-01-20 11:08:54.083713,168358125,10,60,656,304,UART3
4356,2023-01-20 11:08:54.183814,168458239,11,60,656,264,UART4
4389,2023-01-20 11:08:54.285313,168559719,12,60,656,264,UART5
