LineNo,UTC_Approx,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
1820,2023-01-20 11:08:47.840617,162094557,2,39.8044391,32.3787891,100,739.3958,0.0245997,0,504,-3.475139
2335,2023-01-20 11:08:48.820473,163094565,2,39.8044374,32.3787903,100,739.3873,0.05006978,0,504,-3.475139
2761,2023-01-20 11:08:49.820462,164094558,2,39.8044355,32.3787913,100,739.3795,0.03749683,0,504,-3.475139
3163,2023-01-20 11:08:50.820428,165094564,2,39.8044344,32.3787919,100,739.3751,-0.005636245,0,504,-3.475139
3563,2023-01-20 11:08:51.820280,166094611,2,39.8044323,32.3787928,100,739.3672,-0.1788794,0,504,-3.475139
3907,2023-01-20 11:08:52.820301,167094613,2,39.8044319,32.3787932,100,739.3646,-0.3180434,0,504,-3.475139
4230,2023-01-20 11:08:53.820247,168094618,2,39.8044316,32.3787934,100,739.3632,-0.3944266,0,504,-3.475139
4555,2023-01-20 11:08:54.820199,169094617,2,39.8044314,32.3787922,100,739.368,-0.07469571,0,504,-3.475139
4880,2023-01-20 11:08:55.820226,170094613,2,39.8044295,32.3787917,100,739.3666,0.7947307,0,504,-3.475139
5203,2023-01-20 11:08:56.820235,171094616,2,39.8044291,32.3787942,100,739.3552,1.615014,0,504,-3.475139
5527,2023-01-20 11:08:57.820247,172094629,2,39.8044282,32.3787976,100,739.3387,2.497221,0,504,-3.475139
5852,2023-01-20 11:08:58.820193,173094579,2,39.8044262,32.3787979,100,739.3337,3.580062,0,504,-3.475139
6176,2023-01-20 11:08:59.800245,174094685,2,39.8044205,32.3787921,100,739.3484,4.422332,0,504,-3.475139
6503,2023-01-20 11:09:00.800253,175094841,2,39.8044066,32.3787914,100,739.3257,5.16326,0,504,-3.475139
6827,2023-01-20 11:09:01.800321,176094985,2,39.8043905,32.3787949,100,739.2805,6.077528,0,504,-3.475139
7150,2023-01-20 11:09:02.800300,177094933,2,39.8043833,32.3787962,100,739.2614,6.964339,0,504,-3.475139
