LineNo,UTC_Approx,TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config
3038,2023-01-20 11:08:50.499943,164774135,0,89,4,1,0,0
4778,2023-01-20 11:08:55.499794,169774211,0,89,4,1,0,0
6401,2023-01-20 11:09:00.499928,174794526,0,89,5,1,0,0
8023,2023-01-20 11:09:05.499843,179794523,0,89,5,1,0,0
9673,2023-01-20 11:09:10.499843,184814204,0,89,5,1,0,0
11296,2023-01-20 11:09:15.499804,189814207,0,90,4,1,0,0
12922,2023-01-20 11:09:20.499761,194834156,0,89,6,1,0,0
14554,2023-01-20 11:09:25.499836,199834225,0,89,4,1,0,0
16188,2023-01-20 11:09:30.499803,204854190,0,89,7,1,0,0
17865,2023-01-20 11:09:35.519769,209874168,0,89,6,1,0,0
19500,2023-01-20 11:09:40.499792,214874179,0,89,4,1,0,0
21133,2023-01-20 11:09:45.519974,219894338,0,89,8,1,0,0
22816,2023-01-20 11:09:50.499802,224894473,0,89,5,1,0,0
24476,2023-01-20 11:09:55.519541,229914176,0,89,11,1,0,0
26110,2023-01-20 11:10:00.499825,234914223,0,90,4,1,0,0
27736,2023-01-20 11:10:05.510971,239934156,0,90,4,1,0,0
29420,2023-01-20 11:10:10.499731,244934155,0,90,4,1,0,0
31056,2023-01-20 11:10:15.519745,249954164,0,90,3,1,0,0
32693,2023-01-20 11:10:20.499788,254954180,0,90,3,1,0,0
34326,2023-01-20 11:10:25.499937,259974186,0,97,3,1,0,0
36011,2023-01-20 11:10:30.499787,264974178,0,97,4,1,0,0
37648,2023-01-20 11:10:35.499948,269994527,0,97,3,1,0,0
39283,2023-01-20 11:10:40.499822,274994490,0,90,4,1,0,0
40996,2023-01-20 11:10:45.499820,280014192,0,97,10,1,0,0
42633,2023-01-20 11:10:50.499771,285014178,0,96,5,1,0,0
44268,2023-01-20 11:10:55.499815,290034161,0,97,6,1,0,0
45953,2023-01-20 11:11:00.499814,295034219,0,96,4,1,0,0
47589,2023-01-20 11:11:05.499813,300054198,0,96,3,1,0,0
49224,2023-01-20 11:11:10.499799,305054207,0,96,5,1,0,0
50862,2023-01-20 11:11:15.499773,310074177,0,97,4,1,0,0
52548,2023-01-20 11:11:20.520110,315094498,0,97,10,1,0,0
54183,2023-01-20 11:11:25.499818,320094496,0,97,4,1,0,0
55848,2023-01-20 11:11:30.519491,325114123,0,98,4,1,0,0
57533,2023-01-20 11:11:35.499827,330114228,0,98,4,1,0,0
59169,2023-01-20 11:11:40.500003,335134156,0,98,15,1,0,0
60800,2023-01-20 11:11:45.499761,340134193,0,98,6,1,0,0
62430,2023-01-20 11:11:50.510955,345154186,0,98,7,1,0,0
64060,2023-01-20 11:11:55.499772,350154163,0,98,12,1,0,0
65736,2023-01-20 11:12:00.510923,355174175,0,98,3,1,0,0
67370,2023-01-20 11:12:05.499779,360174168,0,98,4,1,0,0
69007,2023-01-20 11:12:10.499942,365194499,0,98,3,1,0,0
70644,2023-01-20 11:12:15.499819,370194461,0,98,9,1,0,0
72359,2023-01-20 11:12:20.499872,375214190,0,99,5,1,0,0
73993,2023-01-20 11:12:25.499766,380214187,0,99,5,1,0,0
75630,2023-01-20 11:12:30.499750,385234150,0,99,6,1,0,0
77314,2023-01-20 11:12:35.499819,390234218,0,99,4,1,0,0
78951,2023-01-20 11:12:40.499802,395254192,0,99,4,1,0,0
80588,2023-01-20 11:12:45.499780,400254196,0,99,9,1,0,0
82274,2023-01-20 11:12:50.499815,405274188,0,99,4,1,0,0
83910,2023-01-20 11:12:55.520061,410294456,0,98,4,1,0,0
85545,2023-01-20 11:13:00.499846,415294478,0,98,4,1,0,0
87208,2023-01-20 11:13:05.519521,420314161,0,99,4,1,0,0
88893,2023-01-20 11:13:10.499848,425314233,0,99,4,1,0,0
90530,2023-01-20 11:13:15.519720,430334098,0,99,5,1,0,0
92166,2023-01-20 11:13:20.499751,435334171,0,99,3,1,0,0
93852,2023-01-20 11:13:25.519656,440354072,0,99,4,1,0,0
95487,2023-01-20 11:13:30.499815,445354209,0,99,3,1,0,0
97120,2023-01-20 11:13:35.508963,450374151,0,98,3,1,0,0
98748,2023-01-20 11:13:40.499790,455374179,0,92,9,1,0,0
100380,2023-01-20 11:13:45.511233,460394516,0,91,4,1,0,0
102009,2023-01-20 11:13:50.499830,465394491,0,92,6,1,0,0
103715,2023-01-20 11:13:55.499967,470414167,0,92,6,1,0,0
105350,2023-01-20 11:14:00.499767,475414184,0,92,4,1,0,0
106987,2023-01-20 11:14:05.508967,480434150,0,91,6,1,0,0
108672,2023-01-20 11:14:10.499814,485434211,0,91,5,1,0,0
110306,2023-01-20 11:14:15.499868,490454164,0,91,4,1,0,0
111945,2023-01-20 11:14:20.499782,495454190,0,91,5,1,0,0
113630,2023-01-20 11:14:25.499877,500474177,0,91,3,1,0,0
115265,2023-01-20 11:14:30.499768,505474151,0,91,7,1,0,0
116901,2023-01-20 11:14:35.499892,510494503,0,91,4,1,0,0
118537,2023-01-20 11:14:40.499867,515494505,0,91,3,1,0,0
120249,2023-01-20 11:14:45.499844,520514231,0,91,4,1,0,0
121887,2023-01-20 11:14:50.519650,525534039,0,91,4,1,0,0
123522,2023-01-20 11:14:55.499732,530534153,0,91,4,1,0,0
125209,2023-01-20 11:15:00.519654,535554084,0,91,5,1,0,0
126844,2023-01-20 11:15:05.499795,540554183,0,91,7,1,0,0
128479,2023-01-20 11:15:10.499843,545554221,0,91,4,1,0,0
130163,2023-01-20 11:15:15.499779,550574173,0,91,3,1,0,0
131802,2023-01-20 11:15:20.520037,555594463,0,91,3,1,0,0
133435,2023-01-20 11:15:25.499840,560594497,0,91,8,1,0,0
135088,2023-01-20 11:15:30.499965,565614176,0,91,8,1,0,0
136716,2023-01-20 11:15:35.499768,570614189,0,91,8,1,0,0
138348,2023-01-20 11:15:40.499917,575634175,0,90,4,1,0,0
140025,2023-01-20 11:15:45.499816,580634212,0,90,5,1,0,0
141663,2023-01-20 11:15:50.508890,585654057,0,90,4,1,0,0
143298,2023-01-20 11:15:55.499771,590654184,0,90,10,1,0,0
144984,2023-01-20 11:16:00.499892,595674177,0,90,12,1,0,0
146619,2023-01-20 11:16:05.499774,600674163,0,90,7,1,0,0
148254,2023-01-20 11:16:10.499820,605694465,0,90,4,1,0,0
149939,2023-01-20 11:16:15.499815,610694451,0,90,4,1,0,0
151606,2023-01-20 11:16:20.499874,615714217,0,90,3,1,0,0
153241,2023-01-20 11:16:25.499853,620714242,0,90,4,1,0,0
154878,2023-01-20 11:16:30.499727,625734150,0,90,10,1,0,0
156562,2023-01-20 11:16:35.519645,630754063,0,90,8,1,0,0
158198,2023-01-20 11:16:40.499811,635754185,0,90,9,1,0,0
159834,2023-01-20 11:16:45.519697,640774086,0,90,4,1,0,0
161518,2023-01-20 11:16:50.499810,645774192,0,90,3,1,0,0
163156,2023-01-20 11:16:55.520051,650794458,0,90,4,1,0,0
164793,2023-01-20 11:17:00.499839,655794468,0,90,3,1,0,0
166503,2023-01-20 11:17:05.519542,660814184,0,90,5,1,0,0
168139,2023-01-20 11:17:10.499770,665814197,0,90,4,1,0,0
169772,2023-01-20 11:17:15.519792,670834171,0,90,5,1,0,0
171402,2023-01-20 11:17:20.499814,675834217,0,90,3,1,0,0
173034,2023-01-20 11:17:25.519764,680854160,0,90,4,1,0,0
174666,2023-01-20 11:17:30.499769,685854195,0,91,4,1,0,0
176342,2023-01-20 11:17:35.488837,690854233,0,90,4,1,0,0
177979,2023-01-20 11:17:40.499783,695874179,0,90,4,1,0,0
179614,2023-01-20 11:17:45.499935,700894483,0,90,4,1,0,0
181299,2023-01-20 11:17:50.499807,705894477,0,90,3,1,0,0
182964,2023-01-20 11:17:55.499929,710914229,0,90,4,1,0,0
184600,2023-01-20 11:18:00.499816,715914198,0,90,3,1,0,0
186235,2023-01-20 11:18:05.499948,720934181,0,90,5,1,0,0
187920,2023-01-20 11:18:10.499739,725934167,0,90,4,1,0,0
189556,2023-01-20 11:18:15.499907,730954190,0,90,12,1,0,0
191192,2023-01-20 11:18:20.499854,735954242,0,90,3,1,0,0
192878,2023-01-20 11:18:25.508960,740974194,0,90,3,1,0,0
194514,2023-01-20 11:18:30.499784,745974190,0,90,4,1,0,0
196150,2023-01-20 11:18:35.499902,750994498,0,90,4,1,0,0
197835,2023-01-20 11:18:40.499848,755994490,0,90,6,1,0,0
199497,2023-01-20 11:18:45.499764,761014178,0,90,4,1,0,0
201133,2023-01-20 11:18:50.499843,766014235,0,90,6,1,0,0
202771,2023-01-20 11:18:55.499822,771034212,0,91,4,1,0,0
204456,2023-01-20 11:19:00.519713,776054116,0,91,4,1,0,0
206090,2023-01-20 11:19:05.499768,781054190,0,91,4,1,0,0
207718,2023-01-20 11:19:10.519651,786074075,0,91,4,1,0,0
209345,2023-01-20 11:19:15.499788,791074183,0,90,3,1,0,0
210978,2023-01-20 11:19:20.509100,796094457,0,91,3,1,0,0
212654,2023-01-20 11:19:25.499855,801094472,0,97,4,1,0,0
214322,2023-01-20 11:19:30.508875,806114176,0,97,6,1,0,0
215957,2023-01-20 11:19:35.499782,811114177,0,97,5,1,0,0
217643,2023-01-20 11:19:40.499856,816134169,0,97,4,1,0,0
219278,2023-01-20 11:19:45.499758,821134178,0,98,6,1,0,0
220915,2023-01-20 11:19:50.499876,826154176,0,98,4,1,0,0
222549,2023-01-20 11:19:55.499827,831154224,0,98,3,1,0,0
224236,2023-01-20 11:20:00.499866,836174208,0,98,8,1,0,0
225871,2023-01-20 11:20:05.499785,841174200,0,98,3,1,0,0
227508,2023-01-20 11:20:10.499819,846194484,0,97,5,1,0,0
229192,2023-01-20 11:20:15.499846,851194485,0,97,3,1,0,0
230857,2023-01-20 11:20:20.499771,856214177,0,97,3,1,0,0
232492,2023-01-20 11:20:25.499850,861214227,0,97,3,1,0,0
234180,2023-01-20 11:20:30.499807,866234202,0,97,5,1,0,0
235814,2023-01-20 11:20:35.499782,871234188,0,97,5,1,0,0
237451,2023-01-20 11:20:40.499802,876254203,0,97,3,1,0,0
239087,2023-01-20 11:20:45.519711,881274113,0,97,3,1,0,0
240771,2023-01-20 11:20:50.499782,886274186,0,97,6,1,0,0
242406,2023-01-20 11:20:55.520062,891294452,0,96,8,1,0,0
244034,2023-01-20 11:21:00.499841,896294493,0,96,5,1,0,0
245693,2023-01-20 11:21:05.500058,901314231,0,96,3,1,0,0
247323,2023-01-20 11:21:10.499786,906314169,0,97,4,1,0,0
249000,2023-01-20 11:21:15.499959,911334160,0,97,4,1,0,0
250635,2023-01-20 11:21:20.499752,916334172,0,97,4,1,0,0
252273,2023-01-20 11:21:25.508981,921354149,0,97,4,1,0,0
253907,2023-01-20 11:21:30.499824,926354233,0,97,5,1,0,0
255530,2023-01-20 11:21:35.499846,931374805,0,90,9,1,0,0
257203,2023-01-20 11:21:40.499757,936374790,0,96,5,1,0,0
258835,2023-01-20 11:21:45.511138,941395119,0,90,4,1,0,0
260469,2023-01-20 11:21:50.499828,946395157,0,89,3,1,0,0
262129,2023-01-20 11:21:55.499811,951414811,0,89,10,1,0,0
263802,2023-01-20 11:22:00.499790,956414807,0,89,4,1,0,0
265421,2023-01-20 11:22:05.499857,961434934,0,89,4,1,0,0
267043,2023-01-20 11:22:10.499902,966434948,0,89,4,1,0,0
268659,2023-01-20 11:22:15.499775,971454829,0,89,3,1,0,0
270283,2023-01-20 11:22:20.519683,976474746,0,89,4,1,0,0
271904,2023-01-20 11:22:25.499769,981474808,0,89,5,1,0,0
273529,2023-01-20 11:22:30.520048,986495096,0,89,3,1,0,0
275149,2023-01-20 11:22:35.499776,991495117,0,88,3,1,0,0
276797,2023-01-20 11:22:40.519444,996514806,0,88,3,1,0,0
278415,2023-01-20 11:22:45.499794,1001514814,0,88,7,1,0,0
280036,2023-01-20 11:22:50.519776,1006534827,0,88,7,1,0,0
281655,2023-01-20 11:22:55.499766,1011534831,0,88,4,1,0,0
283252,2023-01-20 11:23:00.500000,1016554734,0,88,5,1,0,0
