LineNo,UTC_Approx,TimeUS,Instance,ofsI,magI,ofsQ,magQ
3039,2023-01-20 11:08:50.500045,164774236,0,-42,184,-40,153
4779,2023-01-20 11:08:55.499928,169774345,0,-55,159,-39,154
6402,2023-01-20 11:09:00.500014,174794612,0,-59,155,-39,157
8024,2023-01-20 11:09:05.499924,179794604,0,-59,155,-23,175
9674,2023-01-20 11:09:10.499978,184814339,0,-58,155,-25,174
11298,2023-01-20 11:09:15.519640,189834052,0,-56,159,-23,171
12923,2023-01-20 11:09:20.499928,194834323,0,-57,158,-27,173
14556,2023-01-20 11:09:25.519658,199854054,0,-63,156,-27,166
16189,2023-01-20 11:09:30.499937,204854324,0,-62,154,-28,169
17866,2023-01-20 11:09:35.519851,209874250,0,-53,176,-34,174
19501,2023-01-20 11:09:40.499933,214874321,0,-46,175,-27,166
21134,2023-01-20 11:09:45.520059,219894423,0,-39,183,-32,161
22817,2023-01-20 11:09:50.499901,224894572,0,-37,183,-43,155
24477,2023-01-20 11:09:55.519676,229914311,0,-39,180,-43,150
26111,2023-01-20 11:10:00.499958,234914355,0,-46,175,-46,151
27737,2023-01-20 11:10:05.511141,239934309,0,-47,171,-41,156
29421,2023-01-20 11:10:10.499882,244934307,0,-44,170,-37,161
31057,2023-01-20 11:10:15.519900,249954319,0,-58,155,-48,158
32694,2023-01-20 11:10:20.499923,254954315,0,-51,169,-51,149
34327,2023-01-20 11:10:25.500067,259974317,0,-59,161,-27,166
36012,2023-01-20 11:10:30.499922,264974313,0,-58,159,-27,167
37649,2023-01-20 11:10:35.500033,269994613,0,-58,159,-29,163
39311,2023-01-20 11:10:40.519384,275014056,0,-45,174,-32,158
40997,2023-01-20 11:10:45.499955,280014328,0,-59,161,-33,152
42634,2023-01-20 11:10:50.499911,285014318,0,-68,152,-36,152
44269,2023-01-20 11:10:55.499974,290034320,0,-42,177,-40,146
45954,2023-01-20 11:11:00.499962,295034367,0,-40,177,-36,154
47590,2023-01-20 11:11:05.499947,300054332,0,-37,182,-41,157
49226,2023-01-20 11:11:10.519699,305074107,0,-39,184,-44,163
50863,2023-01-20 11:11:15.499924,310074329,0,-38,183,-42,157
52549,2023-01-20 11:11:20.520191,315094579,0,-40,179,-34,166
54184,2023-01-20 11:11:25.499903,320094581,0,-42,178,-43,156
55849,2023-01-20 11:11:30.519573,325114205,0,-38,182,-46,156
57534,2023-01-20 11:11:35.499958,330114359,0,-62,159,-46,158
59170,2023-01-20 11:11:40.500169,335134322,0,-68,156,-41,162
60801,2023-01-20 11:11:45.499915,340134347,0,-64,158,-23,175
62431,2023-01-20 11:11:50.511106,345154322,0,-63,159,-28,171
64061,2023-01-20 11:11:55.499919,350154310,0,-67,156,-27,169
65737,2023-01-20 11:12:00.511013,355174256,0,-61,154,-30,164
67371,2023-01-20 11:12:05.499874,360174263,0,-62,154,-38,158
69008,2023-01-20 11:12:10.500024,365194581,0,-56,161,-27,165
70674,2023-01-20 11:12:15.519395,370214043,0,-44,174,-28,165
72360,2023-01-20 11:12:20.500007,375214325,0,-41,180,-31,160
73994,2023-01-20 11:12:25.499897,380214318,0,-40,183,-39,169
75631,2023-01-20 11:12:30.499906,385234306,0,-45,173,-39,161
77315,2023-01-20 11:12:35.499969,390234368,0,-46,171,-53,152
78952,2023-01-20 11:12:40.499936,395254326,0,-42,176,-40,161
80589,2023-01-20 11:12:45.499918,400254334,0,-48,168,-31,175
82275,2023-01-20 11:12:50.499964,405274337,0,-43,172,-36,169
83911,2023-01-20 11:12:55.520144,410294538,0,-64,157,-26,178
85546,2023-01-20 11:13:00.499933,415294565,0,-55,164,-25,175
87209,2023-01-20 11:13:05.519603,420314243,0,-56,166,-36,155
88894,2023-01-20 11:13:10.499980,425314366,0,-56,165,-36,159
90531,2023-01-20 11:13:15.519805,430334183,0,-53,173,-38,151
92167,2023-01-20 11:13:20.499905,435334325,0,-43,181,-48,146
93853,2023-01-20 11:13:25.519737,440354153,0,-41,180,-25,180
95488,2023-01-20 11:13:30.499949,445354343,0,-43,174,-47,163
97121,2023-01-20 11:13:35.509041,450374237,0,-58,156,-50,154
98749,2023-01-20 11:13:40.499926,455374315,0,-59,154,-44,161
100381,2023-01-20 11:13:45.511324,460394598,0,-55,159,-35,161
102010,2023-01-20 11:13:50.499916,465394576,0,-54,165,-32,164
103716,2023-01-20 11:13:55.500124,470414325,0,-52,172,-27,167
105351,2023-01-20 11:14:00.499904,475414321,0,-63,162,-31,161
106988,2023-01-20 11:14:05.509053,480434245,0,-58,160,-37,154
108673,2023-01-20 11:14:10.499959,485434356,0,-57,163,-38,155
110307,2023-01-20 11:14:15.499953,490454249,0,-43,173,-42,147
111946,2023-01-20 11:14:20.499923,495454331,0,-45,169,-42,149
113631,2023-01-20 11:14:25.500016,500474316,0,-50,167,-40,165
115266,2023-01-20 11:14:30.499870,505474252,0,-52,162,-32,173
116902,2023-01-20 11:14:35.499974,510494585,0,-52,163,-27,175
118538,2023-01-20 11:14:40.499957,515494595,0,-45,170,-37,165
120250,2023-01-20 11:14:45.499983,520514370,0,-55,163,-36,160
121888,2023-01-20 11:14:50.519736,525534125,0,-56,157,-32,162
123523,2023-01-20 11:14:55.499911,530534331,0,-49,178,-32,163
125210,2023-01-20 11:15:00.519735,535554165,0,-38,184,-28,169
126845,2023-01-20 11:15:05.499929,540554317,0,-50,172,-42,148
128480,2023-01-20 11:15:10.499978,545554356,0,-40,184,-44,143
130164,2023-01-20 11:15:15.499860,550574254,0,-54,172,-43,148
131803,2023-01-20 11:15:20.520118,555594544,0,-54,169,-30,150
133436,2023-01-20 11:15:25.499924,560594582,0,-41,185,-46,152
135089,2023-01-20 11:15:30.500096,565614307,0,-46,177,-42,152
136717,2023-01-20 11:15:35.499906,570614326,0,-47,172,-43,153
138349,2023-01-20 11:15:40.500087,575634345,0,-49,164,-46,154
140026,2023-01-20 11:15:45.499964,580634360,0,-54,162,-34,169
141664,2023-01-20 11:15:50.508964,585654138,0,-56,157,-33,172
143299,2023-01-20 11:15:55.499902,590654315,0,-56,163,-27,173
144985,2023-01-20 11:16:00.500031,595674316,0,-58,154,-26,173
146620,2023-01-20 11:16:05.499862,600674252,0,-57,157,-27,175
148255,2023-01-20 11:16:10.499902,605694547,0,-60,153,-23,174
149940,2023-01-20 11:16:15.499902,610694537,0,-60,165,-29,169
151607,2023-01-20 11:16:20.500009,615714352,0,-46,176,-30,166
153242,2023-01-20 11:16:25.519709,620734105,0,-44,176,-47,159
154879,2023-01-20 11:16:30.499891,625734314,0,-48,171,-38,158
156563,2023-01-20 11:16:35.519726,630754144,0,-39,180,-40,172
158199,2023-01-20 11:16:40.499945,635754319,0,-35,183,-39,166
159835,2023-01-20 11:16:45.519781,640774170,0,-44,174,-49,156
161519,2023-01-20 11:16:50.499940,645774323,0,-47,177,-42,165
163157,2023-01-20 11:16:55.520136,650794542,0,-63,155,-30,177
164794,2023-01-20 11:17:00.499921,655794550,0,-57,161,-43,163
166504,2023-01-20 11:17:05.519674,660814316,0,-57,162,-33,162
168140,2023-01-20 11:17:10.499905,665814332,0,-56,165,-36,156
169773,2023-01-20 11:17:15.519951,670834330,0,-54,173,-37,161
