LineNo,UTC_Approx,TimeUS,Id,Label
1527,2023-01-20 11:08:47.797283,162051264,45,
1528,2023-01-20 11:08:47.797307,162051286,63,UNKNOWN
1529,2023-01-20 11:08:47.797328,162051306,65,A
1530,2023-01-20 11:08:47.797352,162051329,97,Ah
1531,2023-01-20 11:08:47.797373,162051349,100,deg
1532,2023-01-20 11:08:47.797396,162051371,98,B
1533,2023-01-20 11:08:47.797417,162051391,107,deg/s
1534,2023-01-20 11:08:47.797441,162051414,68,deglatitude
1535,2023-01-20 11:08:47.797463,162051434,101,deg/s/s
1536,2023-01-20 11:08:47.797487,162051457,69,rad/s
1537,2023-01-20 11:08:47.797512,162051481,71,Gauss
1538,2023-01-20 11:08:47.797536,162051504,104,degheading
1539,2023-01-20 11:08:47.797559,162051525,105,A.s
1540,2023-01-20 11:08:47.797579,162051544,74,W.s
1541,2023-01-20 11:08:47.797608,162051572,76,rad/s/s
1542,2023-01-20 11:08:47.797629,162051592,109,m
1543,2023-01-20 11:08:47.797650,162051612,110,m/s
1544,2023-01-20 11:08:47.797671,162051632,111,m/s/s
1545,2023-01-20 11:08:47.797693,162051652,79,degC
1546,2023-01-20 11:08:47.797713,162051671,37,%
1547,2023-01-20 11:08:47.797734,162051691,83,satellites
1548,2023-01-20 11:08:47.797755,162051711,115,s
1549,2023-01-20 11:08:47.797776,162051731,113,rpm
1550,2023-01-20 11:08:47.797797,162051751,114,rad
1551,2023-01-20 11:08:47.797821,162051774,85,deglongitude
1552,2023-01-20 11:08:47.797843,162051795,117,ppm
1553,2023-01-20 11:08:47.797864,162051815,118,V
1554,2023-01-20 11:08:47.797884,162051834,80,Pa
1555,2023-01-20 11:08:47.797905,162051854,119,Ohm
1556,2023-01-20 11:08:47.797982,162051927,87,Watt
1557,2023-01-20 11:08:47.798003,162051947,88,W.h
1558,2023-01-20 11:08:47.798024,162051967,89,us
1559,2023-01-20 11:08:47.798044,162051986,122,Hz
1560,2023-01-20 11:08:47.798066,162052006,35,instance
