LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
695,2023-01-20 11:08:47.422218,161676973,0,0.02123802,0.0251342,0.02861002,0
1046,2023-01-20 11:08:47.517205,161776960,0,0.02269421,0.02262924,0.03466193,0
1162,2023-01-20 11:08:47.631762,161894244,0,0.02002071,0.02194424,0.03449396,0
1425,2023-01-20 11:08:47.739732,161996668,0,0.0212375,0.02046109,0.02958062,0
1844,2023-01-20 11:08:47.843249,162097195,0,0.02019917,0.02280253,0.03289285,0
1891,2023-01-20 11:08:47.943038,162197226,0,0.02313774,0.02283916,0.03034187,0
1936,2023-01-20 11:08:48.042861,162297185,0,0.02397838,0.02176009,0.03162575,0
1982,2023-01-20 11:08:48.142855,162397175,0,0.02218983,0.02330816,0.03257207,0
2035,2023-01-20 11:08:48.242874,162497177,0,0.02342345,0.02248896,0.0303317,0
2076,2023-01-20 11:08:48.342937,162597207,0,0.02418872,0.01998385,0.0296999,0
2134,2023-01-20 11:08:48.439081,162697217,0,0.01938907,0.02005878,0.03159137,0
2193,2023-01-20 11:08:48.530016,162797191,0,0.02161556,0.02063723,0.02783809,0
2253,2023-01-20 11:08:48.623092,162897219,0,0.023493,0.02016374,0.0284292,0
2307,2023-01-20 11:08:48.723052,162997159,0,0.0210495,0.02057415,0.02983037,0
2363,2023-01-20 11:08:48.823093,163097185,0,0.0205,0.02127048,0.03147945,0
2418,2023-01-20 11:08:48.923134,163197225,0,0.01803742,0.02372725,0.02877647,0
2458,2023-01-20 11:08:49.023077,163297171,0,0.02151403,0.02450664,0.02737555,0
2502,2023-01-20 11:08:49.123074,163397184,0,0.02088125,0.02352512,0.02735351,0
2544,2023-01-20 11:08:49.225612,163497189,0,0.02214759,0.02332165,0.02980443,0
2584,2023-01-20 11:08:49.336644,163597186,0,0.02048839,0.02152242,0.03396031,0
2627,2023-01-20 11:08:49.442950,163697223,0,0.02329983,0.02460682,0.03772637,0
2665,2023-01-20 11:08:49.542895,163797233,0,0.150112,0.1986467,0.1615178,0
2705,2023-01-20 11:08:49.638961,163897177,0,0.2360284,0.2281305,0.2350897,0
2743,2023-01-20 11:08:49.730015,163997207,0,0.2180923,0.212986,0.1875998,0
2786,2023-01-20 11:08:49.823081,164097177,0,0.2700187,0.2295341,0.1856103,0
2826,2023-01-20 11:08:49.923104,164197224,0,0.3511677,0.2668742,0.2363237,0
2866,2023-01-20 11:08:50.023048,164297177,0,0.2821968,0.2940176,0.2374739,0
2905,2023-01-20 11:08:50.123087,164397179,0,0.2793376,0.3176604,0.2646802,0
2948,2023-01-20 11:08:50.223141,164497213,0,0.2651598,0.3890769,0.2858623,0
2986,2023-01-20 11:08:50.323064,164597177,0,0.2099651,0.3752654,0.3007201,0
3028,2023-01-20 11:08:50.423060,164697215,0,0.2187523,0.3237082,0.2298303,0
3068,2023-01-20 11:08:50.522969,164797172,0,0.2616448,0.3297585,0.2804468,0
3108,2023-01-20 11:08:50.622942,164897168,0,0.2914795,0.2972572,0.2443864,0
3146,2023-01-20 11:08:50.723006,164997174,0,0.4701073,0.7515903,0.3642593,0
3187,2023-01-20 11:08:50.823028,165097166,0,0.9423443,1.126177,0.5822079,0
3227,2023-01-20 11:08:50.923117,165197319,0,1.039622,1.197106,0.7010169,0
3267,2023-01-20 11:08:51.022930,165297179,0,0.9723644,1.073055,0.6542435,0
3305,2023-01-20 11:08:51.122939,165397173,0,0.9811394,1.107937,0.6881315,0
3348,2023-01-20 11:08:51.222979,165497212,0,1.354393,1.283782,0.9703999,0
3386,2023-01-20 11:08:51.322902,165597179,0,1.245295,1.239542,0.8680223,0
3428,2023-01-20 11:08:51.422909,165697224,0,1.066516,1.030644,0.6263402,0
3466,2023-01-20 11:08:51.522841,165797172,0,1.010685,0.8892509,0.7632146,0
3507,2023-01-20 11:08:51.622833,165897176,0,1.123614,1.027681,0.8394868,0
3544,2023-01-20 11:08:51.722834,165997169,0,1.188935,1.404462,1.223238,0
3587,2023-01-20 11:08:51.822846,166097177,0,1.155313,1.489528,1.175193,0
3627,2023-01-20 11:08:51.922917,166197251,0,1.061383,1.144322,0.9270155,0
3667,2023-01-20 11:08:52.022844,166297178,0,1.033735,0.9246957,1.065616,0
3703,2023-01-20 11:08:52.122846,166397173,0,1.125514,1.29742,1.044699,0
3738,2023-01-20 11:08:52.222916,166497239,0,1.123046,1.551682,1.132463,0
3768,2023-01-20 11:08:52.322848,166597173,0,0.9232336,1.42881,0.9457731,0
3803,2023-01-20 11:08:52.422911,166697244,0,0.9770586,1.041732,0.7983265,0
3833,2023-01-20 11:08:52.522882,166797240,0,1.015201,0.898329,0.9099073,0
3866,2023-01-20 11:08:52.622804,166897175,0,1.062597,1.186068,0.8982026,0
3896,2023-01-20 11:08:52.722831,166997168,0,0.9270315,1.3866,0.9159346,0
3931,2023-01-20 11:08:52.822862,167097174,0,0.8564912,1.355567,1.355423,0
3963,2023-01-20 11:08:52.922911,167197221,0,0.9890122,1.140313,1.307691,0
3996,2023-01-20 11:08:53.022878,167297194,0,1.108997,1.109024,1.096537,0
4026,2023-01-20 11:08:53.122834,167397181,0,1.067477,1.091856,0.9794762,0
4061,2023-01-20 11:08:53.222860,167497229,0,1.063186,0.9130877,0.9101501,0
4091,2023-01-20 11:08:53.322866,167597225,0,1.322954,0.9914139,1.23569,0
4126,2023-01-20 11:08:53.422892,167697252,0,1.443309,0.9480208,1.249434,0
4156,2023-01-20 11:08:53.522834,167797235,0,1.965278,1.299441,1.567777,0
4189,2023-01-20 11:08:53.622815,167897240,0,3.027475,5.178645,2.735788,0
4219,2023-01-20 11:08:53.722830,167997223,0,3.634436,6.455204,3.607975,0
4254,2023-01-20 11:08:53.822858,168097230,0,4.213985,6.929313,3.943622,0
4287,2023-01-20 11:08:53.922977,168197365,0,5.962273,6.4916,3.309701,0
4320,2023-01-20 11:08:54.022946,168297350,0,11.48576,6.196779,5.653306,0
4351,2023-01-20 11:08:54.122821,168397238,0,12.71782,4.637105,5.666375,0
4386,2023-01-20 11:08:54.222801,168497222,0,10.96605,9.895554,6.130856,0
4416,2023-01-20 11:08:54.322925,168597322,0,9.726912,9.773053,5.227328,0
4451,2023-01-20 11:08:54.422872,168697258,0,7.628705,7.399223,4.467246,0
4481,2023-01-20 11:08:54.522828,168797252,0,10.74213,7.202682,3.615832,0
4514,2023-01-20 11:08:54.622876,168897325,0,11.70618,6.649428,4.243358,0
4544,2023-01-20 11:08:54.722794,168997227,0,10.37882,10.69952,5.845297,0
4579,2023-01-20 11:08:54.822815,169097233,0,7.767203,11.04021,6.983719,0
4611,2023-01-20 11:08:54.922967,169197374,0,6.007321,8.911485,6.327249,0
4644,2023-01-20 11:08:55.022845,169297241,0,10.41958,6.557697,6.658056,0
4674,2023-01-20 11:08:55.122855,169397241,0,7.824687,6.668855,6.871723,0
4709,2023-01-20 11:08:55.222851,169497230,0,8.468731,7.269669,8.21163,0
4739,2023-01-20 11:08:55.322841,169597226,0,10.39504,6.984642,7.10198,0
4774,2023-01-20 11:08:55.422922,169697317,0,8.435113,10.11403,8.992226,0
4806,2023-01-20 11:08:55.522817,169797240,0,6.08752,9.72156,6.327309,0
4839,2023-01-20 11:08:55.622802,169897239,0,5.944397,8.225979,5.675322,0
4869,2023-01-20 11:08:55.722937,169997345,0,6.156421,7.439828,6.923481,0
4904,2023-01-20 11:08:55.822835,170097222,0,10.53748,6.609231,5.842866,0
4936,2023-01-20 11:08:55.922956,170197346,0,8.293241,8.500218,6.84641,0
4969,2023-01-20 11:08:56.022916,170297306,0,6.886079,9.00479,5.610919,0
4999,2023-01-20 11:08:56.122841,170397225,0,7.570634,7.181976,4.29493,0
5034,2023-01-20 11:08:56.222853,170497232,0,10.10361,7.037377,5.955319,0
5064,2023-01-20 11:08:56.322871,170597252,0,9.280344,6.40851,5.313856,0
5099,2023-01-20 11:08:56.422941,170697331,0,10.36959,7.719993,5.891056,0
5129,2023-01-20 11:08:56.522940,170797362,0,8.324471,10.46121,7.684953,0
5162,2023-01-20 11:08:56.622814,170897253,0,7.476444,11.61626,5.880377,0
5192,2023-01-20 11:08:56.722843,170997248,0,10.7539,7.956575,5.112831,0
5227,2023-01-20 11:08:56.822882,171097263,0,6.854817,6.818607,5.777137,0
5259,2023-01-20 11:08:56.922961,171197350,0,7.627788,9.707728,5.227027,0
5292,2023-01-20 11:08:57.022845,171297238,0,8.331962,10.11477,6.049815,0
5323,2023-01-20 11:08:57.122841,171397226,0,7.595295,8.835433,5.731486,0
5358,2023-01-20 11:08:57.222848,171497227,0,6.590964,10.43376,6.526993,0
5388,2023-01-20 11:08:57.322946,171597322,0,6.931311,7.762286,5.17285,0
5423,2023-01-20 11:08:57.422924,171697307,0,9.511292,8.331077,6.123994,0
5453,2023-01-20 11:08:57.522809,171797228,0,9.196987,9.252845,8.521219,0
5486,2023-01-20 11:08:57.622798,171897238,0,11.55158,9.646729,6.993124,0
5516,2023-01-20 11:08:57.722831,171997237,0,8.4267,7.659858,5.969207,0
5551,2023-01-20 11:08:57.822949,172097331,0,8.660464,9.277571,6.385436,0
5583,2023-01-20 11:08:57.922943,172197330,0,7.985675,8.074898,5.7572,0
5618,2023-01-20 11:08:58.022921,172297311,0,5.866155,9.922832,7.399253,0
5648,2023-01-20 11:08:58.122953,172397340,0,6.251871,7.6193,5.54555,0
5683,2023-01-20 11:08:58.223142,172497527,0,6.141269,9.406803,5.415171,0
5713,2023-01-20 11:08:58.322873,172597259,0,5.070712,10.08324,4.692529,0
5748,2023-01-20 11:08:58.422934,172697328,0,5.285328,8.775203,5.018499,0
5778,2023-01-20 11:08:58.522824,172797253,0,5.769179,6.743509,4.013998,0
5811,2023-01-20 11:08:58.622866,172897314,0,6.860002,7.2281,4.707107,0
5841,2023-01-20 11:08:58.722835,172997246,0,8.599751,6.456819,3.949482,0
5876,2023-01-20 11:08:58.822863,173097250,0,10.13875,7.18594,5.90229,0
5908,2023-01-20 11:08:58.922948,173197351,0,8.750978,7.083338,5.122365,0
5942,2023-01-20 11:08:59.020826,173297327,0,6.389305,9.616381,4.985441,0
5973,2023-01-20 11:08:59.111739,173397344,0,10.00985,10.1323,5.112875,0
6008,2023-01-20 11:08:59.203078,173497522,0,10.14184,6.214912,3.851365,0
6038,2023-01-20 11:08:59.302804,173597245,0,8.652494,5.289681,4.006654,0
6073,2023-01-20 11:08:59.403260,173697372,0,10.31963,5.053314,3.186108,0
