LineNo,UTC_Approx,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
678,2023-01-20 11:08:47.421095,161675791,0,-2.08,0.43,173.64,-0.03303371,0.01410822,-0.001749448,-0.06388918,6.639023,-0.8010379,-0.4925525,-0.02,-0.04,0.01,738.85
1031,2023-01-20 11:08:47.516079,161775775,0,-2.08,0.43,173.64,-0.03527148,0.0147458,-0.001791719,-0.03876775,6.624416,-0.7959775,-0.4961751,-0.02,-0.04,0.01,738.85
1147,2023-01-20 11:08:47.630187,161892750,0,-2.08,0.43,173.64,-0.03843127,0.01699939,-0.003123848,-0.01790264,6.606935,-0.7857193,-0.4985459,-0.02,-0.04,0.01,738.85
1410,2023-01-20 11:08:47.738571,161995567,0,-2.09,0.43,173.64,-0.04237962,0.02272163,-0.002225626,0.009949771,6.589347,-0.7699993,-0.4984185,-0.02,-0.04,0.01,738.85
1829,2023-01-20 11:08:47.842134,162096077,0,-2.09,0.42,173.64,-0.04362778,0.02789037,-0.00318781,-0.001792937,6.576921,-0.7552733,-0.5004557,-0.02,-0.04,0.01,738.85
1874,2023-01-20 11:08:47.941896,162196081,0,-2.1,0.43,173.64,-0.04152122,0.03218732,-0.004788013,-0.0328408,6.568419,-0.7415079,-0.5039336,-0.02,-0.04,0.01,738.85
1921,2023-01-20 11:08:48.041756,162296080,0,-2.1,0.42,173.64,-0.04480924,0.03645754,-0.005578259,-0.03396473,6.551949,-0.7278647,-0.5066692,-0.02,-0.04,0.01,738.85
1967,2023-01-20 11:08:48.141750,162396070,0,-2.1,0.42,173.64,-0.05162729,0.04017128,-0.006738611,-0.02513885,6.530371,-0.7146258,-0.5088332,-0.02,-0.04,0.01,738.85
2020,2023-01-20 11:08:48.241764,162496067,0,-2.1,0.41,173.64,-0.05931446,0.04556753,-0.006810644,-0.01975309,6.504953,-0.6999286,-0.510897,-0.02,-0.04,0.01,738.85
2061,2023-01-20 11:08:48.341793,162596063,0,-2.11,0.4,173.64,-0.06947605,0.05113685,-0.006583967,-0.01713665,6.477474,-0.6844566,-0.512727,-0.02,-0.04,0.01,738.85
2117,2023-01-20 11:08:48.438031,162696062,0,-2.11,0.39,173.64,-0.07453343,0.05330831,-0.006925976,-0.01501806,6.455162,-0.6725744,-0.5142857,-0.02,-0.04,0.01,738.85
2178,2023-01-20 11:08:48.528998,162796071,0,-2.11,0.39,173.64,-0.07639108,0.05403903,-0.006746707,-0.01337454,6.437188,-0.6635329,-0.5157583,-0.02,-0.04,0.01,738.85
2238,2023-01-20 11:08:48.621935,162896062,0,-2.11,0.4,173.64,-0.07838888,0.0543199,-0.006911684,-0.01128691,6.42035,-0.6557395,-0.5168285,-0.02,-0.04,0.01,738.85
2292,2023-01-20 11:08:48.721952,162996059,0,-2.1,0.39,173.64,-0.08235857,0.05278148,-0.00634059,-0.003346991,6.400537,-0.6487994,-0.5172745,-0.02,-0.04,0.01,738.85
2347,2023-01-20 11:08:48.821971,163096063,0,-2.1,0.39,173.64,-0.08437558,0.05020964,-0.005487018,-0.0004663521,6.383472,-0.6445055,-0.5174465,-0.02,-0.04,0.01,738.85
2401,2023-01-20 11:08:48.921974,163196065,0,-2.1,0.39,173.65,-0.08456754,0.04246915,-0.005516407,0.005568029,6.367462,-0.6453553,-0.517074,-0.02,-0.04,0.01,738.85
2443,2023-01-20 11:08:49.021967,163296061,0,-2.1,0.39,173.64,-0.08418375,0.03874012,-0.005999994,0.00712747,6.352314,-0.644136,-0.5159099,-0.02,-0.04,0.01,738.85
2487,2023-01-20 11:08:49.121952,163396062,0,-2.1,0.39,173.65,-0.08608881,0.03919925,-0.004819396,0.03645188,6.334117,-0.6376734,-0.5124584,-0.02,-0.04,0.01,738.85
2529,2023-01-20 11:08:49.224360,163496062,0,-2.1,0.38,173.65,-0.09038696,0.04125589,-0.004068603,0.03387072,6.315723,-0.6305382,-0.5100386,-0.02,-0.04,0.01,738.85
2569,2023-01-20 11:08:49.335395,163596061,0,-2.1,0.38,173.65,-0.09717652,0.04477037,-0.002661701,0.02602571,6.291584,-0.6201406,-0.5080797,-0.02,-0.04,0.01,738.85
2610,2023-01-20 11:08:49.441806,163696078,0,-2.1,0.38,173.65,-0.1032926,0.04711604,-0.002407156,0.01739172,6.267671,-0.6104786,-0.506289,-0.02,-0.04,0.01,738.85
2650,2023-01-20 11:08:49.541748,163796085,0,-2.1,0.38,173.64,-0.108398,0.04886973,-0.00291315,0.01484307,6.244459,-0.601675,-0.504741,-0.02,-0.04,0.01,738.85
2690,2023-01-20 11:08:49.637949,163896065,0,-2.1,0.37,173.64,-0.1144385,0.0496625,-0.0003702432,0.01946341,6.219216,-0.5923364,-0.5022631,-0.02,-0.04,0.01,738.85
2728,2023-01-20 11:08:49.728987,163996078,0,-2.1,0.37,173.64,-0.1246385,0.05355436,0.001075607,0.03324887,6.192821,-0.5827267,-0.4992517,-0.02,-0.04,0.01,738.85
2771,2023-01-20 11:08:49.821975,164096071,0,-2.1,0.38,173.65,-0.1292038,0.05564214,0.002484243,0.02782495,6.169699,-0.5723016,-0.4970453,-0.02,-0.04,0.01,738.85
2809,2023-01-20 11:08:49.921949,164196069,0,-2.1,0.37,173.65,-0.1297487,0.05993639,0.002509614,0.01512329,6.14851,-0.5574908,-0.4956267,-0.02,-0.04,0.01,738.85
2851,2023-01-20 11:08:50.021935,164296065,0,-2.1,0.37,173.64,-0.1302033,0.06411378,0.00324008,0.01110777,6.131094,-0.5468844,-0.4940476,-0.02,-0.04,0.01,738.85
2890,2023-01-20 11:08:50.121980,164396072,0,-2.1,0.37,173.63,-0.1248698,0.0608807,0.005575817,0.0222069,6.118817,-0.5437353,-0.4916456,-0.02,-0.04,0.01,738.85
