LineNo,UTC_Approx,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
679,2023-01-20 11:08:47.421095,161675791,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
1032,2023-01-20 11:08:47.516079,161775775,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
1148,2023-01-20 11:08:47.630187,161892750,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
1411,2023-01-20 11:08:47.738571,161995567,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
1830,2023-01-20 11:08:47.842134,162096077,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
1875,2023-01-20 11:08:47.941896,162196081,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
1922,2023-01-20 11:08:48.041756,162296080,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
1968,2023-01-20 11:08:48.141750,162396070,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2021,2023-01-20 11:08:48.241764,162496067,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2062,2023-01-20 11:08:48.341793,162596063,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2118,2023-01-20 11:08:48.438031,162696062,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2179,2023-01-20 11:08:48.528998,162796071,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2239,2023-01-20 11:08:48.621935,162896062,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2293,2023-01-20 11:08:48.721952,162996059,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2348,2023-01-20 11:08:48.821971,163096063,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2402,2023-01-20 11:08:48.921974,163196065,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2444,2023-01-20 11:08:49.021967,163296061,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2488,2023-01-20 11:08:49.121952,163396062,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2530,2023-01-20 11:08:49.224360,163496062,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2570,2023-01-20 11:08:49.335395,163596061,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2611,2023-01-20 11:08:49.441806,163696078,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2651,2023-01-20 11:08:49.541748,163796085,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2691,2023-01-20 11:08:49.637949,163896065,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2729,2023-01-20 11:08:49.728987,163996078,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2772,2023-01-20 11:08:49.821975,164096071,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2810,2023-01-20 11:08:49.921949,164196069,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2852,2023-01-20 11:08:50.021935,164296065,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2891,2023-01-20 11:08:50.121980,164396072,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2934,2023-01-20 11:08:50.221993,164496065,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
2972,2023-01-20 11:08:50.321958,164596070,0,0,0,-0.02,0,0,253,25,401,0,0,0,0,0,0
3012,2023-01-20 11:08:50.421912,164696066,0,0.01,0,-0.03,0,0,253,25,401,0,0,0,0,0,0
3054,2023-01-20 11:08:50.521868,164796070,0,0.01,0,-0.03,0,0,253,25,401,0,0,0,0,0,0
3094,2023-01-20 11:08:50.621843,164896069,0,0,0,-0.03,0,0,253,25,401,0,0,0,0,0,0
3132,2023-01-20 11:08:50.721915,164996083,0,0,0,-0.03,0,0,253,25,401,0,0,0,0,0,0
3173,2023-01-20 11:08:50.821937,165096074,0,0,0,-0.03,0,0,253,25,401,0,0,0,0,0,0
