LineNo,UTC_Approx,TimeUS,C,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT,RErr,ErSc
680,2023-01-20 11:08:47.421095,161675791,0,0.04,0.01,-0.04,0.37,-0.16,0.11,0,0,0,0.12,0,0,0.0003712305
1033,2023-01-20 11:08:47.516079,161775775,0,0.04,0.01,-0.04,0.37,-0.16,0.07,0,0,0,-0.13,0,0,0.0003712305
1149,2023-01-20 11:08:47.630187,161892750,0,0.07,-0.24,-0.14,0.38,-0.15,0.08,0,0,0,0.36,0,0,0.004515973
1412,2023-01-20 11:08:47.738571,161995567,0,0.07,-0.24,-0.14,0.38,-0.15,0.1,0,0,0,0.19,0,0,0.004515973
1831,2023-01-20 11:08:47.842134,162096077,0,-0.22,-0.03,0.2,0.39,-0.17,0.09,0,0,0,-0.03,0,0,0.004869669
1876,2023-01-20 11:08:47.941896,162196081,0,-0.22,-0.03,0.2,0.39,-0.17,0.08,0,0,0,0.07,0,0,0.004869669
1923,2023-01-20 11:08:48.041756,162296080,0,0.33,-0.05,-0.03,0.41,-0.18,0.1,0,0,0,0.29,0,0,0.005814378
1969,2023-01-20 11:08:48.141750,162396070,0,0.33,-0.05,-0.03,0.41,-0.18,0.07,0,0,0,-0.06,0,0,0.005814378
2022,2023-01-20 11:08:48.241764,162496067,0,0.18,-0.09,0.01,0.46,-0.2,0.06,0,0,0,-0.14,0,0,0.002337186
2063,2023-01-20 11:08:48.341793,162596063,0,0.18,-0.09,0.01,0.46,-0.2,0.03,0,0,0,0.12,0,0,0.002337186
2119,2023-01-20 11:08:48.438031,162696062,0,-0.18,0.11,0,0.45,-0.2,0.03,0,0,0,0.04,0,0,0.002303841
2180,2023-01-20 11:08:48.528998,162796071,0,-0.18,0.11,0,0.45,-0.2,0.04,0,0,0,-0.02,0,0,0.002303841
2240,2023-01-20 11:08:48.621935,162896062,0,0.01,0.06,-0.04,0.42,-0.18,0.02,0,0,0,-0.1,0,0,0.0004515125
2294,2023-01-20 11:08:48.721952,162996059,0,0.01,0.06,-0.04,0.42,-0.18,0.02,0,0,0,-0.2,0,0,0.0004515125
2349,2023-01-20 11:08:48.821971,163096063,0,-0.1,0.18,-0.04,0.43,-0.18,0.02,0,0,0,0.18,0,0,0.002189024
2403,2023-01-20 11:08:48.921974,163196065,0,-0.1,0.18,-0.04,0.43,-0.18,0.03,0,0,0,-0.06,0,0,0.002189024
2445,2023-01-20 11:08:49.021967,163296061,0,0,-0.07,-0.17,0.41,-0.15,0.01,0,0,0,0.23,0,0,0.001598112
2489,2023-01-20 11:08:49.121952,163396062,0,0,-0.07,-0.17,0.41,-0.15,0.03,0,0,0,0.08,0,0,0.001598112
2531,2023-01-20 11:08:49.224360,163496062,0,0.09,-0.05,-0.03,0.4,-0.15,0.05,0,0,0,0.12,0,0,0.0006791353
2571,2023-01-20 11:08:49.335395,163596061,0,0.09,-0.05,-0.03,0.4,-0.15,0.06,0,0,0,0,0,0,0.0006791353
2612,2023-01-20 11:08:49.441806,163696078,0,-0.01,0.03,-0.05,0.4,-0.16,0.05,0,0,0,0.32,0,0,0.0003617465
2652,2023-01-20 11:08:49.541748,163796085,0,-0.01,0.03,-0.05,0.4,-0.16,0.04,0,0,0,0,0,0,0.0003617465
2692,2023-01-20 11:08:49.637949,163896065,0,0.07,0,-0.13,0.38,-0.16,0.04,0,0,0,0.03,0,0,0.001083446
2730,2023-01-20 11:08:49.728987,163996078,0,0.07,0,-0.13,0.38,-0.16,0.03,0,0,0,-0.23,0,0,0.001083446
2773,2023-01-20 11:08:49.821975,164096071,0,-0.08,-0.09,0.02,0.37,-0.14,0,0,0,0,0.08,0,0,0.0007497709
2811,2023-01-20 11:08:49.921949,164196069,0,-0.08,-0.09,0.02,0.37,-0.14,0,0,0,0,0.3,0,0,0.0007497709
2853,2023-01-20 11:08:50.021935,164296065,0,-0.17,0.18,-0.04,0.35,-0.17,-0.02,0,0,0,0.47,0,0,0.002497097
2892,2023-01-20 11:08:50.121980,164396072,0,-0.17,0.18,-0.04,0.35,-0.17,-0.05,0,0,0,0.44,0,0,0.002497097
2935,2023-01-20 11:08:50.221993,164496065,0,-0.15,0,-0.04,0.35,-0.17,-0.02,0,0,0,0.3,0,0,0.001065109
2973,2023-01-20 11:08:50.321958,164596070,0,-0.15,0,-0.04,0.35,-0.17,0,0,0,0,0.15,0,0,0.001065109
3013,2023-01-20 11:08:50.421912,164696066,0,-0.03,0.06,-0.2,0.33,-0.17,0,0,0,0,0.33,0,0,0.001876302
3055,2023-01-20 11:08:50.521868,164796070,0,-0.03,0.06,-0.2,0.33,-0.17,0.03,0,0,0,0.47,0,0,0.001876302
3095,2023-01-20 11:08:50.621843,164896069,0,0.01,-0.04,-0.15,0.31,-0.16,0.02,0,0,0,0.71,0,0,0.001162144
3133,2023-01-20 11:08:50.721915,164996083,0,0.01,-0.04,-0.15,0.31,-0.16,-0.02,0,0,0,0.06,0,0,0.001162144
3174,2023-01-20 11:08:50.821937,165096074,0,0.05,0.01,-0.23,0.3,-0.16,-0.01,0,0,0,-1.19,0,0,0.002409449
3212,2023-01-20 11:08:50.921874,165196076,0,0.05,0.01,-0.23,0.3,-0.16,0,0,0,0,-1,0,0,0.002409449
3254,2023-01-20 11:08:51.021836,165296085,0,0.12,-0.05,-0.38,0.3,-0.17,-0.04,0,0,0,-0.48,0,0,0.006819164
3292,2023-01-20 11:08:51.121840,165396074,0,0.12,-0.05,-0.38,0.3,-0.17,0.02,0,0,0,-0.97,0,0,0.006819164
3335,2023-01-20 11:08:51.221846,165496079,0,0.04,0,-0.32,0.3,-0.17,0.08,0,0,0,-0.4,0,0,0.004513256
3373,2023-01-20 11:08:51.321810,165596086,0,0.04,0,-0.32,0.3,-0.17,-0.06,0,0,0,-0.02,0,0,0.004513256
3413,2023-01-20 11:08:51.421759,165696074,0,0.03,0.15,-0.34,0.28,-0.18,-0.07,0,0,0,-0.95,0,0,0.006088418
3453,2023-01-20 11:08:51.521744,165796075,0,0.03,0.15,-0.34,0.28,-0.18,0,0,0,0,-0.67,0,0,0.006088418
3494,2023-01-20 11:08:51.621735,165896078,0,-0.29,0.08,-0.29,0.29,-0.15,0.06,0,0,0,-0.39,0,0,0.007619394
3531,2023-01-20 11:08:51.721737,165996073,0,-0.29,0.08,-0.29,0.29,-0.15,0.1,0,0,0,-1.02,0,0,0.007619394
3574,2023-01-20 11:08:51.821756,166096087,0,-0.01,0,-0.31,0.26,-0.14,0.11,0,0,0,-0.04,0,0,0.004173106
3612,2023-01-20 11:08:51.921747,166196081,0,-0.01,0,-0.31,0.26,-0.14,0.04,0,0,0,-0.68,0,0,0.004173106
3654,2023-01-20 11:08:52.021742,166296076,0,-0.06,-0.03,-0.18,0.24,-0.12,0.1,0,0,0,-0.64,0,0,0.001745941
3690,2023-01-20 11:08:52.121747,166396074,0,-0.06,-0.03,-0.18,0.24,-0.12,0.18,0,0,0,-0.45,0,0,0.001745941
3725,2023-01-20 11:08:52.221760,166496082,0,-0.17,0.11,-0.2,0.22,-0.13,0.18,0,0,0,-0.2,0,0,0.003802613
3755,2023-01-20 11:08:52.321747,166596072,0,-0.17,0.11,-0.2,0.22,-0.13,0.21,0,0,0,-0.42,0,0,0.003802613
3788,2023-01-20 11:08:52.421755,166696087,0,-0.19,0.03,-0.05,0.19,-0.1,0.22,0,0,0,-1,0,0,0.001859539
3820,2023-01-20 11:08:52.521746,166796104,0,-0.19,0.03,-0.05,0.19,-0.1,0.26,0,0,0,-0.52,0,0,0.001859539
3853,2023-01-20 11:08:52.621713,166896084,0,-0.14,0.05,-0.08,0.2,-0.11,0.27,0,0,0,-0.56,0,0,0.001393501
3883,2023-01-20 11:08:52.721736,166996074,0,-0.14,0.05,-0.08,0.2,-0.11,0.27,0,0,0,-0.73,0,0,0.001393501
3918,2023-01-20 11:08:52.821776,167096088,0,0,0,-0.08,0.18,-0.09,0.31,0,0,0,-0.57,0,0,0.0003530876
3948,2023-01-20 11:08:52.921760,167196070,0,0,0,-0.08,0.18,-0.09,0.27,0,0,0,-1.23,0,0,0.0003530876
3983,2023-01-20 11:08:53.021775,167296091,0,0.07,-0.04,-0.16,0.17,-0.08,0.28,0,0,0,-0.23,0,0,0.001632589
4013,2023-01-20 11:08:53.121735,167396082,0,0.07,-0.04,-0.16,0.17,-0.08,0.38,0,0,0,-0.85,0,0,0.001632589
