LineNo,UTC_Approx,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
675,2023-01-20 11:08:47.421095,161675791,0,0.01,0.01,0,0,0,0.007563076,3.144728,-0.9072883,0,48,109375,0,0
1028,2023-01-20 11:08:47.516079,161775775,0,0.01,0.01,0,0,0,0.007637982,3.144728,-0.9072883,0,48,109375,0,0
1144,2023-01-20 11:08:47.630187,161892750,0,0.09,0.01,0,0,0,0.007582027,3.144728,-0.9072883,0,48,109375,0,0
1407,2023-01-20 11:08:47.738571,161995567,0,0.09,0.01,0,0,0,0.007658381,3.144728,-0.9072883,0,48,109375,0,0
1826,2023-01-20 11:08:47.842134,162096077,0,0.09,0.01,0,0,0,0.007606738,3.144728,-0.9072883,0,48,109375,0,0
1871,2023-01-20 11:08:47.941896,162196081,0,0.09,0.01,0,0,0,0.007683759,3.144728,-0.9072883,0,48,109375,0,0
1918,2023-01-20 11:08:48.041756,162296080,0,0.1,0.02,0,0,0,0.007656035,3.144728,-0.9072883,0,48,109375,0,0
1964,2023-01-20 11:08:48.141750,162396070,0,0.1,0.02,0,0,0,0.007732977,3.144728,-0.9072883,0,48,109375,0,0
2017,2023-01-20 11:08:48.241764,162496067,0,0.06,0.02,0,0,0,0.007699526,3.144728,-0.9072883,0,48,109375,0,0
2058,2023-01-20 11:08:48.341793,162596063,0,0.06,0.02,0,0,0,0.007776442,3.144728,-0.9072883,0,48,109375,0,0
2114,2023-01-20 11:08:48.438031,162696062,0,0.06,0.02,0,0,0,0.007742804,3.144728,-0.9072883,0,48,109375,0,0
2175,2023-01-20 11:08:48.528998,162796071,0,0.06,0.02,0,0,0,0.007818965,3.144728,-0.9072883,0,48,109375,0,0
2235,2023-01-20 11:08:48.621935,162896062,0,0.02,0.02,0,0,0,0.007798265,3.144728,-0.9072883,0,48,109375,0,0
2289,2023-01-20 11:08:48.721952,162996059,0,0.02,0.02,0,0,0,0.007875081,3.144728,-0.9072883,0,48,109375,0,0
2344,2023-01-20 11:08:48.821971,163096063,0,0.06,0.01,0,0,0,0.007859406,3.144728,-0.9072883,0,48,109375,0,0
2398,2023-01-20 11:08:48.921974,163196065,0,0.06,0.01,0,0,0,0.007936273,3.144728,-0.9072883,0,48,109375,0,0
2440,2023-01-20 11:08:49.021967,163296061,0,0.05,0.01,0,0,0,0.007930685,3.144728,-0.9072883,0,48,109375,0,0
2484,2023-01-20 11:08:49.121952,163396062,0,0.05,0.01,0,0,0,0.008007101,3.144728,-0.9072883,0,48,109375,0,0
2526,2023-01-20 11:08:49.224360,163496062,0,0.03,0.01,0,0,0,0.008020865,3.144728,-0.9072883,0,48,109375,0,0
2566,2023-01-20 11:08:49.335395,163596061,0,0.03,0.01,0,0,0,0.008097527,3.144728,-0.9072883,0,48,109375,0,0
2607,2023-01-20 11:08:49.441806,163696078,0,0.01,0.01,0,0,0,0.008124338,3.144728,-0.9072883,0,48,109375,0,0
2647,2023-01-20 11:08:49.541748,163796085,0,0.01,0.01,0,0,0,0.008200651,3.144728,-0.9072883,0,48,109375,0,0
2687,2023-01-20 11:08:49.637949,163896065,0,0.04,0.01,0,0,0,0.008235671,3.144728,-0.9072883,0,48,109375,0,0
2725,2023-01-20 11:08:49.728987,163996078,0,0.04,0.01,0,0,0,0.008311925,3.144728,-0.9072883,0,48,113471,0,0
2768,2023-01-20 11:08:49.821975,164096071,0,0.03,0.01,0,0,0,0.008352409,3.144728,-0.9072883,0,48,113471,0,0
2806,2023-01-20 11:08:49.921949,164196069,0,0.03,0.01,0,0,0,0.008428917,3.144728,-0.9072883,0,48,113471,0,0
2848,2023-01-20 11:08:50.021935,164296065,0,0.06,0.01,0,0,0,0.008475271,3.144728,-0.9072883,0,48,113471,0,0
2887,2023-01-20 11:08:50.121980,164396072,0,0.06,0.01,0,0,0,0.008551459,3.144728,-0.9072883,0,48,113471,0,0
2930,2023-01-20 11:08:50.221993,164496065,0,0.04,0.01,0,0,0,0.00860368,3.144728,-0.9072883,0,48,113471,0,0
2968,2023-01-20 11:08:50.321958,164596070,0,0.04,0.01,0,0,0,0.008680137,3.144728,-0.9072883,0,48,113471,0,0
3008,2023-01-20 11:08:50.421912,164696066,0,0.05,0.01,0,0,0,0.008736665,3.144728,-0.9072883,0,48,113471,0,0
3050,2023-01-20 11:08:50.521868,164796070,0,0.05,0.01,0,0,0,0.00881316,3.144728,-0.9072883,0,48,113471,0,0
3090,2023-01-20 11:08:50.621843,164896069,0,0.04,0.01,0,0,0,0.008874565,3.144728,-0.9072883,0,48,113471,0,0
3128,2023-01-20 11:08:50.721915,164996083,0,0.04,0.01,0,0,0,0.008950449,3.144728,-0.9072883,0,48,113471,0,0
3169,2023-01-20 11:08:50.821937,165096074,0,0.06,0.01,0,0.01,0,0.009014521,3.144728,-0.9072883,0,48,113471,0,0
3207,2023-01-20 11:08:50.921874,165196076,0,0.06,0.01,0,0.01,0,0.009090764,3.144728,-0.9072883,0,48,113471,0,0
3249,2023-01-20 11:08:51.021836,165296085,0,0.11,0.01,0,0,0,0.009156369,3.144728,-0.9072883,0,48,113471,0,0
3287,2023-01-20 11:08:51.121840,165396074,0,0.11,0.01,0,0.01,0,0.00923296,3.144728,-0.9072883,0,48,113471,0,0
3330,2023-01-20 11:08:51.221846,165496079,0,0.09,0.01,0,0,0,0.009300783,3.144728,-0.9072883,0,48,113471,0,0
3368,2023-01-20 11:08:51.321810,165596086,0,0.09,0.01,0,0,0,0.009376628,3.144728,-0.9072883,0,48,113471,0,0
3408,2023-01-20 11:08:51.421759,165696074,0,0.1,0.01,0,0.01,0,0.009445649,3.144728,-0.9072883,0,48,113471,0,0
3448,2023-01-20 11:08:51.521744,165796075,0,0.1,0.01,0,0,0,0.009522191,3.144728,-0.9072883,0,48,113471,0,0
3489,2023-01-20 11:08:51.621735,165896078,0,0.12,0.01,0,0,0,0.009591619,3.144728,-0.9072883,0,48,113471,0,0
3526,2023-01-20 11:08:51.721737,165996073,0,0.12,0.01,0,0.01,0,0.009668142,3.144728,-0.9072883,0,48,113471,0,0
3569,2023-01-20 11:08:51.821756,166096087,0,0.09,0.01,0,0,0,0.009738966,3.144728,-0.9072883,0,48,113471,0,0
3607,2023-01-20 11:08:51.921747,166196081,0,0.09,0.01,0,0,0,0.009815009,3.144728,-0.9072883,0,48,113471,0,0
3649,2023-01-20 11:08:52.021742,166296076,0,0.05,0.01,0,0,0,0.009886852,3.144728,-0.9072883,0,48,113471,0,0
3685,2023-01-20 11:08:52.121747,166396074,0,0.05,0.01,0,0,0,0.009963308,3.144728,-0.9072883,0,48,113471,0,0
3720,2023-01-20 11:08:52.221760,166496082,0,0.08,0,0,0,0,0.01003519,3.144728,-0.9072883,0,48,113471,0,0
3750,2023-01-20 11:08:52.321747,166596072,0,0.08,0,0.01,0,0,0.0101117,3.144728,-0.9072883,0,48,113471,0,0
3783,2023-01-20 11:08:52.421755,166696087,0,0.06,0,0.01,0.01,0,0.0101843,3.144728,-0.9072883,0,48,113471,0,0
3815,2023-01-20 11:08:52.521746,166796104,0,0.06,0,0.01,0,0,0.01026068,3.144728,-0.9072883,0,48,113471,0,0
3848,2023-01-20 11:08:52.621713,166896084,0,0.05,0,0.01,0,0,0.0103338,3.144728,-0.9072883,0,48,113471,0,0
3878,2023-01-20 11:08:52.721736,166996074,0,0.05,0,0.01,0,0,0.01041083,3.144728,-0.9072883,0,48,113471,0,0
3913,2023-01-20 11:08:52.821776,167096088,0,0.02,0,0.01,0,0,0.01048369,3.144728,-0.9072883,0,48,113471,0,0
3943,2023-01-20 11:08:52.921760,167196070,0,0.02,0,0.01,0.01,0,0.01056066,3.144728,-0.9072883,0,48,113471,0,0
3978,2023-01-20 11:08:53.021775,167296091,0,0.05,0,0.01,0,0,0.01063475,3.144728,-0.9072883,0,48,113471,0,0
4008,2023-01-20 11:08:53.121735,167396082,0,0.05,0,0.01,0,0,0.01071125,3.144728,-0.9072883,0,48,113471,0,0
4043,2023-01-20 11:08:53.221700,167496069,0,0.11,0,0.01,0.01,0,0.01078551,3.144728,-0.9072883,0,48,113471,0,0
4073,2023-01-20 11:08:53.321721,167596080,0,0.11,0,0.01,0,0,0.01086261,3.144728,-0.9072883,0,48,113471,0,0
4106,2023-01-20 11:08:53.421714,167696074,0,0.08,0,0.01,0,0,0.01093657,3.144728,-0.9072883,0,48,113471,0,0
4138,2023-01-20 11:08:53.521678,167796078,0,0.08,0,0.01,0.03,0,0.01101384,3.144728,-0.9072883,0,48,113471,0,0
4171,2023-01-20 11:08:53.621652,167896077,0,0.06,0,0.01,0.05,0,0.01108812,3.144728,-0.9072883,0,48,113471,0,0
4201,2023-01-20 11:08:53.721680,167996073,0,0.06,0,0.02,0.08,0,0.01116429,3.144728,-0.9072883,0,48,113471,0,0
4236,2023-01-20 11:08:53.821712,168096084,0,0.1,0,0.01,0.07,0,0.01123839,3.144728,-0.9072883,0,48,113471,0,0
4266,2023-01-20 11:08:53.921691,168196079,0,0.1,0,0.01,0.09,0,0.01131491,3.144728,-0.9072883,0,48,113471,0,0
4302,2023-01-20 11:08:54.021678,168296082,0,0.09,0,0.01,0.09,0,0.01138599,3.144728,-0.9072883,0,48,113471,0,0
4333,2023-01-20 11:08:54.121670,168396087,0,0.09,0,0,0.08,0,0.01146512,3.144728,-0.9072883,0,48,109375,0,0
4368,2023-01-20 11:08:54.221652,168496074,0,0.14,0,0.01,0.1,0,0.01154197,3.144728,-0.9072883,0,48,109375,0,0
4398,2023-01-20 11:08:54.321685,168596082,0,0.14,0,0.01,0.08,0,0.01161992,3.144728,-0.9072883,0,48,109375,0,0
4431,2023-01-20 11:08:54.421693,168696079,0,0.07,0,0.03,0.08,0,0.01168853,3.144728,-0.9072883,0,48,109375,0,0
4463,2023-01-20 11:08:54.521650,168796074,0,0.07,0,0.03,0.07,0,0.01176578,3.144728,-0.9072883,0,48,109375,0,0
4496,2023-01-20 11:08:54.621624,168896073,0,0.05,0,0.04,0.07,0,0.01183916,3.144728,-0.9072883,0,48,109375,0,0
4526,2023-01-20 11:08:54.721641,168996074,0,0.05,0,0.04,0.09,0,0.01191948,3.144728,-0.9072883,0,48,109375,0,0
4561,2023-01-20 11:08:54.821676,169096094,0,0.04,0.01,0.04,0.08,0,0.01199764,3.144728,-0.9072883,0,48,109375,0,0
4591,2023-01-20 11:08:54.921667,169196074,0,0.04,0.01,0.05,0.1,0,0.01210143,3.144728,-0.9072883,0,48,109375,0,0
4626,2023-01-20 11:08:55.021681,169296077,0,0.04,0.01,0.05,0.09,0,0.01220667,3.144728,-0.9072883,0,48,109375,0,0
4656,2023-01-20 11:08:55.121703,169396089,0,0.04,0.01,0.05,0.11,0,0.0123079,3.144728,-0.9072883,0,48,107327,0,0
4691,2023-01-20 11:08:55.221693,169496072,0,0.17,0,0.09,0.1,0,0.01241818,3.144728,-0.9072883,0,48,107327,0,0
4721,2023-01-20 11:08:55.321687,169596072,0,0.17,0,0.09,0.1,0,0.01253003,3.144728,-0.9072883,0,48,107327,0,0
4754,2023-01-20 11:08:55.421686,169696081,0,0.06,0.01,0.08,0.1,0,0.01264189,3.144728,-0.9072883,0,48,107327,0,0
4788,2023-01-20 11:08:55.521647,169796070,0,0.06,0.01,0.09,0.11,0,0.01270902,3.144728,-0.9072883,0,48,107327,0,0
4821,2023-01-20 11:08:55.621640,169896078,0,0.05,0.01,0.09,0.11,0,0.01272502,3.144728,-0.9072883,0,48,107327,0,0
4851,2023-01-20 11:08:55.721683,169996092,0,0.05,0.01,0.07,0.12,0,0.01277728,3.144728,-0.9072883,0,48,107327,0,0
4886,2023-01-20 11:08:55.821690,170096077,0,0.09,0.01,0.06,0.13,0,0.01283722,3.144728,-0.9072883,0,48,107327,0,0
4916,2023-01-20 11:08:55.921693,170196083,0,0.09,0.01,0.05,0.1,0,0.01290497,3.144728,-0.9072883,0,48,107327,0,0
4951,2023-01-20 11:08:56.021701,170296092,0,0.03,0.01,0.05,0.11,0,0.01295045,3.144728,-0.9072883,0,48,107327,0,0
4981,2023-01-20 11:08:56.121684,170396068,0,0.03,0.01,0.05,0.09,0,0.0130174,3.144728,-0.9072883,0,48,107327,0,0
5016,2023-01-20 11:08:56.221691,170496070,0,0.08,0.01,0.06,0.1,0,0.01308252,3.144728,-0.9072883,0,48,107327,0,0
5046,2023-01-20 11:08:56.321708,170596089,0,0.08,0.01,0.05,0.11,0,0.01314625,3.144728,-0.9072883,0,48,107327,0,0
5079,2023-01-20 11:08:56.421682,170696072,0,0.13,0.01,0.04,0.11,0,0.01319362,3.144728,-0.9072883,0,48,107327,0,0
5111,2023-01-20 11:08:56.521656,170796078,0,0.13,0.01,0.04,0.11,0,0.01325967,3.144728,-0.9072883,0,48,107327,0,0
5144,2023-01-20 11:08:56.621642,170896082,0,0.07,0.01,0.04,0.1,0,0.01331707,3.144728,-0.9072883,0,48,107327,0,0
5174,2023-01-20 11:08:56.721666,170996072,0,0.07,0.01,0.05,0.09,0,0.01341532,3.144728,-0.9072883,0,48,107327,0,0
5209,2023-01-20 11:08:56.821700,171096081,0,0.08,0.01,0.05,0.09,0,0.01348158,3.144728,-0.9072883,0,48,107327,0,0
5239,2023-01-20 11:08:56.921704,171196093,0,0.08,0.01,0.05,0.09,0,0.01357362,3.144728,-0.9072883,0,48,107327,0,0
5274,2023-01-20 11:08:57.021684,171296077,0,0.16,0.01,0.05,0.08,0,0.01361512,3.144728,-0.9072883,0,48,107327,0,0
5305,2023-01-20 11:08:57.121683,171396068,0,0.16,0.01,0.05,0.08,0,0.01367251,3.144728,-0.9072883,0,48,107327,0,0
5340,2023-01-20 11:08:57.221694,171496072,0,0.19,0.01,0.04,0.07,0,0.01372414,3.144728,-0.9072883,0,48,107327,0,0
5370,2023-01-20 11:08:57.321696,171596072,0,0.19,0.01,0.05,0.08,0,0.01381714,3.144728,-0.9072883,0,48,107327,0,0
5403,2023-01-20 11:08:57.421693,171696076,0,0.14,0.01,0.05,0.06,0,0.0138907,3.144728,-0.9072883,0,48,107327,0,0
5435,2023-01-20 11:08:57.521654,171796073,0,0.14,0.01,0.05,0.06,0,0.01400138,3.144728,-0.9072883,0,48,107327,0,0
5468,2023-01-20 11:08:57.621639,171896079,0,0.07,0.01,0.06,0.06,0,0.01404139,3.144728,-0.9072883,0,48,107327,0,0
5498,2023-01-20 11:08:57.721665,171996072,0,0.07,0.01,0.06,0.06,0,0.01409851,3.144728,-0.9072883,0,48,107327,0,0
5533,2023-01-20 11:08:57.821714,172096096,0,0.12,0.01,0.06,0.05,0,0.01412607,3.144728,-0.9072883,0,48,107327,0,0
5563,2023-01-20 11:08:57.921687,172196074,0,0.12,0.01,0.07,0.04,0,0.01418908,3.144728,-0.9072883,0,48,107327,0,0
5600,2023-01-20 11:08:58.021684,172296074,0,0.11,0.01,0.08,0,0,0.03362119,3.144728,-0.9072883,0,48,107327,0,0
5630,2023-01-20 11:08:58.121681,172396068,0,0.11,0.01,0.07,1.28,0,0.03382209,3.144728,-0.9072883,0,48,107327,0,0
5665,2023-01-20 11:08:58.221691,172496076,0,0.13,0.01,0.08,1.32,0,0.03666824,3.144728,-0.9072883,0,48,107327,0,0
5695,2023-01-20 11:08:58.321694,172596080,0,0.13,0.01,0.11,1.12,0,0.04025606,3.144728,-0.9072883,0,48,107327,0,0
5728,2023-01-20 11:08:58.421675,172696069,0,0.09,0.01,0.09,1,0,0.04183846,3.144728,-0.9072883,0,48,107327,0,0
5760,2023-01-20 11:08:58.521661,172796090,0,0.09,0.01,0.09,1,0,0.04355547,3.144728,-0.9072883,0,48,107327,0,0
5793,2023-01-20 11:08:58.621648,172896096,0,0.05,0.01,0.11,1.08,0,0.04225308,3.144728,-0.9072883,0,48,107327,0,0
5823,2023-01-20 11:08:58.721670,172996082,0,0.05,0.01,0.12,1.14,0,0.04269814,3.144728,-0.9072883,0,48,107327,0,0
5858,2023-01-20 11:08:58.821701,173096087,0,0.08,0.01,0.12,1.33,0,0.03930958,3.144728,-0.9072883,0,48,107327,0,0
5888,2023-01-20 11:08:58.921696,173196099,0,0.08,0.01,0.13,1.44,0,0.03861865,3.144728,-0.9072883,0,48,107327,0,0
5923,2023-01-20 11:08:59.019695,173296082,0,0.18,0,0.13,1.32,0,0.03479547,3.144728,-0.9072883,0,48,107327,0,0
5955,2023-01-20 11:08:59.110593,173396083,0,0.18,0,0.14,1.22,0,0.03330176,3.144728,-0.9072883,0,48,107327,0,0
5990,2023-01-20 11:08:59.201665,173496109,0,0.18,0,0.12,1.14,0,0.03211292,3.144728,-0.9072883,0,48,107327,0,0
6020,2023-01-20 11:08:59.301649,173596090,0,0.2,0,0.12,1.25,0,0.03216742,3.144728,-0.9072883,0,48,107327,0,0
6053,2023-01-20 11:08:59.401838,173696092,0,0.2,0,0.12,1.2,0,0.0354896,3.144728,-0.9072883,0,48,107327,0,0
6084,2023-01-20 11:08:59.512945,173796083,0,0.16,0,0.11,1.33,0,0.03503035,3.144728,-0.9072883,0,48,107327,0,0
6117,2023-01-20 11:08:59.619687,173896085,0,0.11,0,0.12,1.36,0,0.0350883,3.144728,-0.9072883,0,48,107327,0,0
6147,2023-01-20 11:08:59.710580,173996073,0,0.11,0,0.13,1.29,0,0.03875852,3.144728,-0.9072883,0,48,107327,0,0
6183,2023-01-20 11:08:59.801677,174096118,0,0.11,0,0.12,1.3,0,0.04125912,3.144728,-0.9072883,0,48,107327,0,0
6213,2023-01-20 11:08:59.901607,174196077,0,0.09,0,0.11,1.32,0,0.04087732,3.144728,-0.9072883,0,48,107327,0,0
6248,2023-01-20 11:09:00.001602,174296103,0,0.09,0,0.1,1.31,0,0.0399203,3.144728,-0.9072883,0,48,107327,0,0
6278,2023-01-20 11:09:00.101506,174396081,0,0.2,0,0.09,1.25,0,0.03512268,3.144728,-0.9072883,0,48,107327,0,0
6313,2023-01-20 11:09:00.201455,174496101,0,0.2,0,0.09,1.28,0,0.03346715,3.144728,-0.9072883,0,48,107327,0,0
6343,2023-01-20 11:09:00.301482,174596077,0,0.15,0,0.09,1.31,0,0.03079277,3.144728,-0.9072883,0,48,107327,0,0
6376,2023-01-20 11:09:00.401565,174696110,0,0.15,0,0.09,1.25,0,0.03010498,3.144728,-0.9072883,0,48,107327,0,0
6410,2023-01-20 11:09:00.501498,174796097,0,0.21,0,0.09,1.28,0,0.02850716,3.144728,-0.9072883,0,48,107327,0,0
6443,2023-01-20 11:09:00.601453,174896106,0,0.21,0,0.09,1.37,0,0.02886404,3.144728,-0.9072883,0,48,107327,0,0
