LineNo,UTC_Approx,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
681,2023-01-20 11:08:47.421095,161675791,0,0,0,0,0,0.76,0.19,0,0,0.5,8.080534E-05,0.004965502,0.01700681
1034,2023-01-20 11:08:47.516079,161775775,0,0,0,0,0,0.76,0.19,0,0,0.5,8.184354E-05,0.002769518,0.006145599
1150,2023-01-20 11:08:47.630187,161892750,0,0,0,0,0,0.75,0.19,0,0,0.5,0.0003251142,0.01696024,0.03865555
1413,2023-01-20 11:08:47.738571,161995567,0,0,0,0,0,0.75,0.19,0,0,0.5,0.0002833942,0.01082169,0.02119144
1832,2023-01-20 11:08:47.842134,162096077,0,0,0,0,0,0.76,0.19,0,0,0.5,0.0002077479,0.01090296,0.0212764
1877,2023-01-20 11:08:47.941896,162196081,0,0,0,0,0,0.77,0.19,0,0,0.5,0.0001457909,0.007324279,0.01488235
1924,2023-01-20 11:08:48.041756,162296080,0,0,0,0,0,0.77,0.19,0,0,0.5,0.0002486793,0.01668025,0.03486268
1970,2023-01-20 11:08:48.141750,162396070,0,0,0,0,0,0.77,0.19,0,0,0.5,0.0002395592,0.01039766,0.01684862
2023,2023-01-20 11:08:48.241764,162496067,0,0,0,0,0,0.77,0.19,0,0,0.5,0.0003337595,0.02271436,0.04538694
2064,2023-01-20 11:08:48.341793,162596063,0,0,0,0,0,0.77,0.19,0,0,0.5,0.0002009985,0.01392113,0.02376552
2120,2023-01-20 11:08:48.438031,162696062,0,0,0,0,0,0.77,0.19,0,0,0.5,7.466341E-05,0.005639125,0.009938649
2181,2023-01-20 11:08:48.528998,162796071,0,0,0,0,0,0.77,0.19,0,0,0.5,0.0001166931,0.006029002,0.008386723
2241,2023-01-20 11:08:48.621935,162896062,0,0,0,0,0,0.77,0.19,0,0,0.5,7.226798E-05,0.008488069,0.01657147
2295,2023-01-20 11:08:48.721952,162996059,0,0,0,0,0,0.77,0.19,0,0,0.5,7.067295E-05,0.006802485,0.0123106
2350,2023-01-20 11:08:48.821971,163096063,0,0,0,0,0,0.77,0.19,0,0,0.5,0.0001437584,0.02407366,0.0293108
2404,2023-01-20 11:08:48.921974,163196065,0,0,0,0,0,0.77,0.19,0,0,0.5,0.000127412,0.01799193,0.02725793
2446,2023-01-20 11:08:49.021967,163296061,0,0,0,0,0,0.76,0.19,0,0,0.5,4.502382E-05,0.005193183,0.01783293
2490,2023-01-20 11:08:49.121952,163396062,0,0,0,0,0,0.76,0.19,0,0,0.5,7.122954E-05,0.003964622,0.01376191
2532,2023-01-20 11:08:49.224360,163496062,0,0,0,0,0,0.76,0.19,0,0,0.5,0.0001496929,0.01466981,0.02526827
2572,2023-01-20 11:08:49.335395,163596061,0,0,0,0,0,0.76,0.19,0,0,0.5,0.0001128899,0.008799878,0.01077506
2613,2023-01-20 11:08:49.441806,163696078,0,0,0,0,0,0.76,0.19,0,0,0.5,8.46995E-05,0.007057092,0.0163318
2653,2023-01-20 11:08:49.541748,163796085,0,0,0,0,0,0.76,0.19,0,0,0.5,3.981E-05,0.003319668,0.006736165
