LineNo,UTC_Approx,TimeUS,C,MI,BI,GI,AI,SS
682,2023-01-20 11:08:47.421095,161675791,0,0,0,0,0,0
1035,2023-01-20 11:08:47.516079,161775775,0,0,0,0,0,0
1151,2023-01-20 11:08:47.630187,161892750,0,0,0,0,0,0
1414,2023-01-20 11:08:47.738571,161995567,0,0,0,0,0,0
1833,2023-01-20 11:08:47.842134,162096077,0,0,0,0,0,0
1878,2023-01-20 11:08:47.941896,162196081,0,0,0,0,0,0
1925,2023-01-20 11:08:48.041756,162296080,0,0,0,0,0,0
1971,2023-01-20 11:08:48.141750,162396070,0,0,0,0,0,0
2024,2023-01-20 11:08:48.241764,162496067,0,0,0,0,0,0
2065,2023-01-20 11:08:48.341793,162596063,0,0,0,0,0,0
2121,2023-01-20 11:08:48.438031,162696062,0,0,0,0,0,0
2182,2023-01-20 11:08:48.528998,162796071,0,0,0,0,0,0
2242,2023-01-20 11:08:48.621935,162896062,0,0,0,0,0,0
2296,2023-01-20 11:08:48.721952,162996059,0,0,0,0,0,0
2351,2023-01-20 11:08:48.821971,163096063,0,0,0,0,0,0
2405,2023-01-20 11:08:48.921974,163196065,0,0,0,0,0,0
2447,2023-01-20 11:08:49.021967,163296061,0,0,0,0,0,0
2491,2023-01-20 11:08:49.121952,163396062,0,0,0,0,0,0
2533,2023-01-20 11:08:49.224360,163496062,0,0,0,0,0,0
2573,2023-01-20 11:08:49.335395,163596061,0,0,0,0,0,0
2614,2023-01-20 11:08:49.441806,163696078,0,0,0,0,0,0
2654,2023-01-20 11:08:49.541748,163796085,0,0,0,0,0,0
2694,2023-01-20 11:08:49.637949,163896065,0,0,0,0,0,0
2732,2023-01-20 11:08:49.728987,163996078,0,0,0,0,0,0
2775,2023-01-20 11:08:49.821975,164096071,0,0,0,0,0,0
2813,2023-01-20 11:08:49.921949,164196069,0,0,0,0,0,0
2855,2023-01-20 11:08:50.021935,164296065,0,0,0,0,0,0
2894,2023-01-20 11:08:50.121980,164396072,0,0,0,0,0,0
2937,2023-01-20 11:08:50.221993,164496065,0,0,0,0,0,0
2975,2023-01-20 11:08:50.321958,164596070,0,0,0,0,0,0
3015,2023-01-20 11:08:50.421912,164696066,0,0,0,0,0,0
3057,2023-01-20 11:08:50.521868,164796070,0,0,0,0,0,0
