LineNo,UTC_Approx,TimeUS,C,Q1,Q2,Q3,Q4
683,2023-01-20 11:08:47.421095,161675791,0,0.05542332,-0.001689696,-0.01010497,0.9984104
1036,2023-01-20 11:08:47.516079,161775775,0,0.05541093,-0.001667241,-0.01011194,0.9984111
1152,2023-01-20 11:08:47.630187,161892750,0,0.05539997,-0.001643202,-0.01011798,0.9984117
1415,2023-01-20 11:08:47.738571,161995567,0,0.05542637,-0.001608246,-0.01017609,0.9984097
1834,2023-01-20 11:08:47.842134,162096077,0,0.05541945,-0.001600111,-0.01024119,0.9984095
1879,2023-01-20 11:08:47.941896,162196081,0,0.05541629,-0.001615823,-0.0102912,0.998409
1926,2023-01-20 11:08:48.041756,162296080,0,0.05541914,-0.001584489,-0.01030658,0.9984088
1972,2023-01-20 11:08:48.141750,162396070,0,0.055424,-0.0015293,-0.01033702,0.9984083
2025,2023-01-20 11:08:48.241764,162496067,0,0.05541993,-0.001450502,-0.01035068,0.9984084
2066,2023-01-20 11:08:48.341793,162596063,0,0.05541185,-0.001376694,-0.01037133,0.9984088
2122,2023-01-20 11:08:48.438031,162696062,0,0.05541859,-0.001340146,-0.01038631,0.9984083
2183,2023-01-20 11:08:48.528998,162796071,0,0.05541952,-0.00133638,-0.01039352,0.9984081
2243,2023-01-20 11:08:48.621935,162896062,0,0.05540575,-0.001359786,-0.01036868,0.9984092
2297,2023-01-20 11:08:48.721952,162996059,0,0.05539654,-0.001342903,-0.01034124,0.99841
2352,2023-01-20 11:08:48.821971,163096063,0,0.05539278,-0.001320896,-0.0103571,0.99841
2406,2023-01-20 11:08:48.921974,163196065,0,0.05537162,-0.001304993,-0.0103274,0.9984115
2448,2023-01-20 11:08:49.021967,163296061,0,0.05537898,-0.001297896,-0.01031425,0.9984114
2492,2023-01-20 11:08:49.121952,163396062,0,0.05537151,-0.001280413,-0.01031144,0.9984118
2534,2023-01-20 11:08:49.224360,163496062,0,0.05535836,-0.001251304,-0.01031499,0.9984125
2574,2023-01-20 11:08:49.335395,163596061,0,0.05534586,-0.001217538,-0.01034184,0.998413
2615,2023-01-20 11:08:49.441806,163696078,0,0.0553513,-0.001190925,-0.01034914,0.9984126
2655,2023-01-20 11:08:49.541748,163796085,0,0.05544071,-0.001195018,-0.01030411,0.9984082
2695,2023-01-20 11:08:49.637949,163896065,0,0.05545322,-0.001172509,-0.01030859,0.9984074
2733,2023-01-20 11:08:49.728987,163996078,0,0.05540191,-0.001167497,-0.01029505,0.9984104
2776,2023-01-20 11:08:49.821975,164096071,0,0.05534729,-0.001183168,-0.01029843,0.9984134
2814,2023-01-20 11:08:49.921949,164196069,0,0.05536082,-0.001159574,-0.01028899,0.9984128
2856,2023-01-20 11:08:50.021935,164296065,0,0.05546082,-0.001146571,-0.01029995,0.9984071
2895,2023-01-20 11:08:50.121980,164396072,0,0.05552081,-0.001161258,-0.01028801,0.9984038
2938,2023-01-20 11:08:50.221993,164496065,0,0.05541274,-0.001158249,-0.0102663,0.9984101
2976,2023-01-20 11:08:50.321958,164596070,0,0.05531737,-0.001146706,-0.01026409,0.9984154
3016,2023-01-20 11:08:50.421912,164696066,0,0.05533609,-0.001147107,-0.01027833,0.9984143
3058,2023-01-20 11:08:50.521868,164796070,0,0.05552596,-0.001130295,-0.01025734,0.9984039
3098,2023-01-20 11:08:50.621843,164896069,0,0.05578309,-0.001119611,-0.01026538,0.9983895
3136,2023-01-20 11:08:50.721915,164996083,0,0.05552383,-0.001161857,-0.010171,0.998405
3177,2023-01-20 11:08:50.821937,165096074,0,0.05567052,-0.001094826,-0.01005474,0.9983979
3215,2023-01-20 11:08:50.921874,165196076,0,0.05541526,-0.001137383,-0.01005482,0.9984122
3257,2023-01-20 11:08:51.021836,165296085,0,0.05551536,-0.001129067,-0.01010384,0.9984061
3295,2023-01-20 11:08:51.121840,165396074,0,0.05525151,-0.00114713,-0.01015084,0.9984202
3338,2023-01-20 11:08:51.221846,165496079,0,0.05529233,-0.001236983,-0.01008959,0.9984185
3376,2023-01-20 11:08:51.321810,165596086,0,0.05547206,-0.001051114,-0.01010417,0.9984086
3416,2023-01-20 11:08:51.421759,165696074,0,0.0553406,-0.001101457,-0.01015294,0.9984154
3456,2023-01-20 11:08:51.521744,165796075,0,0.05535311,-0.001146932,-0.01008816,0.9984153
3497,2023-01-20 11:08:51.621735,165896078,0,0.05516669,-0.001099482,-0.0100871,0.9984256
3534,2023-01-20 11:08:51.721737,165996073,0,0.05528518,-0.001100923,-0.009996274,0.9984201
3577,2023-01-20 11:08:51.821756,166096087,0,0.05534501,-0.001015195,-0.0100637,0.9984161
3615,2023-01-20 11:08:51.921747,166196081,0,0.05524597,-0.001049078,-0.01014019,0.9984208
3657,2023-01-20 11:08:52.021742,166296076,0,0.05513989,-0.001024697,-0.01004755,0.9984276
3693,2023-01-20 11:08:52.121747,166396074,0,0.05505339,-0.001020303,-0.01010555,0.9984317
3728,2023-01-20 11:08:52.221760,166496082,0,0.05521396,-0.0009528206,-0.01001766,0.9984238
3758,2023-01-20 11:08:52.321747,166596072,0,0.0551903,-0.0009192899,-0.01005549,0.9984248
3791,2023-01-20 11:08:52.421755,166696087,0,0.05520031,-0.0009750962,-0.01002088,0.9984245
3823,2023-01-20 11:08:52.521746,166796104,0,0.05496379,-0.00100094,-0.01004988,0.9984373
3856,2023-01-20 11:08:52.621713,166896084,0,0.05509959,-0.0009650385,-0.01010285,0.9984293
