LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
2353,2023-01-20 11:08:48.821971,163096063,0,404,0.0025,0.0025,0.0123548,0.01251343,0.01103579,0.01304249,0.01103579,0.01304246
4277,2023-01-20 11:08:53.921691,168196079,0,408,0.0025,0.0025,0.01247784,0.01251339,0.01103581,0.01304255,0.01103582,0.01304253
5932,2023-01-20 11:08:59.019695,173296082,0,408,0.0025,0.0025,0.012485,0.01251348,0.01103583,0.01304257,0.01103586,0.01304258
7584,2023-01-20 11:09:04.101391,178396072,0,408,0.0025,0.0025,0.01248486,0.0125134,0.01103587,0.0130426,0.01103586,0.01304257
9238,2023-01-20 11:09:09.183498,183496100,0,408,0.0025,0.0025,0.01248496,0.0125134,0.01103594,0.01304265,0.0110359,0.01304263
10892,2023-01-20 11:09:14.281693,188596080,0,408,0.0025,0.0025,0.01248459,0.01251331,0.01103596,0.01304263,0.01103595,0.01304267
12550,2023-01-20 11:09:19.361931,193696087,0,408,0.0025,0.0025,0.01248449,0.01251327,0.01103605,0.01304273,0.01103593,0.01304271
14215,2023-01-20 11:09:24.461694,198796075,0,408,0.0025,0.0025,0.01248462,0.01251339,0.01103607,0.01304282,0.01103606,0.0130428
15879,2023-01-20 11:09:29.541696,203896078,0,408,0.0025,0.0025,0.01248466,0.01251337,0.01103606,0.0130428,0.01103607,0.01304287
17588,2023-01-20 11:09:34.641683,208996080,0,408,0.0025,0.0025,0.01248464,0.01251343,0.01103612,0.01304288,0.01103607,0.01304286
19255,2023-01-20 11:09:39.721684,214096071,0,408,0.0025,0.0025,0.01248505,0.01251343,0.01103616,0.01304292,0.01103616,0.01304293
20923,2023-01-20 11:09:44.821706,219196074,0,408,0.0025,0.0025,0.01248481,0.01251349,0.01103616,0.01304292,0.01103623,0.01304299
22638,2023-01-20 11:09:49.901478,224296086,0,408,0.0025,0.0025,0.01248507,0.01251349,0.01103631,0.01304299,0.01103626,0.01304297
24302,2023-01-20 11:09:55.001511,229396103,0,408,0.0025,0.0025,0.0124849,0.01251364,0.01103625,0.01304303,0.01103629,0.013043
25967,2023-01-20 11:10:00.081696,234496067,0,408,0.0025,0.0025,0.01248518,0.0125137,0.01103624,0.01304301,0.01103622,0.01304303
27624,2023-01-20 11:10:05.165363,239596079,0,408,0.0025,0.0025,0.01248513,0.01251372,0.01103629,0.01304304,0.01103625,0.01304302
29344,2023-01-20 11:10:10.261680,244696074,0,408,0.0025,0.0025,0.01248491,0.01251375,0.01103622,0.01304306,0.01103623,0.01304305
31009,2023-01-20 11:10:15.361716,249796083,0,408,0.0025,0.0025,0.01248517,0.01251371,0.01103626,0.01304306,0.01103628,0.01304303
32678,2023-01-20 11:10:20.441688,254896071,0,408,0.0025,0.0025,0.01248528,0.01251377,0.01103624,0.01304305,0.01103622,0.01304302
34346,2023-01-20 11:10:25.521802,259996072,0,408,0.0025,0.0025,0.01248512,0.01251376,0.01103623,0.013043,0.01103626,0.01304305
36065,2023-01-20 11:10:30.621651,265096080,0,408,0.0025,0.0025,0.012485,0.01251373,0.01103626,0.01304306,0.01103623,0.01304304
37733,2023-01-20 11:10:35.701470,270196081,0,408,0.0025,0.0025,0.01248506,0.01251368,0.01103624,0.01304302,0.01103624,0.01304306
39404,2023-01-20 11:10:40.801470,275296122,0,408,0.0025,0.0025,0.01248496,0.01251382,0.01103623,0.01304304,0.01103627,0.01304305
41118,2023-01-20 11:10:45.881799,280396104,0,408,0.0025,0.0025,0.01248499,0.01251372,0.01103625,0.01304306,0.01103628,0.01304303
42785,2023-01-20 11:10:50.981719,285496075,0,408,0.0025,0.0025,0.01248504,0.01251363,0.0110363,0.01304309,0.01103625,0.01304306
44453,2023-01-20 11:10:56.061689,290596072,0,408,0.0025,0.0025,0.01248492,0.0125137,0.01103629,0.01304304,0.01103626,0.01304312
46172,2023-01-20 11:11:01.161687,295696068,0,408,0.0025,0.0025,0.01248486,0.0125137,0.01103631,0.01304309,0.01103629,0.01304307
47840,2023-01-20 11:11:06.241695,300796077,0,408,0.0025,0.0025,0.01248503,0.01251363,0.01103629,0.01304315,0.01103631,0.01304313
49507,2023-01-20 11:11:11.341707,305896075,0,408,0.0025,0.0025,0.01248497,0.01251359,0.01103631,0.0130431,0.01103629,0.01304307
51226,2023-01-20 11:11:16.421699,310996080,0,408,0.0025,0.0025,0.01248496,0.01251369,0.01103635,0.01304315,0.01103633,0.01304313
52895,2023-01-20 11:11:21.521671,316096082,0,408,0.0025,0.0025,0.01248499,0.01251374,0.01103636,0.01304317,0.01103635,0.01304317
54563,2023-01-20 11:11:26.601438,321196108,0,408,0.0025,0.0025,0.01248498,0.01251372,0.01103634,0.01304314,0.01103632,0.01304317
56232,2023-01-20 11:11:31.681804,326296084,0,408,0.0025,0.0025,0.01248519,0.01251371,0.01103638,0.0130432,0.01103637,0.01304316
57946,2023-01-20 11:11:36.781667,331396072,0,408,0.0025,0.0025,0.01248503,0.01251367,0.01103642,0.0130432,0.01103641,0.01304322
