LineNo,UTC_Approx,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
685,2023-01-20 11:08:47.421095,161675791,0,1.090015E-10,6.157649E-06,6.159714E-06,6.159734E-08,0,0,0,0,0,0,0,0
1881,2023-01-20 11:08:47.941896,162196081,0,1.090068E-10,6.065277E-06,6.067277E-06,6.07325E-08,0,0,0,0,0,0,0,0
2124,2023-01-20 11:08:48.438031,162696062,0,1.090001E-10,5.613258E-06,5.614938E-06,5.889742E-08,0,0,0,0,0,0,0,0
2408,2023-01-20 11:08:48.921974,163196065,0,1.089867E-10,5.047526E-06,5.04882E-06,5.717436E-08,0,0,0,0,0,0,0,0
2617,2023-01-20 11:08:49.441806,163696078,0,1.089798E-10,4.098395E-06,4.099104E-06,5.476375E-08,0,0,0,0,0,0,0,0
2816,2023-01-20 11:08:49.921949,164196069,0,1.089718E-10,3.51743E-06,3.517816E-06,5.279423E-08,0,0,0,0,0,0,0,0
3018,2023-01-20 11:08:50.421912,164696066,0,1.089611E-10,2.6927E-06,2.69271E-06,4.995121E-08,0,0,0,0,0,0,0,0
3217,2023-01-20 11:08:50.921874,165196076,0,1.089593E-10,2.314401E-06,2.314247E-06,4.778742E-08,0,0,0,0,0,0,0,0
3418,2023-01-20 11:08:51.421759,165696074,0,1.089478E-10,1.884086E-06,1.883776E-06,4.507485E-08,0,0,0,0,0,0,0,0
3617,2023-01-20 11:08:51.921747,166196081,0,1.089405E-10,1.666212E-06,1.665816E-06,4.294287E-08,0,0,0,0,0,0,0,0
3793,2023-01-20 11:08:52.421755,166696087,0,1.089384E-10,1.426421E-06,1.425936E-06,4.038059E-08,0,0,0,0,0,0,0,0
3953,2023-01-20 11:08:52.921760,167196070,0,1.089292E-10,1.316668E-06,1.316125E-06,3.853938E-08,0,0,0,0,0,0,0,0
4116,2023-01-20 11:08:53.421714,167696074,0,1.089231E-10,1.190536E-06,1.189923E-06,3.639017E-08,0,0,0,0,0,0,0,0
4276,2023-01-20 11:08:53.921691,168196079,0,1.08922E-10,1.128032E-06,1.127358E-06,3.47949E-08,0,0,0,0,0,0,0,0
4441,2023-01-20 11:08:54.421693,168696079,0,1.089131E-10,1.059727E-06,1.058969E-06,3.300675E-08,0,0,0,0,0,0,0,0
4601,2023-01-20 11:08:54.921667,169196074,0,1.089042E-10,1.01946E-06,1.018611E-06,3.152153E-08,0,0,0,0,0,0,0,0
4764,2023-01-20 11:08:55.421686,169696081,0,1.088929E-10,9.747984E-07,9.73792E-07,2.890538E-08,0,0,0,0,0,0,0,0
4926,2023-01-20 11:08:55.921693,170196083,0,1.088851E-10,9.52852E-07,9.517502E-07,2.695465E-08,0,0,0,0,0,0,0,0
5089,2023-01-20 11:08:56.421682,170696072,0,1.088794E-10,9.285799E-07,9.273698E-07,2.535474E-08,0,0,0,0,0,0,0,0
5249,2023-01-20 11:08:56.921704,171196093,0,1.08865E-10,9.173424E-07,9.160651E-07,2.42182E-08,0,0,0,0,0,0,0,0
5413,2023-01-20 11:08:57.421693,171696076,0,1.088469E-10,9.061586E-07,9.048724E-07,2.306686E-08,0,0,0,0,0,0,0,0
5573,2023-01-20 11:08:57.921687,172196074,0,1.08838E-10,9.016574E-07,9.004091E-07,2.218939E-08,0,0,0,0,0,0,0,0
5738,2023-01-20 11:08:58.421675,172696069,0,1.09806E-10,8.93451E-07,8.924592E-07,2.126857E-08,0.002484595,0.0009601093,0.002500009,0.0025,0.0025,0.0025,0,0
5898,2023-01-20 11:08:58.921696,173196099,0,1.107872E-10,8.815019E-07,8.828462E-07,2.050102E-08,0.002480991,0.0005991079,0.002500018,0.0025,0.0025,0.0025,0,0
6063,2023-01-20 11:08:59.401838,173696092,0,1.117769E-10,8.651153E-07,8.752562E-07,1.974123E-08,0.002479399,0.0004391714,0.002500027,0.0025,0.0025,0.0025,0,0
6223,2023-01-20 11:08:59.901607,174196077,0,1.12758E-10,8.462488E-07,8.685248E-07,1.895046E-08,0.002478505,0.000348911,0.002500036,0.0025,0.0025,0.0025,0,0
6386,2023-01-20 11:09:00.401565,174696110,0,1.137438E-10,8.388071E-07,8.627836E-07,1.832758E-08,0.002477933,0.0002909397,0.002500046,0.0025,0.0025,0.0025,0,0
6549,2023-01-20 11:09:00.901477,175196089,0,1.147263E-10,8.326078E-07,8.491467E-07,1.765613E-08,0.002477539,0.0002505603,0.002500055,0.0025,0.0025,0.0025,0,0
6712,2023-01-20 11:09:01.401499,175696120,0,1.157063E-10,8.303977E-07,8.373294E-07,1.707741E-08,0.00247725,0.0002208203,0.002500064,0.0025,0.0025,0.0025,0,0
6873,2023-01-20 11:09:01.901423,176196083,0,1.166976E-10,8.278093E-07,8.210712E-07,1.645127E-08,0.002477031,0.0001980044,0.002500074,0.0025,0.0025,0.0025,0,0
