LineNo,UTC_Approx,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
676,2023-01-20 11:08:47.421095,161675791,0,128.4099,14.41587,216,287.9999,359.9999,71.99995,143.9999,0.2,0.2,0.2,0.2,0.2
1029,2023-01-20 11:08:47.516079,161775775,0,204.2233,14.35259,216.0007,288.0007,0.0006794992,72.00068,144.0007,0.2,0.2,0.2,0.2,0.2
1145,2023-01-20 11:08:47.630187,161892750,0,137.101,14.29482,215.9931,287.9979,0.009203265,72.0114,144.0015,0.2000165,0.1999253,0.1999374,0.200036,0.2000849
1408,2023-01-20 11:08:47.738571,161995567,0,137.1127,14.29475,215.9942,287.999,0.01027014,72.01247,144.0025,0.2000165,0.1999253,0.1999374,0.200036,0.2000849
1827,2023-01-20 11:08:47.842134,162096077,0,38.06747,14.95336,216.0011,288.0107,0.007544027,71.99604,143.9921,0.1999135,0.1999703,0.2000682,0.2000718,0.1999762
1872,2023-01-20 11:08:47.941896,162196081,0,38.07002,14.95332,216.0022,288.0117,0.008558824,71.99706,143.9931,0.1999135,0.1999703,0.2000682,0.2000718,0.1999762
1919,2023-01-20 11:08:48.041756,162296080,0,200.6004,14.40912,215.9992,287.9889,359.998,72.01384,144.0146,0.2001193,0.2000056,0.1998842,0.1999228,0.2000681
1965,2023-01-20 11:08:48.141750,162396070,0,200.5983,14.40918,215.9993,287.9891,359.9981,72.01398,144.0148,0.2001193,0.2000056,0.1998842,0.1999228,0.2000681
2018,2023-01-20 11:08:48.241764,162496067,0,196.0719,14.50243,215.9933,287.9753,359.9951,72.02541,144.0243,0.200228,0.1999918,0.199767,0.1998641,0.200149
2059,2023-01-20 11:08:48.341793,162596063,0,196.0726,14.50244,215.9935,287.9755,359.9953,72.02561,144.0245,0.200228,0.1999918,0.199767,0.1998641,0.200149
2115,2023-01-20 11:08:48.438031,162696062,0,302.2009,14.38795,216.0163,288.007,359.9933,71.99429,144.0085,0.2000073,0.200107,0.2000588,0.1999293,0.1998975
2176,2023-01-20 11:08:48.528998,162796071,0,302.1969,14.38792,216.0152,288.0058,359.9922,71.99318,144.0074,0.2000073,0.200107,0.2000588,0.1999293,0.1998975
2236,2023-01-20 11:08:48.621935,162896062,0,294.7848,14.29,216.0283,288.0054,359.9781,71.98422,144.0152,0.2000456,0.200233,0.2000984,0.1998278,0.1997952
2290,2023-01-20 11:08:48.721952,162996059,0,294.7856,14.29002,216.0297,288.0068,359.9796,71.98563,144.0166,0.2000456,0.200233,0.2000984,0.1998278,0.1997952
2345,2023-01-20 11:08:48.821971,163096063,0,311.5218,14.58617,216.0709,288.0308,359.9535,71.94585,144.0185,0.1999424,0.200546,0.2003945,0.1996979,0.1994191
2399,2023-01-20 11:08:48.921974,163196065,0,311.5209,14.58617,216.0709,288.0307,359.9535,71.94583,144.0184,0.1999424,0.200546,0.2003945,0.1996979,0.1994191
2441,2023-01-20 11:08:49.021967,163296061,0,313.0319,14.63387,216.0564,288.0274,359.9687,71.96138,144.0156,0.1999447,0.2004078,0.2003071,0.199782,0.1995585
2485,2023-01-20 11:08:49.121952,163396062,0,313.0316,14.63391,216.0556,288.0266,359.9679,71.96056,144.0148,0.1999447,0.2004078,0.2003071,0.199782,0.1995585
2527,2023-01-20 11:08:49.224360,163496062,0,287.3857,14.25932,216.0431,288.006,359.9695,71.98407,144.0295,0.200109,0.2003419,0.2001021,0.1997214,0.1997257
2567,2023-01-20 11:08:49.335395,163596061,0,287.387,14.25935,216.0446,288.0076,359.9711,71.9856,144.0311,0.200109,0.2003419,0.2001021,0.1997214,0.1997257
2608,2023-01-20 11:08:49.441806,163696078,0,285.0773,14.26225,216.0543,288.0075,359.9641,71.98402,144.0398,0.2001498,0.2004196,0.2001091,0.1996482,0.1996733
2648,2023-01-20 11:08:49.541748,163796085,0,285.0781,14.26227,216.0537,288.0069,359.9635,71.98345,144.0393,0.2001498,0.2004196,0.2001091,0.1996482,0.1996733
2688,2023-01-20 11:08:49.637949,163896065,0,257.577,14.80976,216.0341,287.9691,359.9429,71.9918,144.0482,0.2003676,0.200424,0.1998942,0.199511,0.1998032
2726,2023-01-20 11:08:49.728987,163996078,0,257.5765,14.80985,216.0351,287.9701,359.944,71.99289,144.0493,0.2003676,0.200424,0.1998942,0.199511,0.1998032
2769,2023-01-20 11:08:49.821975,164096071,0,247.3234,14.84968,216.0198,287.9896,359.9826,72.00856,144.0316,0.2001951,0.2001733,0.199912,0.1997724,0.1999472
2807,2023-01-20 11:08:49.921949,164196069,0,247.3331,14.84987,216.025,287.9948,359.9877,72.01373,144.0368,0.2001951,0.2001733,0.199912,0.1997724,0.1999472
2849,2023-01-20 11:08:50.021935,164296065,0,300.1866,14.34278,216.078,288.0261,359.9548,71.96268,144.0389,0.2000591,0.2005734,0.2002946,0.1996091,0.1994638
2888,2023-01-20 11:08:50.121980,164396072,0,300.1755,14.34279,216.0679,288.0159,359.9446,71.95255,144.0288,0.2000591,0.2005734,0.2002946,0.1996091,0.1994638
2931,2023-01-20 11:08:50.221993,164496065,0,328.4297,14.84469,216.0679,288.0452,359.9486,71.91161,143.9854,0.1997214,0.2005547,0.2006212,0.1998288,0.1992738
2969,2023-01-20 11:08:50.321958,164596070,0,328.4397,14.84471,216.0778,288.0551,359.9585,71.92155,143.9953,0.1997214,0.2005547,0.2006212,0.1998288,0.1992738
3009,2023-01-20 11:08:50.421912,164696066,0,323.5306,14.9949,216.1105,288.0731,359.955,71.91951,144.0157,0.1997321,0.200723,0.2007142,0.1997181,0.1991125
