LineNo,UTC_Approx,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
677,2023-01-20 11:08:47.421095,161675791,0,0,0,0,0,0,0,0,0,0,0
1030,2023-01-20 11:08:47.516079,161775775,0,0,0,0,0,0,0,0,0,0,0
1146,2023-01-20 11:08:47.630187,161892750,0,0.03460242,0.03613999,0.03886607,0.0390133,0.03637823,-0.2598748,-0.2622415,-0.2615106,-0.2586921,-0.2576811
1409,2023-01-20 11:08:47.738571,161995567,0,0.03460242,0.03613999,0.03886607,0.0390133,0.03637823,-0.2598748,-0.2622415,-0.2615106,-0.2586921,-0.2576811
1828,2023-01-20 11:08:47.842134,162096077,0,-0.2679892,-0.2650421,-0.2625598,-0.2639734,-0.2673284,0.06197095,0.06031837,0.06261104,0.06567988,0.06528398
1873,2023-01-20 11:08:47.941896,162196081,0,-0.2679892,-0.2650421,-0.2625598,-0.2639734,-0.2673284,0.06197095,0.06031837,0.06261104,0.06567988,0.06528398
1920,2023-01-20 11:08:48.041756,162296080,0,0.3564602,0.3597488,0.3636037,0.3626983,0.3582838,0.02151671,0.01853134,0.0207364,0.02508365,0.02556664
1966,2023-01-20 11:08:48.141750,162396070,0,0.3564602,0.3597488,0.3636037,0.3626983,0.3582838,0.02151671,0.01853134,0.0207364,0.02508365,0.02556664
2019,2023-01-20 11:08:48.241764,162496067,0,0.160313,0.1640416,0.168296,0.1671948,0.1622609,-0.03521209,-0.03847287,-0.03593387,-0.0311029,-0.03065822
2060,2023-01-20 11:08:48.341793,162596063,0,0.160313,0.1640416,0.168296,0.1671948,0.1622609,-0.03521209,-0.03847287,-0.03593387,-0.0311029,-0.03065822
2116,2023-01-20 11:08:48.438031,162696062,0,-0.218309,-0.2142472,-0.2079224,-0.2080802,-0.2145004,0.1770606,0.1717331,0.173951,0.1806524,0.1825707
2177,2023-01-20 11:08:48.528998,162796071,0,-0.218309,-0.2142472,-0.2079224,-0.2080802,-0.2145004,0.1770606,0.1717331,0.173951,0.1806524,0.1825707
2237,2023-01-20 11:08:48.621935,162896062,0,0.007973835,0.01397926,0.02162275,0.02034362,0.01190628,0.0936193,0.08753411,0.0913634,0.09981781,0.1012128
2291,2023-01-20 11:08:48.721952,162996059,0,0.007973835,0.01397926,0.02162275,0.02034362,0.01190628,0.0936193,0.08753411,0.0913634,0.09981781,0.1012128
2346,2023-01-20 11:08:48.821971,163096063,0,-0.1082593,-0.1013437,-0.09276995,-0.09438206,-0.1039598,0.2089183,0.2021518,0.2066339,0.2161773,0.2175904
2400,2023-01-20 11:08:48.921974,163196065,0,-0.1082593,-0.1013437,-0.09276995,-0.09438206,-0.1039598,0.2089183,0.2021518,0.2066339,0.2161773,0.2175904
2442,2023-01-20 11:08:49.021967,163296061,0,0.01405474,0.02276658,0.03165191,0.02844721,0.01755863,-0.07302517,-0.07953458,-0.07327268,-0.06287593,-0.06271724
2486,2023-01-20 11:08:49.121952,163396062,0,0.01405474,0.02276658,0.03165191,0.02844721,0.01755863,-0.07302517,-0.07953458,-0.07327268,-0.06287593,-0.06271724
2528,2023-01-20 11:08:49.224360,163496062,0,0.1009065,0.108672,0.117544,0.1152743,0.1049831,-0.05072865,-0.05753325,-0.05225942,-0.04218423,-0.04123315
2568,2023-01-20 11:08:49.335395,163596061,0,0.1009065,0.108672,0.117544,0.1152743,0.1049831,-0.05072865,-0.05753325,-0.05225942,-0.04218423,-0.04123315
2609,2023-01-20 11:08:49.441806,163696078,0,0.002046801,0.01160018,0.02270582,0.0200225,0.007245012,0.0350487,0.02647995,0.03291065,0.04546832,0.04679042
2649,2023-01-20 11:08:49.541748,163796085,0,0.002046801,0.01160018,0.02270582,0.0200225,0.007245012,0.0350487,0.02647995,0.03291065,0.04546832,0.04679042
2689,2023-01-20 11:08:49.637949,163896065,0,0.08845954,0.09899079,0.1113203,0.1084171,0.09427533,-0.01134227,-0.02087823,-0.01381875,0.000100214,0.001631286
2727,2023-01-20 11:08:49.728987,163996078,0,0.08845954,0.09899079,0.1113203,0.1084171,0.09427533,-0.01134227,-0.02087823,-0.01381875,0.000100214,0.001631286
2770,2023-01-20 11:08:49.821975,164096071,0,-0.0640469,-0.05331901,-0.04043818,-0.04320738,-0.05781285,-0.09624901,-0.1062949,-0.09920353,-0.08474909,-0.08292966
2808,2023-01-20 11:08:49.921949,164196069,0,-0.0640469,-0.05331901,-0.04043818,-0.04320738,-0.05781285,-0.09624901,-0.1062949,-0.09920353,-0.08474909,-0.08292966
2850,2023-01-20 11:08:50.021935,164296065,0,-0.1421199,-0.1322896,-0.1230378,-0.1271539,-0.1389514,0.174592,0.1680632,0.1753936,0.1864618,0.185962
2889,2023-01-20 11:08:50.121980,164396072,0,-0.1421199,-0.1322896,-0.1230378,-0.1271539,-0.1389514,0.174592,0.1680632,0.1753936,0.1864618,0.185962
2932,2023-01-20 11:08:50.221993,164496065,0,-0.1235455,-0.1112284,-0.0978802,-0.101929,-0.1178107,-0.003154367,-0.01318114,-0.004581921,0.01078739,0.01167481
2970,2023-01-20 11:08:50.321958,164596070,0,-0.1235455,-0.1112284,-0.0978802,-0.101929,-0.1178107,-0.003154367,-0.01318114,-0.004581921,0.01078739,0.01167481
3010,2023-01-20 11:08:50.421912,164696066,0,-0.01180595,-0.001700558,0.0143364,0.01418545,-0.001985613,0.04911319,0.03552509,0.04091518,0.05784547,0.06293486
3052,2023-01-20 11:08:50.521868,164796070,0,-0.01180595,-0.001700558,0.0143364,0.01418545,-0.001985613,0.04911319,0.03552509,0.04091518,0.05784547,0.06293486
3092,2023-01-20 11:08:50.621843,164896069,0,0.03710226,0.0496056,0.06163767,0.0566089,0.04142086,-0.05235887,-0.06094691,-0.05173494,-0.03742385,-0.03779312
3130,2023-01-20 11:08:50.721915,164996083,0,0.03710226,0.0496056,0.06163767,0.0566089,0.04142086,-0.05235887,-0.06094691,-0.05173494,-0.03742385,-0.03779312
3171,2023-01-20 11:08:50.821937,165096074,0,0.08026058,0.09244959,0.1032837,0.0978163,0.08356855,-0.001067955,-0.008496903,0.0007813424,0.01396887,0.01283584
3209,2023-01-20 11:08:50.921874,165196076,0,0.08026058,0.09244959,0.1032837,0.0978163,0.08356855,-0.001067955,-0.008496903,0.0007813424,0.01396887,0.01283584
3251,2023-01-20 11:08:51.021836,165296085,0,0.1579533,0.1704762,0.1773019,0.1690019,0.1570279,-0.06786595,-0.07096373,-0.06002113,-0.05013385,-0.05498532
3289,2023-01-20 11:08:51.121840,165396074,0,0.1579533,0.1704762,0.1773019,0.1690019,0.1570279,-0.06786595,-0.07096373,-0.06002113,-0.05013385,-0.05498532
3332,2023-01-20 11:08:51.221846,165496079,0,0.0739055,0.09214441,0.1148889,0.1107013,0.08535602,-0.03144107,-0.04941482,-0.0376298,-0.01234225,-0.008527167
3370,2023-01-20 11:08:51.321810,165596086,0,0.0739055,0.09214441,0.1148889,0.1107013,0.08535602,-0.03144107,-0.04941482,-0.0376298,-0.01234225,-0.008527167
3410,2023-01-20 11:08:51.421759,165696074,0,0.06845253,0.08953533,0.1051138,0.09360307,0.07094324,0.1315285,0.1220265,0.1391579,0.1592703,0.1545171
